Subcellular location ID	Name	Category	Gene Ontologies	Is a	Content	Keyword	Links
SL-0033	Capsule	Cellular component	GO:0042603:capsule		Secreted, capsule		
SL-0034	Carboxysome	Cellular component	GO:0031470:carboxysome	SL-0544; Bacterial microcompartment; LOCATION	Carboxysome	KW-1282	
SL-0035	Caveola	Cellular component	GO:0005901:caveola		Membrane, caveola		
SL-0036	Cell envelope	Cellular component	GO:0031975:envelope		Cell envelope		http://www.cf.ac.uk/biosi/staff/ehrmann/tools/ecce/ecce.htm
SL-0037	Cell inner membrane	Cellular component	GO:0005886:plasma membrane	SL-0039; Cell membrane; LOCATION	Cell inner membrane	KW-0997	
SL-0038	Cell junction	Cellular component	GO:0030054:cell junction		Cell junction	KW-0965	https://www.ncbi.nlm.nih.gov/books/NBK26857/
SL-0039	Cell membrane	Cellular component	GO:0005886:plasma membrane	SL-0162; Membrane; LOCATION	Cell membrane	KW-1003	
SL-0040	Cell outer membrane	Cellular component	GO:0009279:cell outer membrane	SL-0162; Membrane; LOCATION	Cell outer membrane	KW-0998	
SL-0041	Cell wall	Cellular component	GO:0005618:cell wall		Secreted, cell wall	KW-0134	
SL-0042	Cellular chromatophore membrane	Cellular component	GO:0042717:plasma membrane-derived chromatophore membrane	SL-0162; Membrane; LOCATION	Cellular chromatophore membrane		
SL-0043	Cellular thylakoid	Cellular component	GO:0030075:bacterial thylakoid	SL-0450; Thylakoid; LOCATION	Cellular thylakoid		
SL-0044	Cellular thylakoid lumen	Cellular component	GO:0031979:plasma membrane-derived thylakoid lumen		Cellular thylakoid lumen		
SL-0045	Cellular thylakoid membrane	Cellular component	GO:0031676:plasma membrane-derived thylakoid membrane	SL-0162; Membrane; LOCATION	Cellular thylakoid membrane		
SL-0046	Centriole	Cellular component	GO:0005814:centriole		Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole		
SL-0047	Centromere	Cellular component	GO:0000775:chromosome, centromeric region		Chromosome, centromere	KW-0137	
SL-0048	Centrosome	Cellular component	GO:0005815:microtubule organizing center		Cytoplasm, cytoskeleton, microtubule organizing center, centrosome		
SL-0049	Chloroplast	Cellular component	GO:0009507:chloroplast	SL-0209; Plastid; LOCATION	Plastid, chloroplast	KW-0150	
SL-0050	Chloroplast envelope	Cellular component	GO:0009941:chloroplast envelope	SL-0210; Plastid envelope; LOCATION	Plastid, chloroplast envelope		
SL-0051	Chloroplast inner membrane	Cellular component	GO:0009706:chloroplast inner membrane	SL-0053; Chloroplast membrane; LOCATION, SL-0211; Plastid inner membrane; LOCATION	Plastid, chloroplast inner membrane		
SL-0052	Chloroplast intermembrane space	Cellular component	GO:0031972:chloroplast intermembrane space	SL-0212; Plastid intermembrane space; LOCATION	Plastid, chloroplast intermembrane space		
SL-0053	Chloroplast membrane	Cellular component	GO:0031969:chloroplast membrane	SL-0213; Plastid membrane; LOCATION	Plastid, chloroplast membrane		
SL-0054	Chloroplast outer membrane	Cellular component	GO:0009707:chloroplast outer membrane	SL-0053; Chloroplast membrane; LOCATION, SL-0214; Plastid outer membrane; LOCATION	Plastid, chloroplast outer membrane		
SL-0055	Chloroplast stroma	Cellular component	GO:0009570:chloroplast stroma	SL-0215; Plastid stroma; LOCATION	Plastid, chloroplast stroma		
SL-0056	Chloroplast thylakoid	Cellular component	GO:0009534:chloroplast thylakoid	SL-0278; Plastid thylakoid; LOCATION	Plastid, chloroplast thylakoid		
SL-0057	Chloroplast thylakoid lumen	Cellular component	GO:0009543:chloroplast thylakoid lumen	SL-0309; Plastid thylakoid lumen; LOCATION	Plastid, chloroplast thylakoid lumen		
SL-0058	Chloroplast thylakoid membrane	Cellular component	GO:0009535:chloroplast thylakoid membrane	SL-0216; Plastid thylakoid membrane; LOCATION	Plastid, chloroplast thylakoid membrane		
SL-0059	Chlorosome	Cellular component	GO:0046858:chlorosome		Chlorosome	KW-0151	
SL-0060	Chlorosome envelope	Cellular component	GO:0033105:chlorosome envelope		Chlorosome, chlorosome envelope		
SL-0061	Chromaffin granule	Cellular component	GO:0042583:chromaffin granule	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, chromaffin granule		
SL-0062	Chromaffin granule membrane	Cellular component	GO:0042584:chromaffin granule membrane	SL-0245; Secretory vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane		
SL-0063	Chromoplast	Cellular component	GO:0009509:chromoplast	SL-0209; Plastid; LOCATION	Plastid, chromoplast		
SL-0064	Chromoplast membrane	Cellular component	GO:0046862:chromoplast membrane	SL-0213; Plastid membrane; LOCATION	Plastid, chromoplast membrane		
SL-0065	Chromoplast stroma	Cellular component	GO:0009575:chromoplast stroma		Plastid, chromoplast stroma		
SL-0066	Cilium	Cellular component	GO:0005929:cilium	SL-0280; Cell projection; LOCATION	Cell projection, cilium		
SL-0067	cis-Golgi network	Cellular component	GO:0005801:cis-Golgi network		Golgi apparatus, cis-Golgi network		
SL-0068	cis-Golgi network membrane	Cellular component	GO:0033106:cis-Golgi network membrane	SL-0134; Golgi apparatus membrane; LOCATION	Golgi apparatus, cis-Golgi network membrane		
SL-0069	Clathrin-coated pit	Cellular component	GO:0005905:clathrin-coated pit	SL-0072; Coated pit; LOCATION	Membrane, clathrin-coated pit		
SL-0070	Clathrin-coated vesicle	Cellular component	GO:0030136:clathrin-coated vesicle	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, clathrin-coated vesicle		
SL-0071	Clathrin-coated vesicle membrane	Cellular component	GO:0030665:clathrin-coated vesicle membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, clathrin-coated vesicle membrane		
SL-0072	Coated pit	Cellular component			Membrane, coated pit	KW-0168	
SL-0073	Contractile vacuole	Cellular component	GO:0000331:contractile vacuole	SL-0272; Vacuole; LOCATION	Contractile vacuole		
SL-0074	Contractile vacuole membrane	Cellular component	GO:0031164:contractile vacuolar membrane	SL-0271; Vacuole membrane; LOCATION	Contractile vacuole membrane		
SL-0075	COPI-coated vesicle	Cellular component	GO:0030137:COPI-coated vesicle	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, COPI-coated vesicle		
SL-0076	COPI-coated vesicle membrane	Cellular component	GO:0030663:COPI-coated vesicle membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, COPI-coated vesicle membrane		
SL-0077	COPII-coated vesicle	Cellular component	GO:0030134:COPII-coated ER to Golgi transport vesicle	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, COPII-coated vesicle		
SL-0078	COPII-coated vesicle membrane	Cellular component	GO:0012507:ER to Golgi transport vesicle membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, COPII-coated vesicle membrane		
SL-0079	Cornified envelope	Cellular component	GO:0001533:cornified envelope		Cornified envelope		
SL-0080	Cvt vesicle	Cellular component	GO:0033107:Cvt vesicle	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, cvt vesicle		
SL-0081	Cvt vesicle membrane	Cellular component	GO:0033110:Cvt vesicle membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, cvt vesicle membrane		
SL-0082	Cyanelle	Cellular component	GO:0009842:cyanelle	SL-0209; Plastid; LOCATION	Plastid, cyanelle	KW-0194	
SL-0083	Cyanelle membrane	Cellular component	GO:0033113:cyanelle membrane	SL-0213; Plastid membrane; LOCATION	Plastid, cyanelle membrane		
SL-0084	Cyanelle thylakoid lumen	Cellular component	GO:0033114:cyanelle thylakoid lumen	SL-0309; Plastid thylakoid lumen; LOCATION	Plastid, cyanelle thylakoid lumen		
SL-0085	Cyanelle thylakoid membrane	Cellular component	GO:0033115:cyanelle thylakoid membrane	SL-0216; Plastid thylakoid membrane; LOCATION	Plastid, cyanelle thylakoid membrane		
SL-0086	Cytoplasm	Cellular component	GO:0005737:cytoplasm		Cytoplasm	KW-0963	
SL-0087	Cilium basal body	Cellular component			Cytoplasm, cytoskeleton, cilium basal body		
SL-0088	Cytoplasmic vesicle	Cellular component		SL-0498; Vesicle; LOCATION	Cytoplasmic vesicle	KW-0968	
SL-0089	Cytoplasmic vesicle membrane	Cellular component	GO:0030659:cytoplasmic vesicle membrane	SL-0162; Membrane; LOCATION	Cytoplasmic vesicle membrane		
SL-0090	Cytoskeleton	Cellular component	GO:0005856:cytoskeleton		Cytoplasm, cytoskeleton	KW-0206	
SL-0091	Cytosol	Cellular component	GO:0005829:cytosol		Cytoplasm, cytosol		
SL-0092	Desmosome	Cellular component	GO:0030057:desmosome	SL-0038; Cell junction; LOCATION	Cell junction, desmosome		http://celljunctions.med.nyu.edu/desmosomes/desframe.html
SL-0093	Early endosome membrane	Cellular component	GO:0031901:early endosome membrane	SL-0100; Endosome membrane; LOCATION	Early endosome membrane		
SL-0094	Early endosome	Cellular component	GO:0005769:early endosome		Early endosome		
SL-0095	Endoplasmic reticulum	Cellular component	GO:0005783:endoplasmic reticulum		Endoplasmic reticulum	KW-0256	
SL-0096	Endoplasmic reticulum lumen	Cellular component	GO:0005788:endoplasmic reticulum lumen		Endoplasmic reticulum lumen		
SL-0097	Endoplasmic reticulum membrane	Cellular component	GO:0005789:endoplasmic reticulum membrane	SL-0162; Membrane; LOCATION	Endoplasmic reticulum membrane		
SL-0098	Endoplasmic reticulum-Golgi intermediate compartment	Cellular component	GO:0005793:endoplasmic reticulum-Golgi intermediate compartment		Endoplasmic reticulum-Golgi intermediate compartment		
SL-0099	Endoplasmic reticulum-Golgi intermediate compartment membrane	Cellular component	GO:0033116:endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0162; Membrane; LOCATION	Endoplasmic reticulum-Golgi intermediate compartment membrane		
SL-0100	Endosome membrane	Cellular component	GO:0010008:endosome membrane	SL-0162; Membrane; LOCATION	Endosome membrane		
SL-0101	Endosome	Cellular component	GO:0005768:endosome		Endosome	KW-0967	
SL-0108	Esterosome membrane	Cellular component	GO:0033118:esterosome membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, esterosome membrane		
SL-0109	Esterosome	Cellular component	GO:0033117:esterosome	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, esterosome		
SL-0110	Etioplast	Cellular component	GO:0009513:etioplast	SL-0209; Plastid; LOCATION	Plastid, etioplast		
SL-0111	Extracellular matrix	Cellular component			Secreted, extracellular space, extracellular matrix	KW-0272	
SL-0112	Extracellular space	Cellular component	GO:0005615:extracellular space		Secreted, extracellular space		
SL-0113	Fimbrium	Cellular component	GO:0009289:pilus		Fimbrium	KW-0281	
SL-0114	Flagellum axoneme	Cellular component		SL-0304; Cilium axoneme; LOCATION	Cytoplasm, cytoskeleton, flagellum axoneme		
SL-0115	Flagellum membrane	Cellular component		SL-0305; Cilium membrane; LOCATION	Cell projection, cilium, flagellum membrane		
SL-0116	Flagellar pocket	Cellular component	GO:0020016:ciliary pocket		Flagellar pocket		
SL-0117	Flagellum	Cellular component	GO:0031514:motile cilium	SL-0066; Cilium; LOCATION	Cell projection, cilium, flagellum	KW-0282	http://www.ciliome.com
SL-0118	Focal adhesion	Cellular component	GO:0005925:focal adhesion	SL-0038; Cell junction; LOCATION	Cell junction, focal adhesion		http://www-cellbio.med.unc.edu/grad/depttest/burridge.htm
SL-0119	Forespore	Cellular component	GO:0042763:intracellular immature spore		Forespore		
SL-0120	Forespore inner membrane	Cellular component		SL-0122; Forespore membrane; LOCATION	Forespore inner membrane		
SL-0121	Forespore intermembrane space	Cellular component			Forespore intermembrane space		
SL-0122	Forespore membrane	Cellular component		SL-0162; Membrane; LOCATION	Forespore membrane		
SL-0123	Forespore outer membrane	Cellular component		SL-0122; Forespore membrane; LOCATION	Forespore outer membrane		
SL-0124	Gap junction	Cellular component	GO:0005921:gap junction	SL-0038; Cell junction; LOCATION	Cell junction, gap junction	KW-0303	
SL-0125	Gas vesicle	Cellular component	GO:0031411:gas vesicle	SL-0272; Vacuole; LOCATION	Vacuole, gas vesicle	KW-0304	
SL-0126	Gas vesicle membrane	Cellular component	GO:0033172:gas vesicle shell	SL-0271; Vacuole membrane; LOCATION	Vacuole, gas vesicle membrane		
SL-0127	Gem	Cellular component	GO:0097504:Gemini of coiled bodies	SL-0494; Nuclear body; LOCATION	Nucleus, gem		
SL-0128	Glycosome membrane	Cellular component	GO:0046860:glycosome membrane	SL-0203; Peroxisome membrane; LOCATION	Glycosome membrane		
SL-0129	Glycosome	Cellular component	GO:0020015:glycosome	SL-0204; Peroxisome; LOCATION	Glycosome	KW-0327	
SL-0130	Glyoxysome membrane	Cellular component	GO:0046861:glyoxysomal membrane	SL-0203; Peroxisome membrane; LOCATION	Glyoxysome membrane		
SL-0131	Glyoxysome	Cellular component	GO:0009514:glyoxysome	SL-0204; Peroxisome; LOCATION	Glyoxysome	KW-0330	
SL-0132	Golgi apparatus	Cellular component	GO:0005794:Golgi apparatus		Golgi apparatus	KW-0333	
SL-0133	Golgi apparatus lumen	Cellular component	GO:0005796:Golgi lumen		Golgi apparatus lumen		
SL-0134	Golgi apparatus membrane	Cellular component	GO:0000139:Golgi membrane	SL-0162; Membrane; LOCATION	Golgi apparatus membrane		
SL-0135	Golgi stack	Cellular component	GO:0005795:Golgi stack		Golgi apparatus, Golgi stack		
SL-0136	Golgi stack membrane	Cellular component	GO:0032580:Golgi cisterna membrane	SL-0134; Golgi apparatus membrane; LOCATION	Golgi apparatus, Golgi stack membrane		
SL-0137	Hemidesmosome	Cellular component	GO:0030056:hemidesmosome	SL-0038; Cell junction; LOCATION	Cell junction, hemidesmosome		http://celljunctions.med.nyu.edu/hemidesmosomes/hemimain.html
SL-0138	Cell cortex	Cellular component	GO:0005938:cell cortex		Cytoplasm, cell cortex		
SL-0139	Chloroplast nucleoid	Cellular component	GO:0042644:chloroplast nucleoid		Plastid, chloroplast stroma, chloroplast nucleoid		
SL-0140	Plastid nucleoid	Cellular component	GO:0042646:plastid nucleoid		Plastid stroma, plastid nucleoid		
SL-0141	Uropodium	Cellular component	GO:0001931:uropod	SL-0280; Cell projection; LOCATION	Cell projection, uropodium		
SL-0142	Bacterial flagellum basal body	Cellular component	GO:0009425:bacterial-type flagellum basal body		Bacterial flagellum basal body		
SL-0143	Hyaline layer	Cellular component	GO:0033166:hyaline layer	SL-0111; Extracellular matrix; LOCATION	Secreted, extracellular space, extracellular matrix, hyaline layer		
SL-0144	Hydrogenosome membrane	Cellular component	GO:0046859:hydrogenosomal membrane	SL-0162; Membrane; LOCATION	Hydrogenosome membrane		
SL-0145	Hydrogenosome	Cellular component	GO:0042566:hydrogenosome		Hydrogenosome	KW-0377	
SL-0146	Interphotoreceptor matrix	Cellular component	GO:0033165:interphotoreceptor matrix	SL-0111; Extracellular matrix; LOCATION	Secreted, extracellular space, extracellular matrix, interphotoreceptor matrix		
SL-0147	Endomembrane system	Cellular component	GO:0012505:endomembrane system	SL-0162; Membrane; LOCATION	Endomembrane system		
SL-0148	Invadopodium	Cellular component		SL-0038; Cell junction; LOCATION, SL-0280; Cell projection; LOCATION	Cell projection, invadopodium		
SL-0149	Kinetochore	Cellular component			Chromosome, centromere, kinetochore	KW-0995	
SL-0150	Kinetoplast	Cellular component	GO:0020023:kinetoplast		Mitochondrion matrix, kinetoplast	KW-0419	
SL-0151	Late endosome membrane	Cellular component	GO:0031902:late endosome membrane	SL-0100; Endosome membrane; LOCATION	Late endosome membrane		
SL-0152	Late endosome	Cellular component	GO:0005770:late endosome		Late endosome		
SL-0153	Lateral cell membrane	Cellular component	GO:0016328:lateral plasma membrane		Lateral cell membrane		
SL-0154	Lipid droplet	Cellular component	GO:0005811:lipid droplet		Lipid droplet	KW-0551	
SL-0156	Lysosome lumen	Cellular component	GO:0043202:lysosomal lumen		Lysosome lumen		
SL-0157	Lysosome membrane	Cellular component	GO:0005765:lysosomal membrane	SL-0162; Membrane; LOCATION	Lysosome membrane		
SL-0158	Lysosome	Cellular component	GO:0005764:lysosome		Lysosome	KW-0458	
SL-0159	Lytic vacuole	Cellular component	GO:0000323:lytic vacuole	SL-0272; Vacuole; LOCATION	Lytic vacuole		
SL-0160	Melanosome membrane	Cellular component	GO:0033162:melanosome membrane	SL-0162; Membrane; LOCATION	Melanosome membrane		
SL-0161	Melanosome	Cellular component	GO:0042470:melanosome		Melanosome		http://www.proweb.org/kinesin/Melanophore.html
SL-0162	Membrane	Cellular component	GO:0016020:membrane		Membrane	KW-0472	
SL-0163	Microneme	Cellular component	GO:0020009:microneme	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, microneme		
SL-0164	Microneme membrane	Cellular component	GO:0033163:microneme membrane	SL-0245; Secretory vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle, microneme membrane		
SL-0165	Microsome membrane	Cellular component		SL-0162; Membrane; LOCATION	Microsome membrane		
SL-0166	Microsome	Cellular component			Microsome	KW-0492	
SL-0167	Mitochondrion envelope	Cellular component	GO:0005740:mitochondrial envelope		Mitochondrion envelope		
SL-0168	Mitochondrion inner membrane	Cellular component	GO:0005743:mitochondrial inner membrane	SL-0171; Mitochondrion membrane; LOCATION	Mitochondrion inner membrane	KW-0999	
SL-0169	Mitochondrion intermembrane space	Cellular component	GO:0005758:mitochondrial intermembrane space		Mitochondrion intermembrane space		
SL-0170	Mitochondrion matrix	Cellular component	GO:0005759:mitochondrial matrix		Mitochondrion matrix		
SL-0171	Mitochondrion membrane	Cellular component	GO:0031966:mitochondrial membrane	SL-0162; Membrane; LOCATION	Mitochondrion membrane		
SL-0172	Mitochondrion outer membrane	Cellular component	GO:0005741:mitochondrial outer membrane	SL-0171; Mitochondrion membrane; LOCATION	Mitochondrion outer membrane	KW-1000	
SL-0173	Mitochondrion	Cellular component	GO:0005739:mitochondrion		Mitochondrion	KW-0496	
SL-0174	Multivesicular body	Cellular component	GO:0005771:multivesicular body	SL-0152; Late endosome; LOCATION	Endosome, multivesicular body		http://www.uni-mainz.de/FB/Medizin/Anatomie/workshop/EM/EMMVBE.html
SL-0175	Multivesicular body membrane	Cellular component	GO:0032585:multivesicular body membrane	SL-0100; Endosome membrane; LOCATION	Endosome, multivesicular body membrane		
SL-0176	Myelin membrane	Cellular component	GO:0043209:myelin sheath	SL-0039; Cell membrane; LOCATION	Myelin membrane		https://www.myelin.org/
SL-0177	Nematocyst	Cellular component	GO:0042151:nematocyst		Nematocyst	KW-0166	
SL-0178	Nucleus envelope	Cellular component	GO:0005635:nuclear envelope		Nucleus envelope		
SL-0179	Nucleus inner membrane	Cellular component	GO:0005637:nuclear inner membrane	SL-0182; Nucleus membrane; LOCATION	Nucleus inner membrane		
SL-0180	Nucleus lamina	Cellular component	GO:0005652:nuclear lamina		Nucleus lamina		
SL-0181	Nucleus matrix	Cellular component	GO:0016363:nuclear matrix		Nucleus matrix		
SL-0182	Nucleus membrane	Cellular component	GO:0031965:nuclear membrane	SL-0162; Membrane; LOCATION	Nucleus membrane		
SL-0183	Nucleus outer membrane	Cellular component	GO:0005640:nuclear outer membrane	SL-0182; Nucleus membrane; LOCATION	Nucleus outer membrane		
SL-0184	Nucleus intermembrane space	Cellular component	GO:0005641:nuclear envelope lumen		Nucleus intermembrane space		
SL-0185	Nuclear pore complex	Cellular component	GO:0005643:nuclear pore		Nucleus, nuclear pore complex	KW-0906	
SL-0186	Nucleus speckle	Cellular component	GO:0016607:nuclear speck	SL-0494; Nuclear body; LOCATION	Nucleus speckle		
SL-0187	Nucleoid	Cellular component	GO:0009295:nucleoid		Cytoplasm, nucleoid		
SL-0188	Nucleolus	Cellular component	GO:0005730:nucleolus		Nucleus, nucleolus		
SL-0189	Nucleomorph	Cellular component	GO:0033009:nucleomorph		Nucleomorph	KW-0542	
SL-0190	Nucleoplasm	Cellular component	GO:0005654:nucleoplasm		Nucleus, nucleoplasm		
SL-0191	Nucleus	Cellular component	GO:0005634:nucleus		Nucleus	KW-0539	
SL-0192	Paranodal septate junction	Cellular component	GO:0033010:paranodal junction	SL-0038; Cell junction; LOCATION	Cell junction, paranodal septate junction		
SL-0193	Parasitophorous vacuole membrane	Cellular component	GO:0020005:symbiont-containing vacuole membrane	SL-0162; Membrane; LOCATION	Parasitophorous vacuole membrane		
SL-0194	Parasitophorous vacuole	Cellular component	GO:0020003:symbiont-containing vacuole		Parasitophorous vacuole		
SL-0195	Peribacteroid membrane	Cellular component	GO:0043661:peribacteroid membrane	SL-0162; Membrane; LOCATION	Symbiosome, peribacteroid membrane		
SL-0196	Peribacteroid space	Cellular component	GO:0043662:peribacteroid fluid		Symbiosome, peribacteroid space		
SL-0197	Perikaryon	Cellular component	GO:0043204:perikaryon		Perikaryon		
SL-0198	Perinuclear region	Cellular component	GO:0048471:perinuclear region of cytoplasm		Cytoplasm, perinuclear region		
SL-0199	Perinuclear theca	Cellular component	GO:0033011:perinuclear theca		Cytoplasm, cytoskeleton, perinuclear theca		
SL-0200	Periplasm	Cellular component	GO:0042597:periplasmic space		Periplasm	KW-0574	
SL-0201	Periplasmic flagellum	Cellular component	GO:0055040:periplasmic flagellum	SL-0307; Bacterial flagellum; LOCATION	Periplasmic flagellum		
SL-0202	Peroxisome matrix	Cellular component	GO:0005782:peroxisomal matrix		Peroxisome matrix		
SL-0203	Peroxisome membrane	Cellular component	GO:0005778:peroxisomal membrane	SL-0162; Membrane; LOCATION	Peroxisome membrane		
SL-0204	Peroxisome	Cellular component	GO:0005777:peroxisome		Peroxisome	KW-0576	
SL-0205	Phagosome membrane	Cellular component	GO:0030670:phagocytic vesicle membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, phagosome membrane		
SL-0206	Phagosome	Cellular component	GO:0045335:phagocytic vesicle	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, phagosome		
SL-0207	Phragmoplast	Cellular component	GO:0009524:phragmoplast		Cytoplasm, cytoskeleton, phragmoplast		
SL-0208	Plasmodesma	Cellular component	GO:0009506:plasmodesma	SL-0038; Cell junction; LOCATION	Cell junction, plasmodesma		
SL-0209	Plastid	Cellular component	GO:0009536:plastid		Plastid	KW-0934	
SL-0210	Plastid envelope	Cellular component	GO:0009526:plastid envelope		Plastid envelope		
SL-0211	Plastid inner membrane	Cellular component	GO:0009528:plastid inner membrane	SL-0213; Plastid membrane; LOCATION	Plastid inner membrane	KW-1001	
SL-0212	Plastid intermembrane space	Cellular component	GO:0009529:plastid intermembrane space		Plastid intermembrane space		
SL-0213	Plastid membrane	Cellular component	GO:0042170:plastid membrane	SL-0162; Membrane; LOCATION	Plastid membrane		
SL-0214	Plastid outer membrane	Cellular component	GO:0009527:plastid outer membrane	SL-0213; Plastid membrane; LOCATION	Plastid outer membrane	KW-1002	
SL-0215	Plastid stroma	Cellular component	GO:0009532:plastid stroma		Plastid stroma		
SL-0216	Plastid thylakoid membrane	Cellular component	GO:0055035:plastid thylakoid membrane	SL-0162; Membrane; LOCATION	Plastid thylakoid membrane		
SL-0217	Plastoglobule	Cellular component	GO:0010287:plastoglobule		Plastid, chloroplast, plastoglobule		
SL-0218	Porosome	Cellular component	GO:0033012:porosome		Cell membrane, porosome		
SL-0219	Postsynaptic cell membrane	Cellular component	GO:0045211:postsynaptic membrane	SL-0531; Synaptic cell membrane; LOCATION	Postsynaptic cell membrane	KW-0628	
SL-0220	Preautophagosomal structure	Cellular component	GO:0000407:phagophore assembly site		Preautophagosomal structure		
