feat1	feat2	R	p	Padj	name_int	type	sign	color
FKBP5	AKR1B1	0.666345901495932	3.05510727827141e-10	5.21296710338935e-08	FKBP5 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
GGCT	AKR1B1	0.532604321581664	2.07537967855664e-06	0.000127349462712866	GGCT (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
JPT2	AKR1B1	0.685171900971044	6.0524918410465e-11	1.21904306257313e-08	JPT2 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
LBR	AKR1B1	0.523051351587788	3.39387763825805e-06	0.000196959949718569	LBR (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
MCFD2	AKR1B1	0.46853293675094	4.30282837764473e-05	0.00180550053493328	MCFD2 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
MGMT	AKR1B1	0.539217916192809	1.46335483797166e-06	9.40649618000309e-05	MGMT (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
NEXN	AKR1B1	0.691260607120987	3.49296147561518e-11	7.4439212194023e-09	NEXN (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
PLEKHO1	AKR1B1	0.458595048552183	6.53664342844529e-05	0.0025491420386101	PLEKHO1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
PPP1CC	AKR1B1	0.639751552795031	2.49147924513693e-09	3.32369802675929e-07	PPP1CC (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
PPP1R14A	AKR1B1	0.690700726095705	3.67612607021783e-11	7.76978744717646e-09	PPP1R14A (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
PRTFDC1	AKR1B1	0.674184235849882	1.57947432910532e-10	2.94988369246725e-08	PRTFDC1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
PSRC1	AKR1B1	0.645840258944974	1.56903068315728e-09	2.23848377463772e-07	PSRC1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
PSTPIP2	AKR1B1	0.644195608433208	1.77958314750981e-09	2.48367908848108e-07	PSTPIP2 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
RBPMS2	AKR1B1	0.630933426646837	4.78148676208434e-09	5.9318154613684e-07	RBPMS2 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
RNASEH2A	AKR1B1	0.610450620709394	2.01316634473869e-08	2.15858504103923e-06	RNASEH2A (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
RRAS	AKR1B1	0.556456621984568	5.6786489555094e-07	4.11361650712218e-05	RRAS (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
SAMD9L	AKR1B1	0.595975855130785	5.23568732813118e-08	5.11226047857067e-06	SAMD9L (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
SNX5	AKR1B1	0.53417898696527	1.91099093083125e-06	0.000118823842866214	SNX5 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
SPARC	AKR1B1	0.564342577202344	3.61702451767698e-07	2.77683675975919e-05	SPARC (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
TACC3	AKR1B1	0.633522876388767	3.95693344756864e-09	5.01797782387964e-07	TACC3 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
TSC22D1	AKR1B1	0.44743242061062	0.000102983765407405	0.00374592506467728	TSC22D1 (interacts with) AKR1B1	prot-prot	NA	prot-prot_NA
APEX1	AMPD3	0.452471349838159	8.40426048747123e-05	0.00315056290895466	APEX1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
ATG4A	AMPD3	0.647204968944099	1.41254363761334e-09	2.03787194460172e-07	ATG4A (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
ATP6V1G1	AMPD3	0.523296299536348	3.35197037348856e-06	0.000195189567326953	ATP6V1G1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
CALCOCO1	AMPD3	0.670440031493308	2.16995088564431e-10	3.85635562237688e-08	CALCOCO1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
CCT5	AMPD3	0.514338203131835	5.24728668982455e-06	0.000289163781533679	CCT5 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
CENPF	AMPD3	0.549715685416849	8.27450887586068e-07	5.71976818121406e-05	CENPF (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
CIT	AMPD3	0.439909019333392	0.000138682206554108	0.00482031841104377	CIT (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
CPPED1	AMPD3	0.451001662146794	8.92046061056195e-05	0.00332237024625426	CPPED1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
DGKA	AMPD3	0.467714703147135	4.45572892582291e-05	0.00185751816258332	DGKA (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
DTYMK	AMPD3	0.548770886186685	8.71711600902714e-07	5.96153233320418e-05	DTYMK (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
EIF4EBP1	AMPD3	0.591636777184848	6.90961967642068e-08	6.51152415744892e-06	EIF4EBP1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
FUS	AMPD3	0.495827136733444	1.27376620997488e-05	0.000624242676949522	FUS (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
GGCT	AMPD3	0.449252033942787	9.5731017332179e-05	0.00352707679352993	GGCT (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
GLRX	AMPD3	0.637442043565742	2.96126101417826e-09	3.86998385975052e-07	GLRX (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
HAGH	AMPD3	0.675583938413087	1.40098155299029e-10	2.63569276782349e-08	HAGH (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
INPP5D	AMPD3	0.675303997900446	1.43506539984628e-10	2.68996200496733e-08	INPP5D (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
LXN	AMPD3	0.514723121336716	5.14854795774511e-06	0.00028525288361358	LXN (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
NFKB1	AMPD3	0.454907312652458	7.60905375454257e-05	0.00288627031634643	NFKB1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
PSME1	AMPD3	0.545656547983553	1.03390647043788e-06	6.86952604420307e-05	PSME1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
PSMG3	AMPD3	0.677018633540373	1.23810295349358e-10	2.3816092768326e-08	PSMG3 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
RANBP1	AMPD3	0.525715385510323	2.9633506022364e-06	0.000175747906386676	RANBP1 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
TGM2	AMPD3	0.648849619455866	1.2436762730772e-09	1.83549463750704e-07	TGM2 (interacts with) AMPD3	prot-prot	NA	prot-prot_NA
ANXA4	ANGPT1	0.787105240136471	6.66133814775094e-16	3.3216148278494e-13	ANXA4 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
APP	ANGPT1	0.845822762662934	0	0	APP (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
BTC	ANGPT1	0.464998687778847	5.00012116941839e-05	0.00203814462905816	BTC (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
CDC26	ANGPT1	0.807190971918467	0	0	CDC26 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
CDKN1A	ANGPT1	0.734721371708512	4.49418280368263e-13	1.32655878619046e-10	CDKN1A (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
CDKN2D	ANGPT1	0.705082669932639	9.52660172970354e-12	2.28638441512885e-09	CDKN2D (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
DAB2	ANGPT1	0.811774997812965	0	0	DAB2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
DBI	ANGPT1	0.645140407663372	1.65555147368934e-09	2.33596493650233e-07	DBI (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
DTYMK	ANGPT1	0.501076021345464	9.95742951825918e-06	0.000502370903789579	DTYMK (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
DUT	ANGPT1	0.582468725395853	1.22539987490455e-07	1.08138380713227e-05	DUT (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
ENO1	ANGPT1	0.615396728195258	1.43618856807137e-08	1.58971217362383e-06	ENO1 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
FABP5	ANGPT1	0.517592511591287	4.46546382359969e-06	0.000251200681248719	FABP5 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
FGF2	ANGPT1	0.546986265418599	9.61459194925851e-07	6.48038638469707e-05	FGF2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
FKBP5	ANGPT1	0.68153267430671	8.35411739785741e-11	1.65663115657898e-08	FKBP5 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
GGCT	ANGPT1	0.511503805441344	6.03082404615485e-06	0.000327078271394417	GGCT (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
JPT2	ANGPT1	0.706202431983204	8.54694093277431e-12	2.06089617984642e-09	JPT2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
KIF22	ANGPT1	0.533956206443373	1.93348156618534e-06	0.000120076920482804	KIF22 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
LBR	ANGPT1	0.571481060274692	2.3800825799114e-07	1.9434187806717e-05	LBR (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
MCFD2	ANGPT1	0.711871227364185	4.89563944938709e-12	1.22058272874039e-09	MCFD2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
MGMT	ANGPT1	0.653853556119325	8.40214120501059e-10	1.29201788110582e-07	MGMT (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
MTHFD2	ANGPT1	0.525185897996676	3.04461299727166e-06	0.000180151294400775	MTHFD2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
MZT1	ANGPT1	0.467308197008136	4.53355009646383e-05	0.00188536949760634	MZT1 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
NEXN	ANGPT1	0.794348700901059	2.22044604925031e-16	1.20044325357364e-13	NEXN (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
NT5C	ANGPT1	0.530749715685417	2.28600288298964e-06	0.000138781451619796	NT5C (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
PLEKHO1	ANGPT1	0.551360335928615	7.55409233832438e-07	5.30024839475875e-05	PLEKHO1 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
PPP1CC	ANGPT1	0.655428221502931	7.41541938964474e-10	1.16438349368868e-07	PPP1CC (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
PPP1R14A	ANGPT1	0.834380194208731	0	0	PPP1R14A (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
PRTFDC1	ANGPT1	0.672364622517715	1.84415149817596e-10	3.40703672468767e-08	PRTFDC1 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
PSRC1	ANGPT1	0.618860992039192	1.12970575116833e-08	1.28366565000012e-06	PSRC1 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
PSTPIP2	ANGPT1	0.703018108651911	1.16213705325663e-11	2.71306177523911e-09	PSTPIP2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
RBPMS2	ANGPT1	0.73696089580964	3.50830475781549e-13	1.05772388898211e-10	RBPMS2 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
RNASEH2A	ANGPT1	0.453665065760215	8.00545167405353e-05	0.0030187958735638	RNASEH2A (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
RRAS	ANGPT1	0.582526310286574	1.2210650091049e-07	1.07941306140496e-05	RRAS (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
SAMD9L	ANGPT1	0.573125710786458	2.15826405858266e-07	1.78787809756138e-05	SAMD9L (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
SNX5	ANGPT1	0.450756714198233	9.0092876535941e-05	0.00334574847352562	SNX5 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
SPARC	ANGPT1	0.823917417548771	0	0	SPARC (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
TACC3	ANGPT1	0.718869740180212	2.41495712316464e-12	6.32817335947632e-10	TACC3 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
TIMP3	ANGPT1	0.701968331729507	1.28490551531968e-11	2.94610478869726e-09	TIMP3 (interacts with) ANGPT1	prot-prot	NA	prot-prot_NA
CTSB	ANGPTL4	0.530854693377657	2.27356427595637e-06	0.000138189658240378	CTSB (interacts with) ANGPTL4	prot-prot	NA	prot-prot_NA
FST	ANGPTL4	0.555559443618231	5.97328401408248e-07	4.29073939808778e-05	FST (interacts with) ANGPTL4	prot-prot	NA	prot-prot_NA
3-hydroxy-2-ethylpropionate	ANGPTL4	0.455130784708249	7.53969961846401e-05	0.00286843683262453	3-hydroxy-2-ethylpropionate (interacts with) ANGPTL4	met-prot	pos	met-prot_pos
3-hydroxybutyrate (BHBA)	ANGPTL4	0.537678243373283	1.58842074871046e-06	0.000100966942640804	3-hydroxybutyrate (BHBA) (interacts with) ANGPTL4	met-prot	pos	met-prot_pos
acetoacetate	ANGPTL4	0.593141457440294	6.27878411485483e-08	5.98290078179859e-06	acetoacetate (interacts with) ANGPTL4	met-prot	pos	met-prot_pos
APP	ANXA4	0.731292100428659	6.52811138479592e-13	1.83215191651977e-10	APP (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
ATP6V1G1	ANXA4	0.511538798005424	6.02051661457992e-06	0.00032686441154844	ATP6V1G1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
BTC	ANXA4	0.482599947511154	2.32762622942584e-05	0.00104499023726671	BTC (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
CCT5	ANXA4	0.465243635727408	4.94860674851161e-05	0.00202357040289456	CCT5 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
CDC26	ANXA4	0.868567929315021	0	0	CDC26 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
CDKN1A	ANXA4	0.790219578339603	4.44089209850063e-16	2.25825958593062e-13	CDKN1A (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
CDKN2D	ANXA4	0.817233837809465	0	0	CDKN2D (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
DAB2	ANXA4	0.88942349750678	0	0	DAB2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
DBI	ANXA4	0.650914180736593	1.05881148293463e-09	1.59942816951537e-07	DBI (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
DGKA	ANXA4	0.519206711652373	4.119478875797e-06	0.000234044729049706	DGKA (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
DTYMK	ANXA4	0.605948735893623	2.7239755340247e-08	2.82063273039332e-06	DTYMK (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
DUT	ANXA4	0.633872802029569	3.856482466702e-09	4.91486202207978e-07	DUT (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
EDIL3	ANXA4	-0.499746303910419	1.06024508772506e-05	0.000528681434034556	EDIL3 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
ENO1	ANXA4	0.750782958621293	7.19424519957101e-14	2.47984183523468e-11	ENO1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
FABP5	ANXA4	0.478085906744817	2.84327213351254e-05	0.00124919124702484	FABP5 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
FGF2	ANXA4	0.595206018721022	5.50147472022644e-08	5.33124040812887e-06	FGF2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
FKBP5	ANXA4	0.795223515003062	2.22044604925031e-16	1.20044325357364e-13	FKBP5 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
FST	ANXA4	-0.482739917767474	2.3131239303753e-05	0.00103938797081431	FST (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
GGCT	ANXA4	0.658052663808941	6.01174443559671e-10	9.61879109695474e-08	GGCT (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
JPT2	ANXA4	0.832140670107602	0	0	JPT2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
KIF22	ANXA4	0.510528479841772	6.32484645790576e-06	0.000339440035609237	KIF22 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
LBR	ANXA4	0.621765374857843	9.21688858568359e-09	1.0734226706592e-06	LBR (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
MCFD2	ANXA4	0.648009797917942	1.32734756519426e-09	1.9312343044866e-07	MCFD2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
MGMT	ANXA4	0.686501618406089	5.37387911947462e-11	1.10214457666167e-08	MGMT (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
MTHFD2	ANXA4	0.510279065698539	6.40215869629479e-06	0.000342515490251771	MTHFD2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
MZT1	ANXA4	0.619805791269355	1.05758184432148e-08	1.20705341165224e-06	MZT1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
NEXN	ANXA4	0.871822237774473	0	0	NEXN (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
NT5C	ANXA4	0.600804828973843	3.82630886974766e-08	3.83826608496562e-06	NT5C (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PAGR1	ANXA4	0.486099203919167	1.98928794514774e-05	0.000908176256558117	PAGR1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PLEKHO1	ANXA4	0.558428833872802	5.07840073549204e-07	3.7207797685431e-05	PLEKHO1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PPP1CC	ANXA4	0.781086519114688	1.55431223447522e-15	7.25722512387702e-13	PPP1CC (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PPP1R14A	ANXA4	0.846067710611495	0	0	PPP1R14A (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PRTFDC1	ANXA4	0.828081532674307	0	0	PRTFDC1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PSRC1	ANXA4	0.745709036829674	1.30340183090993e-13	4.26386739079836e-11	PSRC1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
PSTPIP2	ANXA4	0.82374245472837	0	0	PSTPIP2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
RANBP1	ANXA4	0.499593207903011	1.06791678340379e-05	0.000530960367818186	RANBP1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
RBPMS2	ANXA4	0.810375295249759	0	0	RBPMS2 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
RNASEH2A	ANXA4	0.636607791186911	3.15080672663726e-09	4.1072445045708e-07	RNASEH2A (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
RRAS	ANXA4	0.666036795028504	3.13436832044545e-10	5.33050188536683e-08	RRAS (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
RRM2B	ANXA4	0.450161840608871	9.2284215610583e-05	0.00341724391763485	RRM2B (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
SAMD9L	ANXA4	0.739305397603009	2.70006239588838e-13	8.30390447022918e-11	SAMD9L (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
SNX5	ANXA4	0.577149855655673	1.6949706482805e-07	1.43652957913674e-05	SNX5 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
SPARC	ANXA4	0.710996413262182	5.33972865923715e-12	1.31850223047317e-09	SPARC (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
TACC3	ANXA4	0.801837109614207	0	0	TACC3 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
TIMP3	ANXA4	0.594016271542297	5.93750768551615e-08	5.68937303597219e-06	TIMP3 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
TSC22D1	ANXA4	0.474236724696002	3.36483725784653e-05	0.0014534738567115	TSC22D1 (interacts with) ANXA4	prot-prot	NA	prot-prot_NA
taurine	ANXA4	0.469757676493745	4.08303502779095e-05	0.00172312801172837	taurine (interacts with) ANXA4	met-prot	pos	met-prot_pos
CALCOCO1	APEX1	0.523156329280028	3.37585760834536e-06	0.000196357923855739	CALCOCO1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
CASP1	APEX1	0.487533899046453	1.86428815913686e-05	0.000859513822740298	CASP1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
CPPED1	APEX1	0.453066223427522	8.20328006412296e-05	0.00308433721883862	CPPED1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
DDAH1	APEX1	0.519447117487534	4.07015249481724e-06	0.00023149837445605	DDAH1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
DDX58	APEX1	0.559128685154405	4.88016729471852e-07	3.58577099079747e-05	DDX58 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
FEN1	APEX1	0.64744991689266	1.38607814115232e-09	2.00532319238263e-07	FEN1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
FUS	APEX1	0.493027731607034	1.45013944243821e-05	0.000696066932370343	FUS (interacts with) APEX1	prot-prot	NA	prot-prot_NA
HAGH	APEX1	0.450301810865191	9.17642244089301e-05	0.00340289571526545	HAGH (interacts with) APEX1	prot-prot	NA	prot-prot_NA
HEG1	APEX1	0.45779021957834	6.75799914868769e-05	0.002625498005118	HEG1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
INPP5D	APEX1	0.499711311346339	1.06199402916118e-05	0.000529039896583108	INPP5D (interacts with) APEX1	prot-prot	NA	prot-prot_NA
LBR	APEX1	0.570151342839647	2.57498526501365e-07	2.07942206306763e-05	LBR (interacts with) APEX1	prot-prot	NA	prot-prot_NA
LPCAT2	APEX1	0.632158166389642	4.37298197653035e-09	5.46463149183939e-07	LPCAT2 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
MKI67	APEX1	0.472277141107515	3.66324944587326e-05	0.00157048824323915	MKI67 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
NFKB1	APEX1	0.543579245749483	1.15744137163531e-06	7.63108971080742e-05	NFKB1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
NPM1	APEX1	0.737800717347564	3.1952218648712e-13	9.76824970117767e-11	NPM1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
PARP1	APEX1	0.678698276616219	1.07037045893321e-10	2.08235707465188e-08	PARP1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
PSME1	APEX1	0.561123261306972	4.35445552726677e-07	3.23653886947064e-05	PSME1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
SAMD9L	APEX1	0.449776922403989	9.37282507318393e-05	0.00346571847198507	SAMD9L (interacts with) APEX1	prot-prot	NA	prot-prot_NA
SNRPB2	APEX1	0.72880762837897	8.5309537212197e-13	2.36837720606402e-10	SNRPB2 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
TCOF1	APEX1	0.582993613857055	1.18641976243339e-07	1.05240965455231e-05	TCOF1 (interacts with) APEX1	prot-prot	NA	prot-prot_NA
FN1	APOC1	0.439139182923629	0.000142914863228594	0.00493950698211344	FN1 (interacts with) APOC1	prot-prot	NA	prot-prot_NA
CDC26	APP	0.758236374770361	2.93098878501041e-14	1.09879988319806e-11	CDC26 (interacts with) APP	prot-prot	NA	prot-prot_NA
CDKN1A	APP	0.67099991251859	2.06990424800324e-10	3.71714273347715e-08	CDKN1A (interacts with) APP	prot-prot	NA	prot-prot_NA
CDKN2D	APP	0.64479048202257	1.70049729852906e-09	2.38627161891946e-07	CDKN2D (interacts with) APP	prot-prot	NA	prot-prot_NA
DAB2	APP	0.759566092205406	2.48689957516035e-14	9.39170310148791e-12	DAB2 (interacts with) APP	prot-prot	NA	prot-prot_NA
DBI	APP	0.654693377657248	7.8612938381184e-10	1.2235031864417e-07	DBI (interacts with) APP	prot-prot	NA	prot-prot_NA
DTYMK	APP	0.504295337240836	8.54432584240783e-06	0.000443269267945521	DTYMK (interacts with) APP	prot-prot	NA	prot-prot_NA
DUT	APP	0.538203131834485	1.54469795510259e-06	9.84313734169592e-05	DUT (interacts with) APP	prot-prot	NA	prot-prot_NA
ENO1	APP	0.598600297436795	4.41808651885367e-08	4.3721179885997e-06	ENO1 (interacts with) APP	prot-prot	NA	prot-prot_NA
FABP5	APP	0.575260257195346	1.89939101780112e-07	1.59399873650761e-05	FABP5 (interacts with) APP	prot-prot	NA	prot-prot_NA
FGF2	APP	0.57645000437407	1.76812958940786e-07	1.49360420578927e-05	FGF2 (interacts with) APP	prot-prot	NA	prot-prot_NA
FKBP5	APP	0.690140845070423	3.8684611070039e-11	8.10955765125388e-09	FKBP5 (interacts with) APP	prot-prot	NA	prot-prot_NA
GGCT	APP	0.561578164640014	4.24227492246132e-07	3.16231117587247e-05	GGCT (interacts with) APP	prot-prot	NA	prot-prot_NA
JPT2	APP	0.667045752777535	2.88265855630243e-10	4.93511144838976e-08	JPT2 (interacts with) APP	prot-prot	NA	prot-prot_NA
