Features	Name_C1	Name_C2	type	Mean_C1	Mean_C2
methyl indole-3-acetate			met	0.0534126440981183	0.2588889855477
MFGE8			prot	0.243754545454545	0.415207142857143
MGMT			prot	0.868961363636364	2.86822428571429
MKI67			prot	-0.00102613636363637	0.257632857142857
MMP12			prot	0.529804545454545	0.638005714285714
MMP3			prot	0.548345454545455	0.507111428571429
MTHFD2			prot	-0.00124772727272727	0.186798571428571
MZT1			prot	0.0946238636363636	0.468375714285714
N-acetylputrescine	N-acetylputrescine	N-acetylputrescine	met	0.00636986154658803	0.116066336457688
NDRG1			prot	0.00923863636363636	-0.0571985714285714
NEXN		NEXN	prot	0.223203409090909	1.59349285714286
NFKB1			prot	-0.322811363636364	0.0435042857142857
NMI			prot	0.357064772727273	0.700458571428571
NOP56			prot	0.0759875	-0.0102114285714286
NPC2			prot	0.419301136363636	0.599432857142857
NPDC1			prot	0.643444318181818	0.734874285714286
NPM1			prot	-0.261894318181818	0.11316
NT5C			prot	1.30383863636364	2.17214142857143
NUDT15			prot	-0.530993181818182	-0.313588571428571
PAFAH1B3			prot	0.583146590909091	0.543084285714286
PAGR1			prot	0.00832954545454545	0.178982857142857
PAM			prot	0.259706818181818	0.326934285714286
PAMR1			prot	0.0686181818181818	0.120194285714286
PARP1			prot	-0.478457954545455	-0.0399828571428571
PBK			prot	0.911836363636364	1.05148857142857
PCNA			prot	-0.201861363636364	-0.27333
PCOLCE	PCOLCE		prot	0.241644318181818	0.29171
PDCD1LG2			prot	0.163540909090909	0.255361428571429
phenylacetate			met	-0.511018423655479	-0.302909625659902
PIK3IP1	PIK3IP1		prot	0.469311363636364	0.518592857142857
PLA2G15	PLA2G15	PLA2G15	prot	0.185870454545455	0.329295714285714
PLAT		PLAT	prot	-0.0642738636363636	0.285395714285714
PLEKHO1			prot	-0.430936363636364	-0.0469728571428571
PLXDC2			prot	0.547564772727273	0.640821428571429
PODXL			prot	0.101752272727273	0.118597142857143
POSTN			prot	0.250893181818182	0.277141428571429
PPP1CC		PPP1CC	prot	0.20585	0.819967142857143
PPP1R14A		PPP1R14A	prot	0.0718670454545455	1.09565142857143
PRC1			prot	0.149473863636364	0.205071428571429
PRTFDC1		PRTFDC1	prot	-0.458179545454545	1.30124142857143
PSG1			prot	0.113354545454545	-0.138652857142857
PSME1			prot	1.03697727272727	1.59770714285714
PSMG3			prot	1.83157159090909	2.43275571428571
PSRC1		PSRC1	prot	0.0524875	0.681871428571429
PSTPIP2		PSTPIP2	prot	-1.54926704545455	0.255071428571429
PTPRK			prot	-0.865272727272727	-0.755495714285714
PTPRM			prot	0.218820454545455	0.374141428571429
PTTG1			prot	-0.222470454545455	-0.248998571428571
PTX3			prot	0.186567045454545	0.261018571428571
RAB6B			prot	-2.17007159090909	-2.21134428571429
RAD51			prot	0.0504011363636364	0.114792857142857
RANBP1			prot	1.69326022727273	2.47985857142857
RBP1			prot	-0.0661340909090909	-0.0163171428571429
RBPMS2		RBPMS2	prot	-0.203839772727273	1.41631857142857
RFC4			prot	-0.0637397727272727	0.0634157142857143
RNASEH2A			prot	-0.0609727272727273	0.349477142857143
RNF168			prot	0.139788636363636	0.15072
RRAS			prot	0.363857954545455	1.09909285714286
RRM2			prot	0.747296590909091	1.10743857142857
RRM2B			prot	0.416068181818182	1.00489428571429
RUVBL1			prot	0.0953693181818182	-0.0243514285714286
SAMD9L		SAMD9L	prot	-0.483886363636364	0.30402
SAT1			prot	-0.711084090909091	-0.576778571428571
SCG2	SCG2		prot	0.541709090909091	0.4578
SERPINF1		SERPINF1	prot	-0.0511545454545455	0.0449442857142857
SERPINI1			prot	-0.0221102272727273	0.0554185714285714
SFRP1			prot	0.337817045454545	0.300762857142857
SGSH			prot	-0.00795795454545454	0.351912857142857
SIL1			prot	-0.893720454545455	-0.780255714285714
SLIT2			prot	0.171626136363636	0.297261428571429
SMC3			prot	0.0403329545454545	-0.07004
SMPD1			prot	0.498335227272727	0.599332857142857
SNRPB2			prot	0.00177386363636364	0.361991428571429
SNX5			prot	0.0647545454545455	0.233512857142857
SORT1			prot	-0.227625	0.0313842857142857
SPARC		SPARC	prot	-0.953638636363636	0.0100814285714286
spermidine	spermidine		met	-0.281829334374779	0.197641762028843
spermine	spermine	spermine	met	-0.299646771374768	0.304769114342248
STC1			prot	0.161351136363636	0.391745714285714
STC2			prot	0.0831715909090909	0.0492257142857143
STOML2			prot	-0.164521590909091	-0.408717142857143
SV2A			prot	-0.120963636363636	0.119277142857143
SYT1			prot	0.173681818181818	0.271881428571429
TACC3		TACC3	prot	-0.0021625	1.53755571428571
TAP1			prot	-0.886615909090909	-0.863844285714286
taurine		taurine	met	-0.103315132983619	0.172650981419541
taurochenodeoxycholic acid 3-sulfate			met	-0.90361965085527	-0.173309857625713
taurocholenate sulfate*		taurocholenate sulfate*	met	-0.230314255640679	-0.0623621422202859
taurodeoxycholate			met	-0.360701771145106	0.263622202371182
taurodeoxycholic acid 3-sulfate			met	-1.11219968384947	-0.187189519203518
taurohyocholate*		taurohyocholate*	met	-1.76415249651032	-1.66568281626548
taurolithocholate 3-sulfate			met	-0.734812859893743	-0.0971207251462268
TCOF1			prot	0.198448863636364	0.443774285714286
TCTN3	TCTN3		prot	0.355195454545455	0.49793
TGFB2			prot	0.110656818181818	0.225134285714286
TGM2			prot	3.01346590909091	3.53070285714286
TGOLN2	TGOLN2		prot	0.350182954545455	0.3111
TIGAR			prot	0.208796590909091	0.26912
TIMP2			prot	0.208218181818182	0.256737142857143
TIMP3			prot	-0.0876170454545454	0.652455714285714
TK1			prot	-0.295485227272727	-0.210681428571429
TLR3			prot	-0.135259090909091	-0.00670857142857142
TNFRSF10B		TNFRSF10B	prot	0.519506818181818	0.644594285714286
TNFRSF19	TNFRSF19	TNFRSF19	prot	0.472926136363636	0.496757142857143
TNFRSF1B			prot	0.253948863636364	0.326021428571429
TNFRSF21			prot	0.210089772727273	0.190595714285714
TNFSF10			prot	0.251756818181818	0.26013
TP53INP1			prot	-1.13278068181818	-1.09252142857143
TPRKB			prot	0.348721590909091	0.567938571428571
TSC22D1			prot	0.3492125	0.7026
ULBP2		ULBP2	prot	0.340115909090909	0.402717142857143
ursodeoxycholate	ursodeoxycholate		met	-0.584541102011552	-0.729356975466646
