Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T Regulatory Cells	23/117	1.1302231381585665E-6	1.7878075094508235E-5	0	0	3.641093399496975	49.8578395612143	CD84;LAG3;SELPLG;GZMA;SH2D1A;ITGB2;GZMB;IL16;ITGAL;CTSS;GZMH;DOK2;NT5E;PTPRC;CD40LG;BIN2;CD6;CCL5;SLAMF6;CD69;GBP2;TIGIT;HAVCR2
Erythroid-like And Erythroid Precursor Cells	27/153	1.2856766301629683E-6	1.864231113736304E-5	0	0	3.1935096153846154	43.31748429687145	FCN1;CLEC12A;GMFG;SLC4A1;ACRBP;CA1;UROD;GRAP2;AHSP;CD36;CD300LF;CLEC1B;ERMAP;SNCA;NFE2;PKLR;ARG1;UROS;MCEMP1;PPBP;MYL4;TREML1;DOK2;CEACAM1;BIN2;HMBS;PF4
Plasmacytoid Dendritic Cells	26/150	2.841827744059239E-6	3.803677134356212E-5	0	0	3.122665874635192	39.87976305303363	NRP1;CD84;CD40;CD80;GMFG;ITGB2;WAS;ITGAL;AIF1;CTSS;TNFSF13B;CDH1;BLNK;SLAMF6;TNFAIP8L2;CD300LF;SERPINF1;RNASE6;GZMB;IL16;IL17RB;BST2;DOK2;PTPRC;BIN2;HCLS1
Erythroblasts	23/124	3.2197004548022325E-6	3.894608754678299E-5	0	0	3.3874671812229145	42.83866276784677	VASP;IGBP1;NFE2;GMFG;SNAP23;TALDO1;SLC4A1;RNASE3;NMI;ACRBP;MPO;ARHGAP45;HHEX;CDH1;GRAP2;RGS10;TRIM58;AHSP;FXYD5;GRSF1;LBR;RELT;SH2B3
Osteoclast Precursor Cells	21/107	3.357421340239913E-6	3.894608754678299E-5	0	0	3.629492600422833	45.74734909750434	CD84;IL1RN;SAMD9L;NCF2;ITGB2;RNASE6;TREM2;TNFRSF11A;NFKB1;CTSS;TYMP;PTPRC;IL1B;SLAMF8;CASP1;CCL3;LGALS9;GBP2;SIGLEC7;TMEM106A;HAVCR2
T Cells Naive	20/102	5.791875824452394E-6	6.298664959091979E-5	0	0	3.623165873092994	43.69195415464703	SELPLG;GMFG;GZMA;SH2D1A;ITGB2;WAS;GZMB;IL16;ITGAL;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;SIT1;GRAP2;HCLS1;SLAMF6;TNFAIP8L2
Osteoclasts	24/144	1.346754226038195E-5	1.3784425607685054E-4	0	0	2.9744204636290967	33.35880379966014	IL1RN;CD163;NRP2;SERPINF1;ITGA2;TNFAIP2;CXCL1;TREM2;TNFRSF11A;HNMT;OSCAR;CST3;MARCO;DAB2;CA2;PSAP;SLAMF8;NUMB;CCL3;ACP5;CHI3L1;TGFBI;CTSD;SIGLEC7
Eosinophils	22/127	1.6306241656034802E-5	1.5108950282237353E-4	0	0	3.1135940409683425	34.32414425848619	FCN1;CCL11;SELPLG;CLEC12A;GMFG;ITGB2;RNASE6;WAS;RNASE3;ITGAL;AIF1;CTSS;DOK2;PTPRC;BIN2;CCL5;HCLS1;TNFAIP8L2;CD69;CD300LF;SIGLEC8;SIGLEC7
Thymocytes	21/118	1.6498279043822398E-5	1.5108950282237353E-4	0	0	3.2160015784541014	35.41542779925397	SELPLG;GMFG;GZMA;SH2D1A;ITGB2;WAS;GZMB;IL16;ITGAL;CORO1A;GZMH;DOK2;PTPRC;BIN2;SIT1;HCLS1;SLAMF6;TNFAIP8L2;CD69;EZR;CD99
Hematopoietic Stem Cells	27/178	2.358024881995603E-5	2.0514816473361745E-4	0	0	2.661200967906266	28.355365389066332	CLEC12A;AIF1;ADGRG1;HHEX;CDH2;CD59;LGALS9;CD36;CD300LF;CD34;SCARF1;NFE2;CD163;ANGPT1;HGF;TIE1;RNASE6;FLI1;SELP;DAB2;KITLG;PTPRC;CDCP1;ALDH1A1;PECAM1;ESAM;ITGA6
Neutrophils	24/151	3.0272789498768723E-5	2.5083168441836944E-4	0	0	2.809418606846806	29.23273466393865	FCN1;SERPINB1;MME;CLEC12A;NCF2;IL1R2;ITGB2;RNASE6;MCEMP1;AZU1;PILRA;MPO;AIF1;CTSS;DOK2;CEACAM1;BIN2;IL1B;PECAM1;CCL3;S100A4;TNFAIP8L2;CD300LF;SIGLEC7
T Cells	25/165	4.7488024850295084E-5	3.663347429681203E-4	0	0	2.655	26.43061258081206	SELPLG;GMFG;ITGAL;SIT1;GRAP2;CCL5;CCL3;SLAMF6;TIGIT;LAG3;GZMA;SH2D1A;GZMB;IL16;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;S100A4;CD69;SKAP1;LAT;IL18R1
Spermatozoa	19/108	4.842355797854464E-5	3.663347429681203E-4	0	0	3.1675731768410507	31.471499724331636	MSR1;CPM;PIGR;CD74;CD163;TMCO5A;ASAH1;HNMT;SOD2;CTSS;C2;C3;VNN1;ALDH1A1;CD302;FAM20A;EVI5;MGLL;CES1
Kupffer Cells	22/137	5.447601259343002E-5	3.949510913023676E-4	0	0	2.8413199625247234	27.895369315192333	FCN1;MSR1;CD163;CLEC12A;NCF2;ITGB2;RNASE6;PILRA;MPO;AIF1;CTSS;TYMP;MARCO;DOK2;BIN2;IL1B;LGALS9;CD300LF;CLEC1B;PLTP;SIGLEC7;HAVCR2
T Follicular Helper Cells	19/110	6.279323698466818E-5	4.286708633151227E-4	0	0	3.0976237138657523	29.97156371875206	CD84;SELPLG;GMFG;GZMA;SH2D1A;ITGB2;GZMB;IL16;ITGAL;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;HCLS1;SLAMF6;TNFAIP8L2;PDCD1
Microglia	24/158	6.405426693214477E-5	4.286708633151227E-4	0	0	2.6616557500268443	25.700362126620764	CEBPA;CD84;LAG3;CD163;CD40;CLEC12A;NCF2;ITGB2;RNASE6;TREM2;AIF1;CTSS;APBB1IP;DOK2;PTPRC;BIN2;PECAM1;CCL3;LGALS9;PTGDS;CD300LF;SIGLEC7;HAVCR2;PF4
B Cells	26/182	9.299433314575695E-5	5.992968136059893E-4	0	0	2.4778489458233253	23.001802385754896	CD40;CD80;GMFG;WAS;ITGAL;CORO1A;CTSS;SIT1;BLNK;SLAMF6;TNFAIP8L2;CD74;CD72;MME;SWAP70;RNASE6;IL16;FLI1;DOK2;PTPRC;BIN2;BANK1;HCLS1;CD69;PDCD1;CRELD2
Pulmonary Alveolar Type II Cells	21/135	1.27254763881225E-4	7.907974612618982E-4	0	0	2.7339251238143203	24.521447831761453	PIGR;CEBPA;IL1RN;TNFSF13;TNFAIP2;TREM2;PPBP;KLF4;C2;TYMP;C3;MARCO;IL1B;ADGRF5;ALDH1A1;SLAMF8;CD36;CCL19;CCL18;FBP1;CES1
Microfold Cells	20/126	1.37647533262281E-4	8.258851995736861E-4	0	0	2.7992182214538075	24.88732924347639	IL1RN;CXCL8;IL1R2;ANXA4;GP2;TNFAIP2;ANXA11;CXCL1;IFI30;KLF4;SSH3;ICAM1;TNFRSF1A;TYMP;FABP5;TNIP1;MFGE8;CTSD;FBP1;S100A11
Natural Killer T Cells	19/118	1.6526246404281777E-4	9.585222914483431E-4	0	0	2.846088271247507	24.783667382854787	SELPLG;GMFG;ZBTB16;GZMA;SH2D1A;ITGB2;GZMB;IL16;ITGAL;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;GRAP2;SLAMF6;CD69;TIGIT
Myeloid-derived Suppressor Cells	18/112	2.4890711462894347E-4	0.0013970915466269731	0	0	2.8382166251967704	23.55274415945169	FCN1;CLEC12A;NCF2;CD80;ITGB2;RNASE6;MCEMP1;ITGAL;AIF1;CTSS;ICAM1;DOK2;PTPRC;BIN2;S100A4;TNFAIP8L2;CD300LF;SIGLEC7
Ductal Cells	19/132	7.083709570596687E-4	0.0038517670790119483	0	0	2.4916013753452453	18.070445243571832	PIGR;SDC4;GDF15;ANXA4;KRT8;LGALS4;BTC;C3;ACE2;HHEX;KRT19;KRT18;TSPAN8;ERBB3;CDH1;GSTA1;TFF1;PRSS8;GPRC5C
Pericytes	21/155	8.594233549541714E-4	0.004531504962485631	0	0	2.323377133471399	16.401297499554133	PDGFRB;SPARC;ANGPT1;RARRES2;DLK1;ICAM1;VEGFA;NT5E;PDZD2;C1QTNF1;FABP4;ADGRF5;MXRA8;PECAM1;TIMP3;ANGPTL2;COL6A3;PDE5A;CCN2;VIM;MFGE8
Adipocytes	26/210	9.001039873894509E-4	0.0046064145236989545	0	0	2.097617224214154	14.71059013831302	CCL11;CFH;ADH1B;SYAP1;C3;SULT1A1;C1QTNF1;TIMP3;IGFBP7;CPXM1;TIMP1;APPL2;PDGFRB;SERPINF1;RARRES2;ZBTB16;ADIPOQ;RNASE4;ACADSB;CPPED1;DAB2;PIKFYVE;FABP4;ADGRF5;ANGPTL2;COL6A3
T Helper Cells	20/148	0.0011649432047961183	0.005791431932414989	0	0	2.315363545816733	15.640472798434024	GMFG;IL1R2;GZMA;SH2D1A;GZMB;ITGAL;NFKB1;IL17RB;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;CCL5;SLAMF6;CD69;TIGIT;IL18R1;HAVCR2
Enterocytes	25/203	0.0012068002539816587	0.005832867894244683	0	0	2.0839325842696628	14.003574419951866	SPON2;FUOM;KHK;LGALS4;CA1;TSPAN8;CD36;CCL15;ENPP7;EPHX2;PDZK1;PRAP1;FABP1;ACE2;FABP2;SMOC2;CEACAM1;VNN1;RBP2;GIPC2;GSTA1;CDHR2;PLIN3;CDHR5;CES2
Pancreatic Stellate Cells	16/111	0.0017799715964781936	0.008370677237492045	0	0	2.4922035031980267	15.778533827499862	PDGFRB;SPON2;SPARC;TGFB1;DYNLT1;FN1;SSC5D;NID2;C1QTNF1;COL5A1;MXRA8;TIMP3;ANGPTL2;COL6A3;CCN2;TIMP1
Osteoblasts	20/154	0.0018976565690922258	0.00868926955321177	0	0	2.2109769875720997	13.85649245415592	PDGFRB;SPARC;VCAM1;CCL11;MAGED1;ITGA2;F2R;FN1;SSC5D;HSPG2;FOXO1;C1QTNF1;COL5A1;TIMP3;ANGPTL2;COL6A3;FAS;IGFBP7;ITGA5;FGFR2
T Cytotoxic Cells	15/102	0.001996884717323776	0.008909177969598385	0	0	2.5503557744937053	15.853437286720105	GZMA;SH2D1A;GZMB;ITGAL;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;SIT1;GRAP2;SLAMF6;CD69;TIGIT
Cholangiocytes	18/134	0.002145439782941888	0.009332663055797212	0	0	2.2972183359394287	14.115052970916116	CXCL6;PIGR;KRT8;CXCL1;CGN;PPL;LGALS4;BTC;ACE2;KRT19;TSPAN8;ERBB3;CDH1;GSTA1;TFF1;PRSS8;GGT1;GPRC5C
B Cells Memory	19/147	0.002568087803487737	0.010898714092850396	0	0	2.1978440983280256	13.10924706763364	CD84;CD72;CD80;GMFG;WAS;IL16;ITGAL;CORO1A;CTSS;DOK2;HHEX;NT5E;PTPRC;BIN2;SIT1;IL7;BANK1;SLAMF6;CD69
Hemangioblasts	14/97	0.0033105119237829216	0.013714977969957819	0	0	2.4936032790957645	14.240101654645231	NFE2;GMFG;ACRBP;MYL4;DOK1;HHEX;CCS;GIPC3;BLVRB;AHSP;HBQ1;IKBKG;RILP;PF4
Merkel Cells	15/111	0.004567064961281825	0.018480681471233433	0	0	2.3101438492063493	12.449098429856734	KRT8;CGN;FLI1;LGALS4;FABP1;ACE2;KRT19;KRT18;TSPAN8;CDH1;MDK;GSTA1;TFF1;PRSS8;CD99
Langerhans Cells	16/123	0.005061517687097596	0.020016001762613218	0	0	2.2112787926926134	11.68901628637196	ACHE;CD74;CD84;NCF2;CD80;ITGB2;RNASE6;ITGAL;AIF1;CTSS;PTPRC;BIN2;LGALS9;CD300LF;SIGLEC7;HAVCR2
Sebocytes	16/124	0.0054769206178768804	0.02107136535642662	0	0	2.190686317771306	11.407368667067518	CEBPA;IL1RN;FGFBP1;ANXA3;IL1R2;TNFAIP2;IL18;TGFA;CXCL1;F11R;KLF4;SSH3;VAMP8;CDH1;FBP1;S100A11
Smooth Muscle Cells	20/169	0.005570590841354164	0.02107136535642662	0	0	1.9867910906708734	10.3119507135142	PDGFRB;HEXIM1;SPON2;PHLDB1;NRP2;ANGPT1;NEXN;WWP2;NID2;SMTN;FABP4;COL5A1;AKT2;SMOC1;RBPMS2;TIMP3;ANGPTL2;COL6A3;FAS;PRKG1
Mesangial Cells	18/148	0.006255488063379318	0.023158615383574496	0	0	2.048283458784652	10.393596787884578	PDGFRB;YAP1;CSTB;PHLDB1;SPARC;SERPINE2;PDGFB;FN1;PTN;HSPG2;NID2;DAB2;PER3;COL5A1;TIMP3;ANGPTL2;COL6A3;CCN2
Mast Cells	25/235	0.008371358870565301	0.030070786837351295	0	0	1.7633333333333334	8.433915871446034	ACHE;CD274;SPARC;CFH;DAPP1;ENO2;HNMT;C2;CCL7;IGFBP7;PCBD1;PTGDS;CD34;PDGFRB;VCAM1;HGF;MCEMP1;RAB27B;GP1BA;DNM3;DAB2;ADGRF5;ALDH1A1;RAPGEF2;MFGE8
Proximal Tubule Cells	19/164	0.008468210086380537	0.030070786837351295	0	0	1.938392268833736	9.248914879597685	SLC13A1;ENPEP;SORD;AFM;PDZK1;LRP2;PRAP1;UPB1;ASS1;KHK;FABP1;GSTA1;HAO1;APOE;TGFBI;AGXT;FBP1;TMEM106A;ENPP7
Hepatic Stellate Cells	16/132	0.009889841823344195	0.03390048472686833	0	0	2.0387280545589	9.411272524735637	PDGFRB;PHLDB1;SEMA7A;SPARC;HGF;FN1;NID2;VEGFA;C1QTNF1;COL5A1;TIMP3;ANGPTL2;COL6A3;IGFBP7;CCN2;TIMP1
Pulmonary Vascular Smooth Muscle Cells	13/99	0.010070002494131553	0.03390048472686833	0	0	2.232585781152103	10.265863268014408	PDGFRB;SPARC;ANGPT1;SSC5D;PTN;NID2;DAB2;COL5A1;ITGA11;ANGPTL2;COL6A3;IGFBP7;PRKG1
Red Pulp Macrophages	14/110	0.0101311793436618	0.03390048472686833	0	0	2.1544243986254297	9.893413172246245	FCN1;CD163;VCAM1;CLEC12A;NCF2;RNASE6;PILRA;AIF1;CTSS;CLEC4A;MARCO;CD300LF;SIGLEC7;HAVCR2
Sertoli Cells	18/158	0.012019014331506176	0.03945865082419009	0	0	1.9009546539379476	8.40462495403762	YAP1;SDC4;RARRES2;SERPINB9;HSPG2;C3;SLC9A3R2;CST3;OCLN;TF;KITLG;C1QTNF1;ERBB2;TIMP3;VWA1;FAS;SHBG;GPRC5C
Stromal Cells	15/124	0.012459324689533851	0.040146712888497964	0	0	2.033202271734382	8.916173386981708	PDGFRB;SPARC;VCAM1;CFH;MME;MMP1;SSC5D;ICAM1;DAB2;COL5A1;PECAM1;TIMP3;ANGPTL2;COL6A3;IGFBP7
B Cells Naive	17/151	0.0160107721123027	0.05065226086437582	0	0	1.8748487293263412	7.751549934115179	CD74;CD84;CD72;MME;GMFG;WAS;IL16;ITGAL;CTSS;DOK2;HHEX;PTPRC;BIN2;SIT1;BANK1;SLAMF6;CD69
Decidual Cells	13/106	0.01724318859089879	0.05357705026457839	0	0	2.0637663377809585	8.379589044932452	GZMA;SH2D1A;GZMB;AREG;GZMH;DOK2;KLRK1;CD40LG;GRAP2;CCL5;SLAMF6;TIGIT;SKAP1
Basal Cells	16/141	0.017804292055948842	0.054349944170791205	0	0	1.8910246227164416	7.617644222182083	FGFBP1;SDC4;ANXA2;ITGA2;ANXA11;HSPB1;RHOC;DNPH1;TYMP;KRT19;DPP7;CDCP1;RRAS;CD59;S100A11;EPHA2
Undefined Placental Cells	13/108	0.019870988009158853	0.05961296402747656	0	0	2.0201017599466176	7.915757635776694	LRRC59;AHCY;KRT8;PDIA4;KRT19;KRT18;RCC1;HDGF;PRSS8;FKBP4;AGRN;EPHA2;PAK4
Epithelial Cells	22/218	0.022237078222479018	0.06500221596201285	0	0	1.6598449435640177	6.31736021668213	PIGR;ST6GAL1;NRP2;FGFBP1;CXCL8;ITGA2;KRT8;PLA2G4A;ITGAL;ICAM1;LGALS4;CXCL10;OCLN;CEACAM1;KRT19;TSPAN8;CDH1;PGR;PRSS8;ITGA5;GGT1;HBEGF
Basophils	18/169	0.022523156346599033	0.06500221596201285	0	0	1.7614313486857702	6.681481345408719	CEBPA;IL1RN;CLEC12A;NCF2;HGF;RNASE6;NPL;ITGAL;AIF1;CTSS;NT5C3A;CDH1;CCL3;IGFBP7;LGALS9;CD69;CD300LF;SIGLEC7
Nuocytes	13/110	0.022788133182084964	0.06500221596201285	0	0	1.9782377832600846	7.480736549254115	ARG1;GZMA;SH2D1A;GZMB;IL17RB;GZMH;PTPRC;CD40LG;CD6;SLAMF6;CD69;PTGDS;TIGIT
M?ller Cells	16/147	0.025317913410809054	0.07105349892710928	0	0	1.8038307392878148	6.631320297759103	SPARC;ANXA4;DBI;PTN;PRDX6;VEGFA;NFASC;COL2A1;COL5A1;SLITRK2;CA2;TIMP3;ANGPTL2;APOE;CRYM;EDIL3
Endothelial Cells (Aorta)	19/185	0.02726431178087525	0.07530143253765545	0	0	1.6912602639858798	6.09221830434777	PKN3;EPHX2;FN1;HSPG2;PDIA5;SULT1A1;EHD3;C1QTNF1;PER3;COL5A1;SMOC1;ADGRF5;FKBP7;ITGBL1;TIMP3;ANGPTL2;FAS;IGFBP7;ITGA5
Hepatoblasts	13/114	0.029558548340516397	0.08036230330077895	0	0	1.899483767711161	6.688808505499916	CEBPA;KRT8;CGN;DLK1;FABP1;HHEX;KRT19;KRT18;ERBB3;CDH1;PRSS8;GGT1;GPRC5C
Luminal Epithelial Cells	15/140	0.033517836650069945	0.08972467041711031	0	0	1.7714285714285714	6.015200221738945	CD74;FGFBP1;ANXA1;KRT8;PPL;AREG;BTC;KRT19;KRT18;ERBB3;CDH1;ERBB2;PGR;PRSS8;FGFR2
Trophoblast Cells	14/130	0.03763942659834176	0.09923121557744646	0	0	1.7810577264896497	5.841340721780561	IL1RN;FGFBP1;ANXA2;PARP1;ANXA3;ANXA4;SERPINE1;LIF;IL18;CXCL1;KLF4;AREG;CDCP1;S100A11
Transient Cells	13/120	0.04229306370029449	0.1098357176694215	0	0	1.7923930269413628	5.669576071853283	SDC4;MTUS1;CDC42BPB;PPL;ASS1;KRT19;ERBB2;DAG1;INPP5J;PLXNB2;VWA1;AGRN;GPRC5C
Leydig Cells	15/145	0.04362922369680541	0.111639484165355	0	0	1.7028388278388278	5.333339032817478	YAP1;CPXM2;RARRES2;FABP9;ASS1;DLK1;CXCL10;SMOC2;C1QTNF1;ADGRF5;ALDH1A1;TIMP3;ANGPTL2;RLN1;PTGDS
Chondrocytes	15/146	0.04588552835629087	0.11571133237673349	0	0	1.6897491821155943	5.2071403698216345	PDGFRB;NRP2;SPARC;FN1;NID1;NID2;DLK1;VEGFA;COL2A1;COL5A1;TIMP3;ANGPTL2;COL6A3;IGFBP7;SCRG1
Tuft Cells	14/136	0.051757939692211284	0.12865545009206805	0	0	1.6929187088051378	5.013032679127355	IL1RN;IL1R2;RNASE6;AIF1;CTSS;IL17RB;FABP1;PTPRC;VNN1;CDHR2;LGALS9;CD300LF;PLCB2;SIGLEC7
Myoblasts	13/126	0.05845414144830565	0.14325381143669272	0	0	1.696674754217915	4.817729578586513	YAP1;ACHE;PHLDB1;ZBTB16;FN1;LIF;CXCL1;HSPG2;C1QTNF1;COL5A1;TIMP3;ANGPTL2;PRKG1
Foveolar Cells	12/114	0.059467552453406305	0.14371325176239858	0	0	1.7347119370313446	4.8959199172304615	LGALS4;BTC;ACE2;ALDH3A1;PIGR;KRT19;TSPAN8;ANXA4;GSTA1;KRT8;TFF1;PTGR1
Pulmonary Alveolar Type I Cells	13/131	0.0747464468647269	0.17816276375976	0	0	1.6243452684735018	4.21298895553127	YAP1;SDC4;SEMA3F;HSPG2;PPL;ICAM1;FSTL3;VEGFA;BTC;KRT19;ERBB2;CCN2;EPHA2
Loop Of Henle Cells	14/147	0.08631198123505432	0.20294979371485744	0	0	1.5519846404273967	3.8020315761563848	PHLDB1;CD40;UMOD;CXCL1;DKK1;PLA2G7;NRGN;C3;C1QTNF1;FABP4;ADGRF5;TIMP3;ANGPTL2;IGFBP7
Acinar Cells	12/124	0.09740174464980074	0.2259720475875377	0	0	1.578978622327791	3.6773009290643794	LGALS4;FABP1;ACE2;PIGR;CPB1;TSPAN8;GDF15;RARRES2;ANXA4;GIPC2;GSTA1;REG3G
Airway Smooth Muscle Cells	10/99	0.09940399238901794	0.22758282468012	0	0	1.6552826753119865	3.821324340829972	PDGFRB;COL5A1;SERPINH1;TIMP3;COL6A3;VEGFC;PLAT;IGFBP7;NID1;NID2
Myofibroblasts	10/100	0.10450472575647836	0.23615353612502904	0	0	1.636802810715854	3.696756771632591	PDGFRB;PHLDB1;SPARC;COL5A1;FN1;TIMP3;ANGPTL2;COL6A3;PTN;PRKG1
Mesothelial Cells	13/144	0.12969482190102938	0.2893192180869117	0	0	1.4621284523535887	2.986501338984381	YAP1;SDC4;RARRES2;FN1;HSPG2;C2;ADGRD1;C1QTNF1;CDH1;GSTA3;ADGRF5;TIMP3;GBP2
Peritubular Myoid Cells	11/120	0.14324681803609982	0.3155056498516629	0	0	1.48629659737545	2.8881509424445944	PDGFRB;SMOC2;PHLDB1;C1QTNF1;CPXM2;RARRES2;ADGRF5;TIMP3;ANGPTL2;COL6A3;HSPG2
Mammary Epithelial Cells	12/134	0.14718006213774612	0.32011663514959776	0	0	1.448775359214984	2.7759963350706416	BTC;FGFBP1;KRT19;KRT18;SDC4;CDH1;ERBB2;KRT8;LIF;PRSS8;PPL;EPHA2
Tanycytes	11/121	0.14909418105987934	0.32027638894344457	0	0	1.4727056962025316	2.802819734064335	NFASC;RGCC;MAP2;GFRA1;CCN2;PTN;CRYM;PRDX6;EDIL3;PRKG1;WASF3
Embryonic Stem Cells	15/176	0.1543324859562187	0.32748600678514705	0	0	1.3726708074534162	2.5650358193523175	SMAD2;YAP1;SMAD3;YES1;KLF4;HHEX;KITLG;CDH1;NACC1;ERBB2;SERPINH1;PECAM1;ITGA6;CD59;EPHA2
Principal Cells	12/136	0.15850393769750049	0.33228536336584436	0	0	1.4252547697494444	2.625284855223727	BTC;ACE2;ADGRG1;KRT19;TSPAN8;ERBB3;CDH1;ERBB2;PRSS8;CGN;PPL;GPRC5C
Follicular Cells	10/110	0.16342852523995163	0.3385305165684713	0	0	1.4723320158102766	2.6669520876417256	ADH4;PON3;GSTA1;AFM;PDZK1;AGXT;UPB1;ASGR1;ENPP7;SULT2A1
Osteocytes	9/98	0.17229626595590736	0.3527005914862103	0	0	1.4885776665424144	2.617723083084238	YAP1;NRP2;MDK;SERPINH1;VEGFC;PLAT;PTN;FGF23;EPHA2
