,SUID,adjustedPValue_All_genes,description_All_genes,N_All_genes,name,nn_All_genes,nodeFillColor_All_genes,nodeFontSize_All_genes,nodeSize_All_genes,nodeType_All_genes,pValue_All_genes,selected,shared.name,X_All_genes,xx_All_genes,top,names_2,L1,L2
655,1578901,8.1698e-16,regulation of protein metabolic process,14261,51246,635,-15.087786487542,14,17.4355957741627,ellipse,2.3978e-18,false,51246,565,76,top,regulation of protein metabolic process,L1,L2
143,1577958,1.6537e-15,regulation of cellular protein metabolic process,14261,32268,559,-14.7815332457666,14,16.7332005306815,ellipse,5.2948e-18,false,32268,565,70,top,regulation of cellular protein metabolic process,L1,L2
213,1578071,9.2158e-15,negative regulation of biological process,14261,48519,2021,-14.0354657968125,14,24.8997991959775,ellipse,3.1965e-17,false,48519,565,155,top,negative regulation of biological process,L1,L2
57,1577825,1.4577e-14,response to organic substance,14261,10033,869,-13.836346146929,14,18.8679622641132,ellipse,5.4448e-17,false,10033,565,89,top,response to organic substance,L1,L2
961,1579765,9.0223e-14,regulation of cell proliferation,14261,42127,848,-13.0446836355149,14,18.5472369909914,ellipse,3.6108e-16,false,42127,565,86,top,regulation of cell proliferation,L1,L2
54,1577820,1.5489e-13,response to wounding,14261,9611,540,-12.8099654917503,14,16.1245154965971,ellipse,6.6123e-16,false,9611,565,65,top,response to wounding,L1,L2
69,1577844,4.4886e-13,negative regulation of cellular process,14261,48523,1845,-12.3478934230048,14,23.7486841740758,ellipse,2.037e-15,false,48523,565,141,top,negative regulation of cellular process,L1,L2
209,1578064,4.4886e-13,negative regulation of cell death,14261,60548,389,-12.3478934230048,14,14.560219778561,ellipse,2.2754e-15,false,60548,565,53,top,negative regulation of cell death,L1,L2
771,1579160,4.4886e-13,negative regulation of apoptosis,14261,43066,376,-12.3478934230048,14,14.422205101856,ellipse,2.2694e-15,false,43066,565,52,top,negative regulation of apoptosis,L1,L2
894,1579541,4.6846e-13,regulation of phosphorus metabolic process,14261,51174,541,-12.3293241961575,14,16,ellipse,2.6248e-15,false,51174,565,64,top,regulation of phosphorus metabolic process,L1,L2
895,1579542,4.6846e-13,regulation of phosphate metabolic process,14261,19220,541,-12.3293241961575,14,16,ellipse,2.6248e-15,false,19220,565,64,top,regulation of phosphate metabolic process,L1,L2
183,1578022,6.4381e-13,regulation of phosphorylation,14261,42325,517,-12.1912441324044,14,15.7480157480236,ellipse,3.9207e-15,false,42325,565,62,top,regulation of phosphorylation,L1,L2
210,1578065,6.4381e-13,negative regulation of programmed cell death,14261,43069,381,-12.1912441324044,14,14.422205101856,ellipse,3.9508e-15,false,43069,565,52,top,negative regulation of programmed cell death,L1,L2
343,1578286,2.6448e-12,regulation of signaling process,14261,23051,776,-11.5776141426719,14,17.6635217326557,ellipse,1.6935e-14,false,23051,565,78,top,regulation of signaling process,L1,L2
31,1577785,2.7336e-12,cellular metabolic process,14261,44237,4984,-11.5632588258846,14,33.7045990927054,ellipse,1.8234e-14,false,44237,565,284,top,cellular metabolic process,L1,L2
520,1578617,5.1881e-12,regulation of signal transduction,14261,9966,771,-11.2849923063817,14,17.5499287747842,ellipse,3.599e-14,false,9966,565,77,top,regulation of signal transduction,L1,L2
184,1578023,5.8785e-12,regulation of protein amino acid phosphorylation,14261,1932,217,-11.2307317230492,14,12.1655250605964,ellipse,4.2348e-14,false,1932,565,37,top,regulation of protein amino acid phosphorylation,L1,L2
12,1577756,6.7873e-12,regulation of biological process,14261,50789,6540,-11.1683026708006,14,37.2021504754766,ellipse,5.0706e-14,false,50789,565,346,top,regulation of biological process,L1,L2
11,1577755,7.1789e-12,biological regulation,14261,65007,6927,-11.143940079213,14,38,ellipse,5.5547e-14,false,65007,565,361,top,biological regulation,L1,L2
430,1578444,7.4976e-12,metabolic process,14261,8152,5946,-11.1250779799246,14,35.8887168898527,ellipse,6.0013e-14,false,8152,565,322,top,metabolic process,L1,L2
303,1578217,1.009e-11,regulation of immune system process,14261,2682,424,10.9961290924704,14,14.560219778561,ellipse,8.3451e-14,false,2682,565,53,NA,NA,L1,L2
51,1577816,1.0629e-11,regulation of response to stimulus,14261,48583,524,10.9735037792372,14,15.4919333848297,ellipse,9.075e-14,false,48583,565,60,NA,NA,L1,L2
471,1578528,1.0918e-11,signaling,14261,23052,3123,10.9618756186268,14,28.2134719593318,ellipse,9.6126e-14,false,23052,565,199,NA,NA,NA,L2
600,1578783,1.4145e-11,regulation of cell activation,14261,50865,191,10.8493989459425,14,11.6619037896906,ellipse,1.2832e-13,false,50865,565,34,NA,NA,NA,L2
727,1579053,1.5382e-11,immune response,14261,6955,619,10.8129852927541,14,16.2480768092719,ellipse,1.4364e-13,false,6955,565,66,NA,NA,L1,L2
623,1578837,2.2868e-11,regulation of protein modification process,14261,31399,366,10.6407685008895,14,13.856406460551,ellipse,2.1965e-13,false,31399,565,48,NA,NA,L1,L2
930,1579662,4.2547e-11,signal transduction,14261,7165,1873,10.3711315677373,14,23.3238075793812,ellipse,4.2002e-13,false,7165,565,136,NA,NA,NA,L2
259,1578145,4.4863e-11,signaling process,14261,23046,2152,10.3481088725926,14,24.4948974278318,ellipse,4.6683e-13,false,23046,565,150,NA,NA,NA,L2
821,1579312,4.4863e-11,signal transmission,14261,23060,2152,10.3481088725926,14,24.4948974278318,ellipse,4.6683e-13,false,23060,565,150,NA,NA,NA,NA
135,1577945,5.6929e-11,regulation of cellular process,14261,50794,6210,10.2446636861262,14,36.2767142944341,ellipse,6.0757e-13,false,50794,565,329,NA,NA,L1,L2
9,1577752,6.4309e-11,regulation of biological quality,14261,65008,1541,10.1917305234206,14,21.7255609824004,ellipse,7.0348e-13,false,65008,565,118,NA,NA,L1,L2
323,1578254,1.2091e-10,cellular response to chemical stimulus,14261,70887,398,9.91754682869646,14,14,ellipse,1.3549e-12,false,70887,565,49,NA,NA,L1,L2
5,1577746,2.1693e-10,regulation of intracellular protein kinase cascade,14261,10627,323,9.6636723019361,14,13.114877048604,ellipse,2.4888e-12,false,10627,565,43,NA,NA,L1,L2
102,1577895,2.7449e-10,regulation of localization,14261,32879,726,9.56146964135238,14,16.7332005306815,ellipse,3.2224e-12,false,32879,565,70,NA,NA,L1,L2
327,1578261,2.7787e-10,response to inorganic substance,14261,10035,237,9.55615578447207,14,12,ellipse,3.3362e-12,false,10035,565,36,NA,NA,L1,L2
761,1579137,3.0287e-10,cell activation,14261,1775,275,9.51874288692712,14,12.4899959967968,ellipse,3.7172e-12,false,1775,565,39,NA,NA,L1,L2
62,1577833,4.9182e-10,catabolic process,14261,9056,1006,9.30819658819332,14,18.5472369909914,ellipse,6.1674e-12,false,9056,565,86,NA,NA,L1,L2
19,1577767,5.3299e-10,small molecule metabolic process,14261,44281,1368,9.27328387768861,14,20.591260281974,ellipse,6.8259e-12,false,44281,565,106,NA,NA,L1,L2
317,1578243,9.1109e-10,regulation of signaling pathway,14261,35466,1001,9.04043790464484,14,18.4390889145858,ellipse,1.1911e-11,false,35466,565,85,NA,NA,L1,L2
23,1577773,1.3035e-09,response to hormone stimulus,14261,9725,441,8.88489363741268,14,14.142135623731,ellipse,1.7389e-11,false,9725,565,50,NA,NA,L1,L2
351,1578301,1.3091e-09,regulation of leukocyte activation,14261,2694,179,8.88301655845055,14,10.9544511501033,ellipse,1.7814e-11,false,2694,565,30,NA,NA,NA,L2
553,1578684,1.3249e-09,regulation of lymphocyte activation,14261,51249,157,8.87782528544538,14,10.5830052442584,ellipse,1.8381e-11,false,51249,565,28,NA,NA,NA,NA
439,1578464,1.6186e-09,positive regulation of cell proliferation,14261,8284,459,8.79085649707438,14,14.2828568570857,ellipse,2.2889e-11,false,8284,565,51,NA,NA,L1,L2
114,1577913,2.772e-09,regulation of molecular function,14261,65009,1060,8.5572081411114,14,18.6547581061776,ellipse,3.9938e-11,false,65009,565,87,NA,NA,L1,L2
117,1577918,3.4918e-09,positive regulation of cell activation,14261,50867,121,8.45694546151019,14,9.79795897113271,ellipse,5.1241e-11,false,50867,565,24,NA,NA,L1,L2
1049,1580245,3.8129e-09,anti-apoptosis,14261,6916,199,8.41874933665602,14,11.13552872566,ellipse,5.6969e-11,false,6916,565,31,NA,NA,L1,L2
412,1578408,4.5533e-09,cellular catabolic process,14261,44248,776,8.34167614168281,14,16.7332005306815,ellipse,6.9247e-11,false,44248,565,70,NA,NA,L1,L2
386,1578360,5.7944e-09,positive regulation of immune system process,14261,2684,265,8.23699411180039,14,12,ellipse,8.9667e-11,false,2684,565,36,NA,NA,L1,L2
268,1578161,6.3571e-09,response to endogenous stimulus,14261,9719,493,8.19674404260138,14,14.422205101856,ellipse,1.0007e-10,false,9719,565,52,NA,NA,L1,L2
566,1578713,6.4689e-09,regulation of cell communication,14261,10646,1152,8.18917075097804,14,19.0787840283389,ellipse,1.0356e-10,false,10646,565,91,NA,NA,L1,L2
291,1578198,6.5724e-09,positive regulation of lymphocyte activation,14261,51251,105,8.18227731285193,14,9.38083151964686,ellipse,1.0697e-10,false,51251,565,22,NA,NA,NA,NA
118,1577919,7.9051e-09,positive regulation of leukocyte activation,14261,2696,116,8.10209488429741,14,9.59166304662544,ellipse,1.3077e-10,false,2696,565,23,NA,NA,NA,L2
539,1578651,9.6366e-09,leukocyte migration,14261,50900,62,8.01607776494679,14,8.24621125123532,ellipse,1.6198e-10,false,50900,565,17,NA,NA,L1,L2
26,1577777,1.565e-08,positive regulation of protein amino acid phosphorylation,14261,1934,120,7.80548281613154,14,9.59166304662544,ellipse,2.6724e-10,false,1934,565,23,NA,NA,L1,L2
33,1577788,1.6727e-08,positive regulation of phosphorylation,14261,42327,131,7.77657438433931,14,9.79795897113271,ellipse,2.9009e-10,false,42327,565,24,NA,NA,L1,L2
504,1578586,2.0254e-08,regulation of response to stress,14261,80134,319,7.69349869707279,14,12.4899959967968,ellipse,3.5665e-10,false,80134,565,39,NA,NA,NA,L2
1,1577740,2.5734e-08,positive regulation of phosphorus metabolic process,14261,10562,134,7.58949019581752,14,9.79795897113271,ellipse,4.7145e-10,false,10562,565,24,NA,NA,L1,L2
2,1577741,2.5734e-08,positive regulation of phosphate metabolic process,14261,45937,134,7.58949019581752,14,9.79795897113271,ellipse,4.7145e-10,false,45937,565,24,NA,NA,L1,L2
457,1578500,2.5734e-08,positive regulation of signaling process,14261,23056,281,7.58949019581752,14,12,ellipse,4.7376e-10,false,23056,565,36,NA,NA,L1,L2
698,1578993,2.7271e-08,locomotion,14261,40011,439,7.56430636156427,14,13.7113092008021,ellipse,5.0932e-10,false,40011,565,47,NA,NA,NA,L2
39,1577798,3.2126e-08,cellular membrane organization,14261,16044,382,7.49314488586718,14,13.114877048604,ellipse,6.0857e-10,false,16044,565,43,NA,NA,L1,L2
605,1578792,3.4388e-08,membrane organization,14261,61024,383,7.46359897868191,14,13.114877048604,ellipse,6.6059e-10,false,61024,565,43,NA,NA,NA,L2
81,1577862,3.5806e-08,cellular component organization,14261,16043,2556,7.44604056306216,14,25.219040425837,ellipse,6.974e-10,false,16043,565,159,NA,NA,NA,L2
277,1578176,3.7977e-08,response to oxidative stress,14261,6979,183,7.42047438367271,14,10.5830052442584,ellipse,7.4982e-10,false,6979,565,28,NA,NA,L1,L2
668,1578925,5.3577e-08,cellular response to stimulus,14261,51716,985,7.27102287499196,14,17.7763888346312,ellipse,1.0721e-09,false,51716,565,79,NA,NA,L1,L2
316,1578241,5.4082e-08,positive regulation of signal transduction,14261,9967,276,7.26694533961407,14,11.8321595661992,ellipse,1.0967e-09,false,9967,565,35,NA,NA,L1,L2
488,1578557,6.4018e-08,response to steroid hormone stimulus,14261,48545,225,7.19369681738677,14,11.13552872566,ellipse,1.3152e-09,false,48545,565,31,NA,NA,NA,L2
103,1577896,7.0821e-08,regulation of cellular component movement,14261,51270,239,7.14983730495794,14,11.3137084989848,ellipse,1.4739e-09,false,51270,565,32,NA,NA,NA,L2
422,1578427,7.3795e-08,cell death,14261,8219,696,7.13197541150657,14,15.7480157480236,ellipse,1.5554e-09,false,8219,565,62,NA,NA,L1,L2
160,1577986,8.2244e-08,regulation of catalytic activity,14261,50790,906,7.08489764134271,14,17.2046505340853,ellipse,1.7555e-09,false,50790,565,74,NA,NA,NA,L2
153,1577975,8.4236e-08,regulation of locomotion,14261,40012,241,7.07450376742222,14,11.3137084989848,ellipse,1.8205e-09,false,40012,565,32,NA,NA,L1,L2
489,1578559,8.9915e-08,positive regulation of apoptosis,14261,43065,442,7.04616660553376,14,13.5646599662505,ellipse,1.9672e-09,false,43065,565,46,NA,NA,L1,L2
178,1578013,9.2982e-08,death,14261,16265,701,7.03160187273613,14,15.7480157480236,ellipse,2.0591e-09,false,16265,565,62,NA,NA,NA,L2
836,1579370,9.5364e-08,cellular component movement,14261,6928,474,7.02061545841724,14,13.856406460551,ellipse,2.1373e-09,false,6928,565,48,NA,NA,L1,L2
315,1578240,9.5893e-08,positive regulation of cell communication,14261,10647,413,7.01821298111055,14,13.2664991614216,ellipse,2.1747e-09,false,10647,565,44,NA,NA,L1,L2
850,1579404,1.0651e-07,positive regulation of programmed cell death,14261,43068,445,6.97262132538235,14,13.5646599662505,ellipse,2.4439e-09,false,43068,565,46,NA,NA,L1,L2
25,1577776,1.0872e-07,positive regulation of protein modification process,14261,31401,231,6.963676113764,14,11.13552872566,ellipse,2.5237e-09,false,31401,565,31,NA,NA,NA,L2
200,1578050,1.1308e-07,vesicle-mediated transport,14261,16192,589,6.94661360969145,14,14.8323969741913,ellipse,2.655e-09,false,16192,565,55,NA,NA,L1,L2
567,1578715,1.2864e-07,primary metabolic process,14261,44238,5278,6.89063753619689,14,33.2264954516723,ellipse,3.0546e-09,false,44238,565,276,NA,NA,L1,L2
367,1578327,1.3178e-07,regulation of lymphocyte proliferation,14261,50670,93,6.88014803814997,14,8.71779788708135,ellipse,3.1644e-09,false,50670,565,19,NA,NA,NA,NA
42,1577802,1.3394e-07,positive regulation of cell death,14261,10942,449,6.87310107251144,14,13.5646599662505,ellipse,3.2519e-09,false,10942,565,46,NA,NA,L1,L2
801,1579247,1.5571e-07,regulation of mononuclear cell proliferation,14261,32944,94,6.80768843958312,14,8.71779788708135,ellipse,3.8221e-09,false,32944,565,19,NA,NA,NA,L2
610,1578803,1.6572e-07,positive regulation of developmental process,14261,51094,347,6.78062889973529,14,12.4899959967968,ellipse,4.112e-09,false,51094,565,39,NA,NA,L1,L2
98,1577889,1.8165e-07,signaling pathway,14261,23033,2095,6.74077493045923,14,23.1516738055805,ellipse,4.59e-09,false,23033,565,134,NA,NA,NA,NA
1017,1580013,1.8165e-07,regulation of leukocyte proliferation,14261,70663,95,6.74077493045923,14,8.71779788708135,ellipse,4.6041e-09,false,70663,565,19,NA,NA,L1,L2
76,1577855,1.8606e-07,apoptosis,14261,6915,566,6.73034405876428,14,14.560219778561,ellipse,4.785e-09,false,6915,565,53,NA,NA,NA,NA
242,1578118,1.8606e-07,organ development,14261,48513,1790,6.73034405876428,14,21.8174242292714,ellipse,4.8154e-09,false,48513,565,119,NA,NA,NA,NA
677,1578945,1.9877e-07,wound healing,14261,42060,199,6.70163964585195,14,10.5830052442584,ellipse,5.1974e-09,false,42060,565,28,NA,NA,L1,L2
73,1577850,2.2429e-07,defense response,14261,6952,619,6.64918521349688,14,14.9666295470958,ellipse,5.9245e-09,false,6952,565,56,NA,NA,L1,L2
538,1578650,2.4245e-07,cell migration,14261,16477,281,6.61537291506317,14,11.6619037896906,ellipse,6.4689e-09,false,16477,565,34,NA,NA,NA,L2
181,1578019,2.7957e-07,regulation of multicellular organismal process,14261,51239,1065,6.55350417167507,14,18,ellipse,7.5339e-09,false,51239,565,81,NA,NA,L1,L2
527,1578632,2.9905e-07,regulation of cell migration,14261,30334,216,6.52426248322214,14,10.770329614269,ellipse,8.2182e-09,false,30334,565,29,NA,NA,NA,L2
818,1579293,2.9905e-07,response to drug,14261,42493,256,6.52426248322214,14,11.3137084989848,ellipse,8.2103e-09,false,42493,565,32,NA,NA,L1,L2
509,1578597,3.0117e-07,response to biotic stimulus,14261,9607,447,6.52118301218328,14,13.4164078649987,ellipse,8.357e-09,false,9607,565,45,NA,NA,L1,L2
472,1578530,3.1229e-07,regulation of response to external stimulus,14261,32101,191,6.50543913595446,14,10.3923048454133,ellipse,8.8322e-09,false,32101,565,27,NA,NA,NA,L2
1029,1580148,3.1229e-07,programmed cell death,14261,12501,576,6.50543913595446,14,14.560219778561,ellipse,8.7502e-09,false,12501,565,53,NA,NA,NA,L2
74,1577851,3.3624e-07,inflammatory response,14261,6954,314,6.47335558143306,14,12,ellipse,9.7796e-09,false,6954,565,36,NA,NA,L1,L2
247,1578125,3.3624e-07,positive regulation of B cell activation,14261,50871,37,6.47335558143306,14,6.92820323027551,ellipse,9.9579e-09,false,50871,565,12,NA,NA,NA,NA
738,1579089,3.3624e-07,localization of cell,14261,51674,314,6.47335558143306,14,12,ellipse,9.7796e-09,false,51674,565,36,NA,NA,NA,NA
739,1579090,3.3624e-07,cell motility,14261,48870,314,6.47335558143306,14,12,ellipse,9.7796e-09,false,48870,565,36,NA,NA,NA,L2
862,1579449,3.3624e-07,cellular response to reactive oxygen species,14261,34614,37,6.47335558143306,14,6.92820323027551,ellipse,9.9579e-09,false,34614,565,12,NA,NA,NA,NA
37,1577795,3.4807e-07,regulation of T cell activation,14261,50863,121,6.45833016245008,14,9.16515138991168,ellipse,1.0401e-08,false,50863,565,21,NA,NA,NA,NA
333,1578271,3.7342e-07,multi-organism process,14261,51704,785,6.42780589354996,14,16.1245154965971,ellipse,1.1258e-08,false,51704,565,65,NA,NA,NA,L2
458,1578503,4.0004e-07,leukocyte activation,14261,45321,233,6.39789998144364,14,10.9544511501033,ellipse,1.2168e-08,false,45321,565,30,NA,NA,L1,L2
609,1578802,4.4701e-07,regulation of developmental process,14261,50793,789,6.34968636828491,14,16.1245154965971,ellipse,1.3716e-08,false,50793,565,65,NA,NA,L1,L2
661,1578912,4.9716e-07,positive regulation of intracellular protein kinase cascade,14261,10740,222,6.30350480318645,14,10.770329614269,ellipse,1.5387e-08,false,10740,565,29,NA,NA,NA,L2
591,1578765,5.4021e-07,positive regulation of signaling pathway,14261,35468,380,6.26743647041015,14,12.6491106406735,ellipse,1.6864e-08,false,35468,565,40,NA,NA,NA,L2
106,1577901,5.4414e-07,regulation of cellular component organization,14261,51128,538,6.26428643613329,14,14.142135623731,ellipse,1.7132e-08,false,51128,565,50,NA,NA,L1,L2
63,1577834,5.9064e-07,small molecule catabolic process,14261,44282,265,6.2286755765336,14,11.3137084989848,ellipse,1.9068e-08,false,44282,565,32,NA,NA,NA,L2
198,1578046,5.9064e-07,system development,14261,48731,2417,6.2286755765336,14,24.2487113059643,ellipse,1.8972e-08,false,48731,565,147,NA,NA,NA,L2
203,1578054,5.9064e-07,blood vessel development,14261,1568,265,6.2286755765336,14,11.3137084989848,ellipse,1.9068e-08,false,1568,565,32,NA,NA,NA,NA
401,1578387,6.104e-07,cellular localization,14261,51641,977,6.21438885527813,14,17.3205080756888,ellipse,1.9869e-08,false,51641,565,75,NA,NA,L1,L2
258,1578143,6.1753e-07,positive regulation of lymphocyte proliferation,14261,50671,64,6.20934436913227,14,7.74596669241483,ellipse,2.0432e-08,false,50671,565,15,NA,NA,NA,NA
411,1578405,6.1753e-07,regulation of transferase activity,14261,51338,398,6.20934436913227,14,12.8062484748657,ellipse,2.0595e-08,false,51338,565,41,NA,NA,NA,L2
893,1579539,6.1753e-07,positive regulation of cellular component movement,14261,51272,137,6.20934436913227,14,9.38083151964686,ellipse,2.0409e-08,false,51272,565,22,NA,NA,L1,L2
307,1578226,6.253e-07,regulation of kinase activity,14261,43549,383,6.20390972418937,14,12.6491106406735,ellipse,2.1021e-08,false,43549,565,40,NA,NA,L1,L2
257,1578142,7.5566e-07,positive regulation of mononuclear cell proliferation,14261,32946,65,6.12167202329742,14,7.74596669241483,ellipse,2.5605e-08,false,32946,565,15,NA,NA,NA,NA
171,1578002,7.8522e-07,positive regulation of cell differentiation,14261,45597,255,6.1050093330037,14,11.13552872566,ellipse,2.7235e-08,false,45597,565,31,NA,NA,L1,L2
301,1578214,7.8522e-07,regulation of transport,14261,51049,513,6.1050093330037,14,13.856406460551,ellipse,2.7209e-08,false,51049,565,48,NA,NA,NA,L2
1068,1580386,7.8522e-07,positive regulation of cell division,14261,51781,40,6.1050093330037,14,6.92820323027551,ellipse,2.6932e-08,false,51781,565,12,NA,NA,L1,L2
328,1578262,8.5685e-07,response to reactive oxygen species,14261,302,85,6.06709448652642,14,8.24621125123532,ellipse,2.9949e-08,false,302,565,17,NA,NA,NA,L2
1002,1579924,9.0017e-07,cell redox homeostasis,14261,45454,66,6.04567686264637,14,7.74596669241483,ellipse,3.1943e-08,false,45454,565,15,NA,NA,NA,L2
1018,1580014,9.0017e-07,positive regulation of leukocyte proliferation,14261,70665,66,6.04567686264637,14,7.74596669241483,ellipse,3.1943e-08,false,70665,565,15,NA,NA,NA,L2
205,1578058,9.818e-07,induction of apoptosis,14261,6917,315,6.007974855016,14,11.8321595661992,ellipse,3.5102e-08,false,6917,565,35,NA,NA,NA,L2
434,1578454,1.0105e-06,cofactor metabolic process,14261,51186,204,5.99545810847955,14,10.3923048454133,ellipse,3.6667e-08,false,51186,565,27,NA,NA,L1,L2
1095,1580603,1.0105e-06,regulation of cell division,14261,51302,49,5.99545810847955,14,7.21110255092798,ellipse,3.6519e-08,false,51302,565,13,NA,NA,NA,L2
859,1579440,1.0405e-06,induction of programmed cell death,14261,12502,316,5.98275915236252,14,11.8321595661992,ellipse,3.8033e-08,false,12502,565,35,NA,NA,NA,L2
202,1578053,1.0574e-06,vasculature development,14261,1944,273,5.97577805552022,14,11.3137084989848,ellipse,3.8932e-08,false,1944,565,32,NA,NA,NA,NA
927,1579651,1.1058e-06,positive regulation of molecular function,14261,44093,637,5.95631758382097,14,14.8323969741913,ellipse,4.1011e-08,false,44093,565,55,NA,NA,NA,L2
474,1578533,1.1502e-06,positive regulation of response to external stimulus,14261,32103,87,5.93922528510227,14,8.24621125123532,ellipse,4.3097e-08,false,32103,565,17,NA,NA,NA,L2
813,1579279,1.1502e-06,regulation of peptidyl-tyrosine phosphorylation,14261,50730,77,5.93922528510227,14,8,ellipse,4.3271e-08,false,50730,565,16,NA,NA,L1,L2
246,1578124,1.6139e-06,regulation of B cell activation,14261,50864,51,5.79211979836067,14,7.21110255092798,ellipse,6.1577e-08,false,50864,565,13,NA,NA,NA,NA
295,1578204,1.6139e-06,heterocycle metabolic process,14261,46483,337,5.79211979836067,14,12,ellipse,6.1425e-08,false,46483,565,36,NA,NA,L1,L2
75,1577853,2.2415e-06,positive regulation of response to stimulus,14261,48584,268,5.64945961004724,14,11.13552872566,ellipse,8.6359e-08,false,48584,565,31,NA,NA,L1,L2
670,1578929,2.2415e-06,lymphocyte activation,14261,46649,186,5.64945961004724,14,10,ellipse,8.6718e-08,false,46649,565,25,NA,NA,NA,L2
510,1578598,2.2521e-06,response to other organism,14261,51707,357,5.64740297343543,14,12.1655250605964,ellipse,8.7967e-08,false,51707,565,37,NA,NA,NA,L2
783,1579193,2.2521e-06,establishment of localization in cell,14261,51649,865,5.64740297343543,14,16.3707055437449,ellipse,8.8331e-08,false,51649,565,67,NA,NA,NA,L2
251,1578132,2.4808e-06,positive regulation of locomotion,14261,40017,137,5.60540770479441,14,9.16515138991168,ellipse,9.7961e-08,false,40017,565,21,NA,NA,L1,L2
278,1578177,2.5441e-06,cellular response to oxidative stress,14261,34599,53,5.59445927925163,14,7.21110255092798,ellipse,1.0114e-07,false,34599,565,13,NA,NA,NA,L2
424,1578432,3.1289e-06,response to molecule of bacterial origin,14261,2237,127,5.50460972508736,14,8.94427190999916,ellipse,1.2522e-07,false,2237,565,20,NA,NA,L1,L2
99,1577890,3.1556e-06,intracellular signaling pathway,14261,23034,1155,5.50092037868004,14,18.1107702762748,ellipse,1.2713e-07,false,23034,565,82,NA,NA,NA,NA
189,1578031,3.184e-06,platelet activation,14261,30168,30,5.49703131156648,14,6.32455532033676,ellipse,1.2913e-07,false,30168,565,10,NA,NA,NA,L2
550,1578675,3.5036e-06,positive regulation of cell migration,14261,30335,128,5.45548240635892,14,8.94427190999916,ellipse,1.4302e-07,false,30335,565,20,NA,NA,NA,L2
811,1579275,3.8361e-06,protein metabolic process,14261,19538,2606,5.41611161275258,14,24.6576560118759,ellipse,1.5762e-07,false,19538,565,152,NA,NA,NA,L2
443,1578471,3.8793e-06,positive regulation of cellular protein metabolic process,14261,32270,290,5.41124676172053,14,11.3137084989848,ellipse,1.6043e-07,false,32270,565,32,NA,NA,L1,L2
356,1578309,3.9218e-06,anatomical structure development,14261,48856,2651,5.40651379419739,14,24.8193472919817,ellipse,1.6323e-07,false,48856,565,154,NA,NA,NA,NA
1011,1579985,3.9728e-06,homeostasis of number of cells,14261,48872,95,5.40090402637667,14,8.24621125123532,ellipse,1.6642e-07,false,48872,565,17,NA,NA,NA,L2
350,1578299,4.4807e-06,response to hydrogen peroxide,14261,42542,65,5.34865778420612,14,7.48331477354788,ellipse,1.8889e-07,false,42542,565,14,NA,NA,NA,NA
345,1578289,4.7602e-06,taxis,14261,42330,168,5.32237347581959,14,9.59166304662544,ellipse,2.0321e-07,false,42330,565,23,NA,NA,NA,L2
914,1579597,4.7602e-06,chemotaxis,14261,6935,168,5.32237347581959,14,9.59166304662544,ellipse,2.0321e-07,false,6935,565,23,NA,NA,L1,L2
426,1578436,5.3031e-06,response to glucocorticoid stimulus,14261,51384,97,5.27547149525953,14,8.24621125123532,ellipse,2.278e-07,false,51384,565,17,NA,NA,NA,NA
940,1579700,5.9321e-06,hemostasis,14261,7599,109,5.22679415008136,14,8.48528137423857,ellipse,2.564e-07,false,7599,565,18,NA,NA,NA,NA
