"","ID","EQUATION","GENE.ASSOCIATION","SUBSYSTEM"
"126","MAR08729","H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c]","ENSG00000115652","Pentose and glucuronate interconversions"
"127","MAR06537","glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c]","ENSG00000117448","Pentose and glucuronate interconversions"
"128","MAR01568","acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Pyruvate metabolism"
"129","MAR03853","GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c]","ENSG00000124767 or ENSG00000167699","Pyruvate metabolism"
"130","MAR03854","H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c]","ENSG00000085662 or ENSG00000198074","Pyruvate metabolism"
"131","MAR03855","H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]","ENSG00000085662 or ENSG00000198074","Pyruvate metabolism"
"132","MAR03857","(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c]","ENSG00000063854 or ENSG00000103253","Pyruvate metabolism"
"133","MAR03859","D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]","ENSG00000166816 or ENSG00000182224","Pyruvate metabolism"
"134","MAR04087","malate[m] + NAD+[m] => CO2[m] + NADH[m] + pyruvate[m]","ENSG00000082212 or ENSG00000151376","Pyruvate metabolism"
"135","MAR04089","malate[c] + NADP+[c] => CO2[c] + NADPH[c] + pyruvate[c]","ENSG00000013392 or ENSG00000065833","Pyruvate metabolism"
"136","MAR04091","malate[m] + NADP+[m] => CO2[m] + NADPH[m] + pyruvate[m]","ENSG00000082212 or ENSG00000151376","Pyruvate metabolism"
"137","MAR04093","acetyl-CoA[c] + H2O[c] => acetate[c] + CoA[c] + H+[c]","ENSG00000172497","Pyruvate metabolism"
"138","MAR04095","acetyl-CoA[m] + H2O[m] => acetate[m] + CoA[m] + H+[m]","ENSG00000172497","Pyruvate metabolism"
"139","MAR04101","GTP[c] + OAA[c] => CO2[c] + GDP[c] + PEP[c]","ENSG00000124253","Pyruvate metabolism"
"140","MAR04103","GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m]","ENSG00000100889","Pyruvate metabolism"
"141","MAR04143","ATP[m] + HCO3-[m] + pyruvate[m] => ADP[m] + H+[m] + OAA[m] + Pi[m]","ENSG00000173599","Pyruvate metabolism"
"142","MAR04193","CDP[c] + H+[c] + PEP[c] => CTP[c] + pyruvate[c]","ENSG00000067225 or ENSG00000143627","Pyruvate metabolism"
"143","MAR08497","H+[c] + methylglyoxal[c] + NADPH[c] => hydroxyacetone[c] + NADP+[c]","ENSG00000053371 or ENSG00000085662 or ENSG00000117448","Pyruvate metabolism"
"144","MAR08498","acetone[c] + H+[c] + NADPH[c] + O2[c] => H2O[c] + hydroxyacetone[c] + NADP+[c]","ENSG00000130649","Pyruvate metabolism"
"145","MAR08499","H+[c] + hydroxyacetone[c] + NADPH[c] + O2[c] => 2 H2O[c] + methylglyoxal[c] + NADP+[c]","ENSG00000130649","Pyruvate metabolism"
"146","MAR08500","H+[c] + hydroxyacetone[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]","ENSG00000053371 or ENSG00000085662 or ENSG00000117448","Pyruvate metabolism"
"147","MAR08501","H+[c] + methylglyoxal[c] + NADPH[c] => D-lactaldehyde[c] + NADP+[c]","ENSG00000137106","Pyruvate metabolism"
"148","MAR08502","(R)-S-lactoylglutathione[c] + H+[c] + NADH[c] <=> D-lactaldehyde[c] + GSH[c] + NAD+[c]","ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144","Pyruvate metabolism"
"149","MAR08503","H2O[c] + lactaldehyde[c] + NAD+[c] => 2 H+[c] + L-lactate[c] + NADH[c]","ENSG00000006534 or ENSG00000072210 or ENSG00000108602 or ENSG00000132746 or ENSG00000143149 or ENSG00000164904 or ENSG00000184254","Pyruvate metabolism"
"150","MAR08504","D-lactaldehyde[c] + H2O[c] + NAD+[c] => D-lactate[c] + 2 H+[c] + NADH[c]","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","Pyruvate metabolism"
