Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Protein Pathway Groups,"Abundance: F17: 127N, Sample, B","Abundance: F17: 127C, Sample, A","Abundance: F17: 128C, Sample, B","Abundance: F17: 129C, Sample, A","Abundance: F17: 130N, Sample, B","Abundance: F17: 130C, Sample, A","Abundance: F17: 131N, Sample, B","Abundance: F17: 132N, Sample, A","Abundance: F17: 132C, Sample, A","Abundance: F17: 133N, Sample, B","Abundance: F17: 133C, Sample, A","Abundance: F17: 134N, Sample, B","Abundances (Normalized): F17: 127N, Sample, B","Abundances (Normalized): F17: 127C, Sample, A","Abundances (Normalized): F17: 128C, Sample, B","Abundances (Normalized): F17: 129C, Sample, A","Abundances (Normalized): F17: 130N, Sample, B","Abundances (Normalized): F17: 130C, Sample, A","Abundances (Normalized): F17: 131N, Sample, B","Abundances (Normalized): F17: 132N, Sample, A","Abundances (Normalized): F17: 132C, Sample, A","Abundances (Normalized): F17: 133N, Sample, B","Abundances (Normalized): F17: 133C, Sample, A","Abundances (Normalized): F17: 134N, Sample, B"
0,High,Master Protein,P08514,Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3,0,0,522.03,48,43,231,43,1039,113.3,5.38,4412,43,0,8848257.09400151,9580933.44415178,9700397.2937209,7897297.97678654,9117685.95817038,4919014.9591349,6486275.15382682,7921109.28018965,6080931.88513716,6892852.00512326,4475850.45579124,5625309.23994827,9402155.71108469,9580933.44415178,10228914.400307,10103700.225007,9863779.11322766,7575908.92029348,8683969.75371432,8721003.5001193,8732439.66409292,8607304.97617534,5965457.87156453,7218527.80782241
0,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,0,504.701,86,36,200,7,444,49.6,4.89,3066,36,0,1051213.31485381,1070839.91882997,1136335.73004246,828090.813812844,968698.004672067,669866.135456282,788026.828326958,1015753.45501173,597434.516513228,855329.726126841,632733.063784641,778499.021043569,1117018.99784551,1070839.91882997,1198247.92332357,1059448.60716165,1047965.8094549,1031679.08070324,1055027.88272393,1118326.88113141,857937.725211112,1068075.13094583,843312.901812749,998988.071954814
0,High,Master Protein,P06396,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,0,0,498.469,64,49,225,23,782,85.6,6.28,2917,49,0,6826834.49869053,7804436.98540315,6353787.21116832,6169156.12696491,6959325.48536334,5209732.4299475,5342606.2043303,6729330.03728394,6510280.98942304,5751370.63279059,4468986.97879573,5178940.60734452,7254192.58149805,7804436.98540315,6699967.3861684,7892738.03917949,7528801.68055873,8023650.81551263,7152800.2719771,7408875.28914461,9349000.61541235,7181903.95363957,5956310.16136429,6645737.18431182
0,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0,0,478.697,85,36,193,3,445,49.8,4.89,2901,36,0,900661.408604198,880158.030709835,877984.620042252,615201.370800553,792009.945217934,526764.138563599,604546.019509061,814353.677535521,489889.74715509,693136.186801719,443430.564640399,555851.562656841,957042.581007547,880158.030709835,925820.793856722,787080.625152172,856819.503429891,811283.797546435,809379.686128135,896589.230233705,703499.519464372,865539.336314091,591008.653764047,713281.668777527
0,High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,0,0,466.874,76,44,182,44,531,57.9,7.84,2623,44,0,9226751.41250346,9547673.01979152,9865631.89064394,7508168.68548855,7839255.61403138,5827420.13491409,6716619.17924499,8375516.2821286,5813598.40489331,7354928.56169839,5318856.03476934,6611583.82322172,9804343.67652354,9547673.01979152,10403151.6502585,9605853.27537924,8480735.80771276,8974968.47420806,8992359.46926625,9221297.70314201,8348539.04975991,9184313.42519279,7089024.06676234,8484138.31949862
0,High,Master Protein,P67936,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,0,0,458.744,74,37,253,17,248,28.5,4.69,1801,37,0,4404588.20076413,5076241.73174693,4748074.17861366,4065113.63500237,4676974.24876744,2517496.54820469,2656637.21344257,3421918.52392322,3212546.23433427,2927361.49507985,2916106.05872564,3254919.45750194,4680314.28865981,5076241.73174693,5006768.57542579,5200853.46524622,5059687.41627434,3877265.00423293,3556765.11726705,3767472.75774776,4613333.39845496,3655481.52563509,3886615.07218892,4176788.44201924
0,High,Master Protein,Q9H4B7,Tubulin beta-1 chain OS=Homo sapiens OX=9606 GN=TUBB1 PE=1 SV=1,0,0,436.24,88,34,183,30,451,50.3,5.17,2765,34,0,5928493.6280971,6477742.20088629,5563890.70014405,4232384.47573487,5044359.46383475,3350349.87199164,4026106.85632459,3681670.97896122,3639515.6211507,3429433.96148977,3078095.86674419,3773490.41490214,6299615.80358357,6477742.20088629,5867034.09985872,5414857.60135884,5457135.47793326,5159965.09304974,5390241.6003609,4053455.69137758,5226476.98881523,4282434.03169771,4102516.69466318,4842230.77001414
0,High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,0,0,431.094,55,48,179,45,654,72.3,5.16,2710,48,0,5598743.64468069,6128725.60396159,6169712.01682393,4916125.47450968,6255128.04419831,4039561.64001516,4544946.36328825,6485190.46610128,4491170.38731167,5190725.04170963,4295759.89422306,4737488.54844826,5949223.55606281,6128725.60396159,6505863.0264029,6289626.93429701,6766980.3101344,6221438.9093967,6084875.49711229,7140081.86899493,6449484.25161902,6481809.48151175,5725431.38526597,6079255.62267017
0,High,Master Protein,P05106,Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2,0,0,425.066,46,40,167,40,788,87,5.24,3638,40,0,4831476.27559784,5528844.94556371,5007261.16379033,4799604.61127094,5284729.62640602,3523582.63959966,4155250.1333348,4952107.37963232,4045751.80443677,4437240.73326434,2970882.39558314,3775056.63266858,5133925.44712317,5528844.94556371,5280077.12194913,6140551.65873012,5717174.94407532,5426765.59687248,5563141.49819988,5452184.06451603,5809846.94377024,5540911.68873588,3959621.51713376,4844240.57712304
0,High,Master Protein,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,0,0,421.925,77,33,193,33,491,55.9,8.27,1854,33,0,7839565.82550369,8327610.59028924,7315500.43626458,6050495.05092338,10989267.4863122,4747453.13450483,5422100.89418608,8017362.15149453,6895939.46266725,6375553.52066178,6719037.15778602,5770043.65434075,8330320.62875448,8327610.59028924,7714078.66009741,7740924.60321387,11888510.7030939,7311681.88126343,7259229.5346767,8826976.2367467,9902820.22927493,7961339.29808392,8955199.35220076,7404254.37866078
0,High,Master Protein,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",0,0,393.552,66,27,128,27,529,56.5,5.4,2897,27,0,5217811.88591449,5318481.73380542,5459760.17985575,4584766.09687576,4887192.73341904,3786709.51367279,4607826.06910728,5419502.45123629,3663387.34758942,4658593.05689012,4122711.00324898,4595256.76310712,5544445.56722643,5318481.73380542,5757230.12521349,5865690.06016625,5287107.91612854,5832014.46255394,6169060.24883883,5966777.90626381,5260757.65742679,5817320.77966313,5494790.10736287,5896740.48370676
0,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0,0,393.168,73,30,196,30,335,36,8.46,2853,30,0,8791480.43001649,9904762.34181488,7741821.64476889,6655860.24333884,8725929.86334505,6162684.81113859,6578750.89475051,8590542.75954531,6589223.53945215,7475770.31469247,6392946.21803387,7242742.87402427,9341824.84254506,9904762.34181488,8163627.58235122,8515420.94978685,9439965.92166286,9491318.7338371,8807778.33692865,9458038.11358672,9462364.99246511,9335212.04032374,8520582.11406821,9294056.31067715
0,High,Master Protein,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1,0,0,364.37,75,39,150,39,317,36.1,5.73,2501,39,0,6640082.06760823,5996893.13051249,6741586.64391744,5102837.87451054,6740018.66384399,4739330.11563924,6496882.71732171,6617053.9991964,4026970.17501511,5887726.7267451,6399184.43400327,6858594.48276915,7055749.49628867,5996893.13051249,7108895.70961409,6528504.34824865,7291549.15229497,7299171.39865772,8698171.39616174,7285261.32467252,5782875.83986448,7352175.77800981,8528896.47017254,8801108.14972756
0,High,Master Protein,P30101,Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,0,0,364.016,65,37,171,37,505,56.7,6.35,2346,37,0,6921868.97599236,7633174.36874878,7533718.3172022,6508368.70890875,7221948.65810779,5831543.00118387,5974765.57390232,7817071.67206494,5830667.42752533,6428857.76858442,5692271.55282337,6000883.42976362,7355176.19262289,7633174.36874878,7944185.93891703,8326722.20067188,7812915.10339985,8981318.21284676,7999149.32666556,8606459.90369792,8373050.78793995,8027901.86435616,7586715.97214258,7700473.35382538
0,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,0,362.621,84,40,153,37,434,47.1,7.39,1717,40,0,6804619.83181198,7783076.73447102,6692683.26339634,5845125.03891645,6659359.062326,6001901.09987912,6384307.4299459,7223676.64194163,5241059.85018504,6239655.94004028,5734956.44571626,6357580.97313338,7230587.28218959,7783076.73447102,7057327.87397917,7478176.8833452,7204289.23827901,9243691.3607781,8547453.09214245,7953142.29986165,7526352.83245053,7791640.03266168,7643606.82066843,8158195.94754722
0,High,Master Protein,Q86UX7,Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1,0,0,361.394,56,29,130,28,667,75.9,6.98,2154,29,0,4462890.87109696,4743739.79027023,4400982.4287136,3908615.11685512,4597195.28991829,3098900.66598742,3543055.08561995,3950408.72902998,3645671.94517571,3700657.53318384,2743460.76603833,3259065.12615586,4742266.69115193,4743739.79027023,4640765.85499303,5000631.29841581,4973380.20723231,4772701.32203184,4743521.12261453,4349331.27850338,5235317.69433809,4621118.80203127,3656511.71408466,4182108.26057211
0,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,0,357.161,51,37,142,31,646,70.9,5.52,1845,37,0,5869937.0329964,6454979.32922476,5772182.7676387,4721210.30702156,5741805.50345771,3972967.15540772,4287345.69197957,5888566.84340457,4177618.3125819,4834061.78444764,3966585.06699532,4462266.31580247,6237393.58069846,6454979.32922476,6086674.76653996,6040255.00640524,6211652.98487498,6118874.92978469,5739993.97649698,6483209.6409088,5999212.05225083,6036433.68833234,5286703.91132505,5726084.04490587
0,High,Master Protein,P00488,Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=4,0,0,351.403,48,37,147,37,732,83.2,6.09,1966,37,0,3323289.64822234,3815470.97282484,3206097.22195512,2920924.40751181,2953903.56621714,2381442.87021039,2663067.40623588,3264327.35939876,2556309.0620817,2858965.8092415,2060923.92381049,2384969.78881453,3531326.72498915,3815470.97282484,3380778.44127779,3736992.66257318,3195619.19906135,3667725.02899019,3565374.00270643,3593967.62749499,3670952.9179176,3570073.84146781,2746819.84249127,3060448.76948531
0,High,Master Protein,P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,0,0,349.582,73,28,154,1,444,49.6,4.88,2414,28,0,16092.9632402343,21973.5455124025,14923.0276271484,22375.5114048343,20100.1930669829,21648.8312970424,19498.06670625,21824.5385901863,22130.4617865535,21114.3645974126,14657.27087816,20268.4360570313,17100.3785977265,21973.5455124025,15736.0948803949,28626.9380084429,21744.9762423858,33341.954740881,26104.4463143199,24028.4372681886,31780.1491514707,26366.1217929834,19535.3559729949,26008.9291197964
0,High,Master Protein,P37802,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,0,0,348.084,93,26,144,26,199,22.4,8.25,2816,26,0,4030475.8340829,4857158.93737246,4269397.33012536,3512842.2370324,4259973.47723174,2877046.41855685,2962606.53875373,4338241.94256249,3057141.09900846,3476768.60180721,3108385.01270411,3342363.69743076,4282782.58409802,4857158.93737246,4502011.46493455,4494284.62811535,4608563.79572588,4431017.55280626,3966403.66998846,4776328.89879105,4390165.96402938,4341542.17515514,4142886.36875625,4288998.92692511
0,High,Master Protein,P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,0,0,330.963,58,26,125,12,448,49.9,5.06,2178,26,0,1904100.59048257,2108131.79680028,2116660.15084054,1945115.28378545,1835546.21183296,1240498.09053459,1526324.32970515,1276978.69948393,1511248.15471322,1308307.55892106,997305.349280194,1272301.89799901,2023296.79744751,2108131.79680028,2231984.40660813,2488555.1726952,1985747.53163304,1910524.89731417,2043477.03407213,1405931.33030359,2170207.39218612,1633721.7386793,1329218.45914649,1632647.42237273
0,High,Master Protein,P08567,Pleckstrin OS=Homo sapiens OX=9606 GN=PLEK PE=1 SV=3,0,0,330.29,64,28,134,28,350,40.1,8.28,2022,28,0,3685598.81822689,4420561.64356181,3531108.96818398,3451628.69004259,3469360.553481,2547701.67657691,2738164.75093319,3108999.80450532,3147311.07356008,3038748.78406751,2155173.92307251,2421466.69749902,3916316.35579971,4420561.64356181,3723498.14961606,4415968.81297042,3753255.63094398,3923784.74515154,3665916.00169193,3422954.69206201,4519653.3316168,3794574.07630549,2872437.17612338,3107282.45257736
0,High,Master Protein,P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,0,0,329.582,74,32,121,32,364,39.4,8.09,1788,32,0,5347785.55227484,5991777.39803414,5466941.69835175,4783265.11393124,5512573.10072265,3731367.41209335,3863240.00378486,5407935.47666365,4331490.30321738,4569731.09490689,3795024.25944018,4151753.85450967,5682555.55165366,5991777.39803414,5764802.92205216,6119647.11854019,5963662.67279948,5746780.58453028,5172191.82791126,5954042.86851019,6220177.83506157,5706356.26062188,5058045.96575907,5327627.2239724
0,High,Master Protein,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,0,0,317.506,68,26,140,1,445,49.9,4.89,1910,26,0,13114.9847244503,13792.0377854366,11847.6100230469,7909.31803123888,11118.8455274045,7473.31490643296,10329.9409705078,17361.2618739628,4531.01978210453,9836.32775482176,10530.319392334,11576.1605090694,13935.9793932044,13792.0377854366,12493.1160141669,10119.078526197,12028.6920145718,11509.8558419031,13829.9552236262,19114.4472590451,6506.70943391875,12282.9088407005,14034.9141084033,14854.7987280609
0,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,0,313.807,44,44,135,19,911,104.8,5.44,1886,44,0,1113889.53340248,1209807.82449673,1200109.76165515,945442.351024958,1194593.60290405,789482.761620757,849665.480004838,1089680.36529055,840689.268943136,915437.263810857,687474.227796377,832909.696035057,1183618.73154629,1209807.82449673,1265496.6236166,1209586.63619641,1292346.26890844,1215903.90471846,1137551.08350344,1199719.12311284,1207260.40941844,1143133.16321299,916272.468039966,1068809.11711251
0,High,Master Protein,P60660,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,0,0,313.046,70,15,161,15,151,16.9,4.65,2406,15,0,7960046.0424953,8479937.45830867,8723698.08989861,6848085.26695423,7208705.03351751,4624002.8190612,5609553.09218428,6710705.44938723,5731857.20127366,6429990.04292275,4025296.3307304,5245784.91861837,8458342.87632551,8479937.45830867,9199000.65056678,8761351.14262796,7798587.76330321,7121552.68796923,7510194.71562855,7388369.94191481,8231155.70421979,8029315.76828729,5364954.86583242,6731513.36107708
0,High,Master Protein,Q13418,Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2,0,0,307.645,59,37,162,37,452,51.4,8.07,1672,37,0,4835214.60286557,5318413.30087667,4343823.82454577,3654160.09732916,4784504.71884246,3279390.76884185,3478352.67498662,4578419.18878483,3706265.17800001,4072728.14656717,3254219.37249421,3565740.84654872,5137897.79271584,5318413.30087667,4580493.01754417,4675084.85891262,5176017.02113543,5050679.04553933,4656896.09305489,5040759.86809892,5322331.78357394,5085734.20936666,4337255.84962859,4575641.68624031
0,High,Master Protein,P02775,Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3,0,0,304.297,63,17,150,17,128,13.9,8.79,2305,17,0,13538491.5806008,15371099.165273,13082561.7264076,10380776.4534849,18296611.1425464,5475947.72867408,5402365.80705659,7065244.13246532,14650423.4579301,7002271.39402871,10414673.4348089,12549091.1953982,14385997.669565,15371099.165273,13795352.9102132,13281030.2583391,19793808.6109419,8433656.24812388,7232807.7601366,7778710.86345524,21038541.6768899,8743940.15271995,13880780.0294284,16103286.0404514
0,High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0,0,301.229,57,25,102,1,451,50.1,5.06,1978,25,0,4556.32665468751,6440.90069487309,5416.94655175784,2899.92892309568,5252.77338222659,1853.27886401368,3800.70142675782,3132.08062792966,2360.86479492188,3864.35928505701,4241.68708154291,5643.59430615232,4841.55153075057,6440.90069487309,5712.08383648739,3710.131313129,5682.60374527331,2854.28525717309,5088.46378701513,3448.36627707482,3390.28783189066,4825.53794558161,5653.3626043211,7241.99163056204
0,High,Master Protein,P06753,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,0,0,299.589,50,23,167,5,285,32.9,4.72,1235,23,0,779877.575887031,841382.308031551,771834.999277998,566209.765327427,768036.242481528,393000.281087037,446508.475244973,625513.303715197,501092.040109536,530093.903026096,410347.673868676,533096.733909064,828697.711444672,841382.308031551,813887.709927732,724401.402879279,830884.051232594,605270.437252086,597795.49924224,688679.264243254,719586.42015196,661943.689776802,546915.448882071,684082.14265875
0,High,Master Protein,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,0,0,297.877,25,15,452,3,376,42,5.59,5471,15,0,1122491.76250821,1481146.55271305,1345907.20182984,1617903.80639553,1431169.27603742,1701144.51141844,1551371.46901247,1487488.59653283,1700613.02568894,1519628.53860295,1226331.02798074,1397406.41121561,1192759.45798036,1481146.55271305,1419237.70144813,2069925.06813955,1548280.74549124,2619978.99697987,2077010.70247248,1637699.06434617,2442142.2438716,1897604.39837288,1634466.15481666,1793184.44691975
0,High,Master Protein,P05164,Myeloperoxidase OS=Homo sapiens OX=9606 GN=MPO PE=1 SV=1,0,0,297.576,52,41,126,41,745,83.8,8.97,2056,41,0,4038453.35939528,4077569.57990816,2902366.80425154,2354777.4519168,2742860.71222284,3030087.35080244,3736631.9775907,4267699.4527935,2151137.88711793,3568868.83004848,3571097.155666,3937887.16080523,4291259.50044202,4077569.57990816,3060499.55481709,3012671.6176479,2967306.87236188,4666720.06101194,5002686.18037503,4698662.84490627,3089112.35370268,4456550.41155116,4759593.70130999,5053188.50250458
0,High,Master Protein,Q15942,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,0,0,294.957,53,26,131,26,572,61.2,6.67,1736,26,0,3716288.44420339,4079885.56947231,3835516.92882984,3029437.16148114,3264957.6048467,2249814.66122648,2469616.11648933,3190075.78655686,2612768.98706705,2925319.04079213,2292613.15033225,2584646.534184,3948927.14446471,4079885.56947231,4044491.49431484,3875822.46738981,3532126.54789913,3465000.83910913,3306377.10400334,3512217.93768033,3752031.42655521,3652931.05350233,3055617.54111022,3316678.61882213
0,High,Master Protein,Q13201,Multimerin-1 OS=Homo sapiens OX=9606 GN=MMRN1 PE=1 SV=3,0,0,294.067,33,42,130,42,1228,138,7.93,1824,42,0,2460362.99268967,2661661.08234266,2459351.55522162,1889636.04156681,2632555.59745894,1498714.19890215,1601875.31388701,2252770.38188119,1816130.74680377,1900779.38431385,1693631.68083943,1946583.50325731,2614381.08288479,2661661.08234266,2593347.03279707,2417575.75242571,2847975.57579366,2308210.55897544,2144626.37571108,2480260.9950712,2608029.8987283,2373558.55617612,2257289.09886213,2497901.279582
0,High,Master Protein,Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,0,0,287.011,57,25,101,2,449,49.9,5.1,1865,25,0,101977.680079243,122585.467107276,80776.6634973632,84115.5378099611,97953.715052184,87056.8372133079,98381.9285947266,95556.8306655312,80068.1454383055,88673.7033247931,93428.2317515865,98128.3135541371,108361.456609373,122585.467107276,85177.7047308952,107616.324063652,105969.191418463,134078.606203879,131715.918916057,105206.407993711,114980.773056308,110729.434973519,124522.073745274,125920.536971541
