Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Protein Pathway Groups,# Razor Peptides,"Abundance: F16: 127N, Sample, 5B+","Abundance: F16: 127C, Sample, 5A+","Abundance: F16: 128C, Sample, 2B+","Abundance: F16: 129C, Sample, 2A+","Abundance: F16: 130N, Sample, 4B+","Abundance: F16: 130C, Sample, 1A+","Abundance: F16: 131N, Sample, 1B+","Abundance: F16: 132N, Sample, 6B+","Abundance: F16: 132C, Sample, 4A+","Abundance: F16: 133N, Sample, 6B+","Abundance: F16: 133C, Sample, 3A+","Abundance: F16: 134N, Sample, 3B+","Abundances (Normalized): F16: 127N, Sample, n/a, n/a","Abundances (Normalized): F16: 127C, Sample, n/a, n/a","Abundances (Normalized): F16: 128C, Sample, n/a, n/a","Abundances (Normalized): F16: 129C, Sample, n/a, n/a","Abundances (Normalized): F16: 130N, Sample, n/a, n/a","Abundances (Normalized): F16: 130C, Sample, n/a, n/a","Abundances (Normalized): F16: 131N, Sample, n/a, n/a","Abundances (Normalized): F16: 132N, Sample, n/a, n/a","Abundances (Normalized): F16: 132C, Sample, n/a, n/a","Abundances (Normalized): F16: 133N, Sample, n/a, n/a","Abundances (Normalized): F16: 133C, Sample, n/a, n/a","Abundances (Normalized): F16: 134N, Sample, n/a, n/a",# Protein Groups,Modifications
0,High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,0,0,210.127,47,34,68,27,892,103,5.41,792,34,0,8,24604358.2349406,26363268.1814159,24333803.5661099,21096203.0709284,23449066.4912508,18688183.7998956,19332021.0768137,21535707.1757044,19849725.9622007,20261494.6240477,17626963.0576616,19046822.1773126,25698739.8564063,26363268.1814159,25313602.9378443,23689003.8190682,25219225.6418004,22456498.2712921,22775245.5016425,24261350.1277481,23332939.9950851,23221503.0461328,20179529.3005817,21785713.8432295,1,
0,High,Master Protein,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,0,0,174.114,20,24,50,24,1170,129.3,4.94,887,24,0,0,17129435.7129638,17341921.9112073,16796417.6450102,15080685.1072671,16940874.4927689,12927608.9227211,13595516.6590705,14979564.4919185,14551107.136784,14795600.3355894,13622529.3916469,14510246.2851903,17891338.9274814,17341921.9112073,17472724.5532689,16934156.6299444,18219733.2487401,15534352.1089861,16017012.830768,16875436.4987659,17104523.776861,16957094.4610608,15595212.2953641,16596788.1897106,1,
0,High,Master Protein,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,0,0,137.042,67,22,56,22,267,30.8,5.76,498,22,0,0,15591503.4959833,15158978.8368675,16222033.6114001,16655742.2086974,16216861.1239067,18886726.2983054,16688497.1471589,20260458.3166168,14581699.6356691,19672047.6825759,35280567.5350625,19584376.3702721,16285000.7501726,15158978.8368675,16875212.9755518,18702794.0271853,17441064.4465587,22695075.188132,19660883.7777375,22824700.8077184,17140484.6229777,22545943.6068664,40389557.9735442,22400567.1617528,1,
0,High,None,Q6S8J3,POTE ankyrin domain family member E OS=Homo sapiens OX=9606 GN=POTEE PE=2 SV=3,0,0,136.222,9,12,38,5,1075,121.3,6.2,962,12,0,0,22270238.092246,21659538.3087114,20966012.4706043,17328886.9735043,19762553.0149117,15006352.6307768,16028614.1190567,17928523.780467,15840545.4474885,19141972.6007555,15817717.9333105,17234566.0546241,23260799.9691742,21659538.3087114,21810207.9039513,19458670.7529963,21254418.9734402,18032256.9341019,18883469.0466196,20197627.5570036,18620231.6908304,21938429.68178,18108286.8024074,19712859.2256986,1,
0,High,Master Protein,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,0,0,135.406,61,19,39,19,491,55.9,8.27,583,19,0,0,9011420.29974919,9538438.30097097,8384460.56053333,8233044.82073724,11721150.1535985,7404335.17755939,7575947.07245858,9074569.77592457,9428981.35544874,8275716.94078584,9219349.3298703,7944992.41820625,9412240.86434913,9538438.30097097,8722060.44158863,9244916.23185827,12605974.3408258,8897356.84833421,8925298.28087344,10223082.6597031,11083571.4609065,9484719.1540009,10554406.2993626,9087465.07413926,1,
0,High,Master Protein,Q9H4B7,Tubulin beta-1 chain OS=Homo sapiens OX=9606 GN=TUBB1 PE=1 SV=1,0,0,133.952,52,16,29,15,451,50.3,5.17,672,16,0,0,7348738.22556319,7643854.65483776,6989793.71030982,6630159.38677423,6495757.78582842,6197176.87598458,6233483.01305459,5483866.41467174,6095132.45545358,5738296.96777849,5624583.86970888,6078791.84897604,7675604.05877145,7643854.65483776,7271237.40107143,7445030.29792905,6986119.5274623,7446785.26776991,7343728.07625948,6177925.90021126,7164701.42288187,6576606.66152094,6439081.68588553,6952908.91580283,1,
0,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0,0,131.566,70,21,33,3,445,49.8,4.89,525,21,0,20,9960320.82839218,10542944.4324494,9830447.01518394,9210207.44792936,8965994.1014926,9454957.85673579,9336944.40722203,9052841.52039325,8621990.91185715,8891228.61846257,8454157.43883447,9010486.64649376,10403347.7081998,10542944.4324494,10226269.4678135,10342175.7306211,9642832.83656349,11361470.2765344,10999946.6824872,10198604.3915501,10134970.9798325,10190151.135368,9678406.72216868,10306175.0585656,1,
0,High,Master Protein,P06396,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,0,0,130.924,30,20,37,20,782,85.6,6.28,613,20,0,0,14778908.9048039,15393446.4868364,15318039.615884,13720189.3421551,15190291.660357,11846987.6036058,11933579.8064231,13481106.4159059,13841834.7840439,12964076.36179,10333535.2023232,11388364.970484,15436262.619796,15393446.4868364,15934819.7074578,15406450.9443665,16336999.7304686,14235832.6249915,14059068.5642645,15187327.734225,16270788.8790507,14858002.5467768,11829937.7897226,13025987.1216076,1,
0,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0,0,125.881,59,16,36,16,335,36,8.46,596,16,0,0,12409631.3823959,13300704.0523327,11254241.3076198,10189155.9832551,11927773.057777,9841882.72053863,9924803.59364046,11535148.3087653,10123208.742945,10791725.2701053,9934138.81440081,10770621.5350419,12961601.5815118,13300704.0523327,11707392.7655328,11441440.6321787,12828195.1121808,11826415.2721609,11692509.4123683,12995081.592221,11899621.3150073,12368291.9687153,11372704.6812022,12319413.5216763,1,
0,High,Master Protein Rejected,P68363,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1,0,0,124.706,40,13,26,0,451,50.1,5.06,721,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,High,Master Protein,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,0,0,120.392,29,21,47,21,866,94.9,6.01,395,21,0,0,13177710.9724268,13860145.0288596,12712176.8169182,12376423.8880776,16614611.2661362,12681266.2916269,11647639.9893203,12731555.9531158,14473563.7129725,13286909.2512718,15679984.6296052,13785023.0601115,13763844.7200948,13860145.0288596,13224031.9744875,13897531.7864238,17868840.5624943,15238336.5663016,13722200.0336885,14342911.2463986,17013373.0950706,15227998.1993974,17950608.2942778,15767279.4398022,1,
0,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,0,117.572,63,20,33,5,444,49.6,4.89,446,20,0,0,2417781.08342184,2448612.26450628,2782353.69153533,2404121.40560675,2274751.34939461,2148383.7595163,2227875.72770343,2083364.89701915,2097572.90811269,2190347.51480919,1878887.44031403,2095540.86085781,2525321.99780613,2448612.26450628,2894385.02241636,2699596.74579563,2446471.27342051,2581587.20495457,2624682.46046207,2347043.67021968,2465653.32405644,2510336.10456671,2150969.74052102,2396875.08585143,1,
0,High,Master Protein,P37802,Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3,0,0,116.332,85,14,31,14,199,22.4,8.25,536,14,0,0,6290026.66907493,7293443.18351756,6566254.78249776,6257439.61575937,6129728.73642979,5621382.4701509,5425886.51932507,6023164.72955612,5891927.01368937,5991571.77008567,5491612.94107549,5773555.3898437,6569801.88285754,7293443.18351756,6830644.6997197,7026501.89974631,6592459.11493875,6754886.78166363,6392290.64828068,6785479.90965076,6925837.65275286,6866882.46310493,6286855.19390813,6603780.11671642,1,
0,High,Master Protein,Q86UX7,Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1,0,0,114.654,24,12,28,12,667,75.9,6.98,535,12,0,0,7721154.21415019,8034275.82700763,7765833.91470864,6468820.09594476,7566698.62676828,4717223.05694526,5486673.71455498,6739010.81081875,5677155.42770123,6058063.17985329,4095720.09456972,5038019.68164804,8064584.80428314,8034275.82700763,8078524.8251104,7263861.81638879,8137905.19563631,5668411.25696666,6463904.64503852,7591926.25819149,6673378.12066393,6943087.62482226,4688822.65112748,5762475.9710141,1,
0,High,Master Protein,P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,0,0,111.858,40,13,24,5,448,49.9,5.06,642,13,0,7,4159621.97544174,4591853.61677164,4182737.8856258,3599730.20099472,3934101.26059298,3047617.5801296,3525536.70168695,3360554.30871769,3061366.31286484,3177507.3390159,2841367.40416612,3243516.49302657,4344638.54034054,4591853.61677164,4351155.6153626,4042150.24818807,4231084.73958247,3662143.9329017,4153469.70639687,3785879.14675458,3598572.42447952,3641710.43258045,3252826.74040473,3709927.12091577,1,
0,High,Master Protein,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,0,0,111.021,24,12,43,2,376,42,5.59,568,12,0,0,2212811.58656278,2326655.8998378,2353788.71206855,3006715.38667497,2177794.44938513,2726139.17152497,2659657.0341513,1907159.94892498,2828511.57434997,2538456.43301248,2587746.84918747,2240587.008,2311235.6262787,2326655.8998378,2448563.89569385,3376251.7377332,2342195.14201116,3275842.11757346,3133368.29410028,2148537.53781938,3324856.52272425,2909300.36926855,2962479.31052249,2562778.55396207,1,
0,High,None,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0,0,109.041,34,10,22,0,451,50.1,5.06,619,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,High,Master Protein,P05106,Integrin beta-3 OS=Homo sapiens OX=9606 GN=ITGB3 PE=1 SV=2,0,0,106.486,26,13,25,13,788,87,5.24,849,13,0,0,4253218.90750487,4863600.82781149,4499370.62574125,4905785.46730476,4493159.93056069,4490867.77430556,4415964.80873421,4123346.60850233,4779758.02665263,4362447.34379491,3909611.9433433,4274418.71357043,4442398.58697456,4863600.82781149,4680537.55676887,5508724.49794813,4832346.48917839,5396413.34279137,5202491.87841835,4645213.41002425,5618506.14156025,4999758.71287871,4475764.11810251,4889070.84200696,1,
0,High,Master Protein,P08567,Pleckstrin OS=Homo sapiens OX=9606 GN=PLEK PE=1 SV=3,0,0,106.455,49,15,25,15,350,40.1,8.28,411,15,0,0,6628380.0990514,7529298.64342606,6684951.25649708,6230297.08189452,5918044.25531126,5286718.61317155,5323420.77594667,5390932.51433087,5728460.44506159,5745154.34366059,4685348.77750576,5157693.50926923,6923204.99516225,7529298.64342606,6954120.48125045,6996023.44889798,6364794.67054872,6352740.78362594,6271574.7411503,6073229.92359385,6733686.10142879,6584465.83370391,5363835.65506065,5899358.63515662,1,
0,High,Master Protein,Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,0,0,99.308,32,10,21,3,449,49.9,5.1,553,10,0,0,2299415.08287995,2383466.38072218,2640554.1386454,2369651.48720719,2078661.03704536,1573919.11383221,1883466.63805137,1641992.20629302,1857450.18981327,1723083.69307851,1302369.07194667,1530099.04000059,2401691.17489567,2383466.38072218,2746875.91769019,2660890.34797301,2235578.19436545,1891286.61390435,2218930.70079579,1849809.13321717,2183394.06323812,1974809.55724138,1490965.56006544,1750123.9591011,1,
0,High,Master Protein,P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,0,0,96.683,60,16,26,1,444,49.6,4.88,376,16,0,0,321666.904254836,394013.212280189,343453.577929717,365718.626831249,327895.930957059,361647.546975,349528.468652374,318756.239999999,363728.096325,353424.925555611,288410.6622375,317802.8316375,335974.383640758,394013.212280189,357282.71890068,410666.787695488,352648.642662158,434570.721286809,411782.950770663,359099.27085046,427554.811700628,405056.889318925,330175.50386776,363502.188667963,1,
0,High,Master Protein,P60660,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,0,0,92.48,55,11,30,11,151,16.9,4.65,448,11,0,0,17539345.5814569,19240623.7650771,18724043.8901188,17351220.578106,16933550.3507701,13747048.7347597,14538721.7379647,15730294.1737107,15365626.4214617,15111386.0028639,11457545.9025576,13442912.6947509,18319481.2498452,19240623.7650771,19477966.5717918,19483749.2395336,18211856.2106598,16519025.0402622,17128212.0760437,17721181.4521428,18061974.2540321,17319013.3604611,13116716.8443645,15375974.3468493,1,
0,High,Master Protein,P67936,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,0,0,92.176,70,19,37,10,248,28.5,4.69,194,19,0,11,12412469.7487447,13373511.3383279,12399465.675379,11900895.5579574,12362280.400499,9866306.50406989,9497071.39968884,9800281.68703822,10998829.2122962,10536206.8229721,10309657.2111105,11365652.7954007,12964566.1960617,13373511.3383279,12898729.5346261,13363559.2800718,13295503.2126212,11855763.9054214,11188593.8782657,11040643.4959346,12928894.96386,12075444.7474939,11802602.0188504,13000008.9850704,1,
0,High,Master Protein,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1,0,0,90.458,62,19,32,19,317,36.1,5.73,358,19,0,0,7093733.88827754,6671215.56904969,7017356.61351637,6129460.44586638,6830744.23347239,5915141.93944979,6630695.30518386,6778168.66760656,5746606.04533154,6491360.03164314,7485718.85382825,7534407.29275034,7409257.33826025,6671215.56904969,7299910.12318368,6882793.62038613,7346393.94662652,7107880.36761729,7811687.81174542,7636040.08580023,6755015.87711838,7439684.95638218,8569728.23126706,8617838.69929319,1,
0,High,None,A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2,0,0,84.394,7,9,28,2,1075,121.4,6.2,616,9,0,0,19127913.7578027,18037612.9646631,17902264.6546191,14499942.1963816,16313909.6694486,12786695.0843892,13365048.4402044,14553744.940082,13391370.5549701,16366006.9883643,13118778.5991152,14581827.7741379,19978707.6323526,18037612.9646631,18623098.4368744,16282038.2848749,17545439.1417792,15365024.1849467,15745495.9394845,16395723.566469,15741277.5474119,18756922.3389015,15018513.1870248,16678662.9413184,1,
0,High,None,Q9Y4G6,Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,0,0,83.53,5,14,26,14,2542,271.4,5.57,470,14,0,0,15140079.8740034,15548627.0074938,14778448.9655405,13198151.066274,13822012.6174518,11799553.6816009,11862692.219686,12914826.5403014,12394156.9760573,12600621.9492828,10926660.0185077,12257777.4500336,15813498.1767049,15548627.0074938,15373502.4668275,14820252.2492994,14865429.9374088,14178834.0531181,13975555.1962342,14549377.2726847,14569073.7274012,14441450.9594546,12508953.2030948,14020419.2276499,1,
0,High,Master Protein,Q9NY65,Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1,0,0,83.205,28,9,17,2,449,50.1,5.06,570,9,0,0,577988.042765322,613282.887503256,658750.638717161,607688.098088671,560082.526977825,489916.031408199,521338.792550683,475277.822262888,537489.696923437,521018.213832552,412590.965203465,473678.550571874,603696.475612434,613282.887503256,685275.199918255,682375.194627443,602362.897096725,588703.462583557,614194.395024356,535430.834000295,631807.958969962,597133.936271591,472338.396820985,541792.497476372,1,
0,High,None,P0DPH7,Tubulin alpha-3C chain OS=Homo sapiens OX=9606 GN=TUBA3C PE=1 SV=1,0,0,81.009,29,8,16,1,450,49.9,5.1,484,8,0,0,3436688.59800632,3790179.38722682,3356115.10425139,2850066.64080059,3280331.08652833,2390718.5105751,2862789.12634691,2768307.77516456,2361417.88235195,2549325.54347475,2225069.38422335,2577203.30860782,3589549.68076432,3790179.38722682,3491248.90944053,3200350.28633012,3527961.75838545,2872786.71243461,3372680.22380669,3118675.5859313,2775797.60331012,2921757.35165764,2547282.40411476,2947799.54758186,1,
0,High,Master Protein Rejected,Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,0,0,80.069,43,13,21,0,445,49.9,4.89,323,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,High,Master Protein Candidate Rejected,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,0,0,80.069,43,13,21,0,445,49.9,4.89,323,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,High,Master Protein,P02775,Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3,0,0,79.173,48,11,25,11,128,13.9,8.79,450,11,0,0,15945930.8979599,17081872.7451484,15764594.4328684,13943519.498954,21066003.7907003,9087733.19767891,8445485.14804039,9387715.7847129,18290872.2087547,10993042.2825578,14036376.0388878,16401132.8946702,16655192.791534,17081872.7451484,16399355.0315971,15657229.1967152,22656266.6435749,10920197.8656042,9949709.69992334,10575861.6466356,21500539.8320033,12599019.4498142,16068988.2099461,18759580.187275,1,
0,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,0,77.818,36,13,24,13,434,47.1,7.39,253,13,0,0,8497393.79992945,9100463.94998454,8570415.7782214,8082593.28176847,7971113.95340702,8309456.17929583,8195318.00732991,8272735.96236915,7595912.78284232,7749650.35935386,7639169.61377558,8041487.37881076,8875350.8885152,9100463.94998454,8915503.13672619,9075973.64682375,8572849.64766002,9984987.85777013,9654985.31371011,9319765.63666691,8928837.48155839,8881799.33244477,8745400.24557968,9197835.80052466,1,
0,High,Master Protein,P05164,Myeloperoxidase OS=Homo sapiens OX=9606 GN=MPO PE=1 SV=1,0,0,77.604,30,18,24,18,745,83.8,8.97,282,18,0,0,4412617.17961914,4242332.94569018,3706796.49692085,3375923.33402703,3249572.19547852,3951300.89051534,4061832.33405335,3879693.06094438,3292261.52781587,3836687.10751843,4018264.6668802,4259850.26893594,4608886.763155,4242332.94569018,3856050.47067645,3790836.69624197,3494880.89292046,4748047.35266506,4785284.90254586,4370722.12079274,3869984.9470435,4397189.99054272,4600150.87780857,4872407.4866717,1,
0,High,None,Q6PEY2,Tubulin alpha-3E chain OS=Homo sapiens OX=9606 GN=TUBA3E PE=1 SV=2,0,0,71.631,25,7,14,1,450,49.8,5.14,466,7,0,0,1746894.26650191,1923943.2892925,1704414.75914213,1614600.32615449,1660899.15019425,1437839.05518838,1597140.48119999,1506604.26230597,1438499.53432187,1469820.55457725,1449763.06014053,1532359.65800156,1824594.68695785,1923943.2892925,1773042.93334618,1813040.62934674,1786279.65649088,1727767.16041365,1881607.01953553,1697285.96388975,1690926.28186434,1684547.12343259,1659703.71954066,1752709.64906133,1,
0,High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,0,0,71.433,26,14,21,14,531,57.9,7.84,324,14,0,0,8584812.89793135,8643021.28169928,9948988.15590782,8641193.57665725,7658663.20523026,7146202.46693203,7406765.04302979,7037889.93744575,7085315.21016074,7351738.89732463,6129546.73979999,6864041.1002625,8966658.31610915,8643021.28169928,10349583.6615824,9703227.96716105,8236812.13746067,8587173.85612714,8725983.25636582,7928632.69080652,8328640.65527967,8425756.85388861,7017168.39312921,7851075.30413159,1,
