"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"311","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.20206,0.11877,11,0.79794,1,2,"proteomics_spermin_frac_CBoth-CControl","up"
"39","KEGG_MAPK_SIGNALING_PATHWAY",0.33224,0.22047,34,0.66776,1,16,"proteomics_spermin_frac_CBoth-CControl","up"
"41","KEGG_CALCIUM_SIGNALING_PATHWAY",0.18074,0.016445,23,0.81926,1,4,"proteomics_spermin_frac_CBoth-CControl","up"
"42","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.12944,0.05626,10,0.87056,1,1,"proteomics_spermin_frac_CBoth-CControl","up"
"431","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.29627,0.082599,36,0.70373,1,16,"proteomics_spermin_frac_CBoth-CControl","up"
"441","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.14356,0.016445,16,0.85644,1,2,"proteomics_spermin_frac_CBoth-CControl","up"
"481","KEGG_ENDOCYTOSIS",0.30073,0.053447,44,0.69927,1,15,"proteomics_spermin_frac_CBoth-CControl","up"
"51","KEGG_APOPTOSIS",0.31069,0.31457,16,0.68931,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"52","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.18397,0.0097176,27,0.81603,1,5,"proteomics_spermin_frac_CBoth-CControl","up"
"531","KEGG_WNT_SIGNALING_PATHWAY",0.30793,0.29801,17,0.69207,1,7,"proteomics_spermin_frac_CBoth-CControl","up"
"54","KEGG_TGF_BETA_SIGNALING_PATHWAY",0.30214,0.45162,9,0.69786,1,4,"proteomics_spermin_frac_CBoth-CControl","up"
"55","KEGG_AXON_GUIDANCE",0.3392,0.45608,16,0.6608,1,9,"proteomics_spermin_frac_CBoth-CControl","up"
"56","KEGG_VEGF_SIGNALING_PATHWAY",0.33367,0.45608,15,0.66633,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"57","KEGG_FOCAL_ADHESION",0.1886,0.0097176,49,0.8114,1,11,"proteomics_spermin_frac_CBoth-CControl","up"
"58","KEGG_ECM_RECEPTOR_INTERACTION",0.13837,0.0097176,20,0.86163,1,3,"proteomics_spermin_frac_CBoth-CControl","up"
"59","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.24776,0.086337,17,0.75224,1,6,"proteomics_spermin_frac_CBoth-CControl","up"
"61","KEGG_TIGHT_JUNCTION",0.17912,0.0097176,34,0.82088,1,6,"proteomics_spermin_frac_CBoth-CControl","up"
"621","KEGG_GAP_JUNCTION",0.25087,0.064136,25,0.74913,1,7,"proteomics_spermin_frac_CBoth-CControl","up"
"68","KEGG_JAK_STAT_SIGNALING_PATHWAY",0.25608,0.19655,15,0.74392,1,3,"proteomics_spermin_frac_CBoth-CControl","up"
"731","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.30927,0.31439,18,0.69073,1,7,"proteomics_spermin_frac_CBoth-CControl","up"
"74","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.31254,0.17179,27,0.68746,1,13,"proteomics_spermin_frac_CBoth-CControl","up"
"75","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.22233,0.022906,31,0.77767,1,9,"proteomics_spermin_frac_CBoth-CControl","up"
"78","KEGG_LONG_TERM_DEPRESSION",0.30706,0.35535,14,0.69294,1,6,"proteomics_spermin_frac_CBoth-CControl","up"
"79","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.31808,0.086337,50,0.68192,1,23,"proteomics_spermin_frac_CBoth-CControl","up"
"80","KEGG_INSULIN_SIGNALING_PATHWAY",0.36284,0.49496,24,0.63716,1,13,"proteomics_spermin_frac_CBoth-CControl","up"
"84","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.22799,0.17324,11,0.77201,1,3,"proteomics_spermin_frac_CBoth-CControl","up"
"85","KEGG_TYPE_I_DIABETES_MELLITUS",0.28788,0.39742,7,0.71212,1,3,"proteomics_spermin_frac_CBoth-CControl","up"
"861","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.33233,0.45608,13,0.66767,1,6,"proteomics_spermin_frac_CBoth-CControl","up"
"87","KEGG_ALZHEIMERS_DISEASE",0.1488,0.0097176,66,0.8512,1,11,"proteomics_spermin_frac_CBoth-CControl","up"
"88","KEGG_PARKINSONS_DISEASE",0.10423,0.0097176,58,0.89577,1,7,"proteomics_spermin_frac_CBoth-CControl","up"
"90","KEGG_HUNTINGTONS_DISEASE",0.14382,0.0097176,65,0.85618,1,11,"proteomics_spermin_frac_CBoth-CControl","up"
"95","KEGG_PATHWAYS_IN_CANCER",0.34999,0.35535,35,0.65001,1,19,"proteomics_spermin_frac_CBoth-CControl","up"
"105","KEGG_SMALL_CELL_LUNG_CANCER",0.12764,0.035631,13,0.87236,1,2,"proteomics_spermin_frac_CBoth-CControl","up"
"107","KEGG_VIRAL_MYOCARDITIS",0.23794,0.076352,19,0.76206,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"64","KEGG_LYSOSOME",0.72712,1,16,0.27288,0.035631,39,"proteomics_spermin_frac_CSpermidine-CControl","down"
"91","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.61409,1,11,0.38591,0.13362,17,"proteomics_spermin_frac_CSpermidine-CControl","down"
"351","KEGG_RIBOSOME",0.9506,1,2,0.0494,0.035631,64,"proteomics_spermin_frac_CSpermidine-CControl","down"
"362","KEGG_SPLICEOSOME",0.73136,1,11,0.26864,0.035631,23,"proteomics_spermin_frac_CSpermidine-CControl","down"
"372","KEGG_PROTEASOME",0.58251,1,13,0.41749,0.14965,19,"proteomics_spermin_frac_CSpermidine-CControl","down"
"941","KEGG_LEISHMANIA_INFECTION",0.5841,1,9,0.4159,0.42757,15,"proteomics_spermin_frac_CSpermidine-CControl","down"
"23","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.20089,0.14375,10,0.79911,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"511","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.23317,0.15862,10,0.76683,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"71","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.074297,0.0082225,21,0.9257,1,1,"proteomics_spermin_frac_CSpermidine-CControl","up"
"82","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.24059,0.047508,27,0.75941,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up"
"102","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.11349,0.0082225,17,0.88651,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"112","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.14182,0.022906,12,0.85818,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"121","KEGG_DILATED_CARDIOMYOPATHY",0.10154,0.0082225,19,0.89846,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"191","KEGG_OXIDATIVE_PHOSPHORYLATION",0.2107,0.0082225,57,0.7893,1,12,"proteomics_spermin_frac_CSpermidine-CControl","up"
"201","KEGG_PURINE_METABOLISM",0.28966,0.16178,20,0.71034,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up"
"211","KEGG_PYRIMIDINE_METABOLISM",0.3104,0.33808,14,0.6896,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"291","KEGG_STARCH_AND_SUCROSE_METABOLISM",0.246,0.16878,10,0.754,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"312","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.23909,0.16178,11,0.76091,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"391","KEGG_MAPK_SIGNALING_PATHWAY",0.28244,0.064136,38,0.71756,1,12,"proteomics_spermin_frac_CSpermidine-CControl","up"
"40","KEGG_ERBB_SIGNALING_PATHWAY",0.36096,0.4781,17,0.63904,1,8,"proteomics_spermin_frac_CSpermidine-CControl","up"
"411","KEGG_CALCIUM_SIGNALING_PATHWAY",0.15401,0.0082225,22,0.84599,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"421","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.11275,0.047508,10,0.88725,1,1,"proteomics_spermin_frac_CSpermidine-CControl","up"
"432","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.27167,0.072882,39,0.72833,1,13,"proteomics_spermin_frac_CSpermidine-CControl","up"
"442","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.11982,0.0082225,16,0.88018,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"45","KEGG_CELL_CYCLE",0.3359,0.46914,8,0.6641,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"461","KEGG_OOCYTE_MEIOSIS",0.34313,0.42539,17,0.65687,1,11,"proteomics_spermin_frac_CSpermidine-CControl","up"
"482","KEGG_ENDOCYTOSIS",0.32009,0.14375,41,0.67991,1,18,"proteomics_spermin_frac_CSpermidine-CControl","up"
"512","KEGG_APOPTOSIS",0.29644,0.21379,16,0.70356,1,8,"proteomics_spermin_frac_CSpermidine-CControl","up"
"521","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.16591,0.0082225,27,0.83409,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"532","KEGG_WNT_SIGNALING_PATHWAY",0.25517,0.124,16,0.74483,1,8,"proteomics_spermin_frac_CSpermidine-CControl","up"
"541","KEGG_TGF_BETA_SIGNALING_PATHWAY",0.2416,0.16178,10,0.7584,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"551","KEGG_AXON_GUIDANCE",0.26638,0.124,19,0.73362,1,6,"proteomics_spermin_frac_CSpermidine-CControl","up"
"561","KEGG_VEGF_SIGNALING_PATHWAY",0.30141,0.23204,16,0.69859,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up"
"571","KEGG_FOCAL_ADHESION",0.18073,0.0082225,50,0.81927,1,10,"proteomics_spermin_frac_CSpermidine-CControl","up"
"581","KEGG_ECM_RECEPTOR_INTERACTION",0.1524,0.0082225,19,0.8476,1,4,"proteomics_spermin_frac_CSpermidine-CControl","up"
"591","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.27229,0.14965,17,0.72771,1,6,"proteomics_spermin_frac_CSpermidine-CControl","up"
"60","KEGG_ADHERENS_JUNCTION",0.33927,0.43374,13,0.66073,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up"
"611","KEGG_TIGHT_JUNCTION",0.16645,0.0082225,36,0.83355,1,4,"proteomics_spermin_frac_CSpermidine-CControl","up"
"622","KEGG_GAP_JUNCTION",0.24448,0.066172,26,0.75552,1,6,"proteomics_spermin_frac_CSpermidine-CControl","up"
"63","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.34346,0.42539,16,0.65654,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up"
"67","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.25689,0.26469,8,0.74311,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"681","KEGG_JAK_STAT_SIGNALING_PATHWAY",0.32514,0.4206,13,0.67486,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"701","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.34048,0.36106,22,0.65952,1,11,"proteomics_spermin_frac_CSpermidine-CControl","up"
"72","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.35236,0.45783,15,0.64764,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up"
"732","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.29077,0.16178,18,0.70923,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up"
"741","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.29751,0.14375,28,0.70249,1,12,"proteomics_spermin_frac_CSpermidine-CControl","up"
"751","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.24062,0.026723,31,0.75938,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up"
"76","KEGG_LONG_TERM_POTENTIATION",0.30732,0.23204,17,0.69268,1,8,"proteomics_spermin_frac_CSpermidine-CControl","up"
"781","KEGG_LONG_TERM_DEPRESSION",0.26977,0.16178,16,0.73023,1,4,"proteomics_spermin_frac_CSpermidine-CControl","up"
"791","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.28552,0.026723,52,0.71448,1,21,"proteomics_spermin_frac_CSpermidine-CControl","up"
"801","KEGG_INSULIN_SIGNALING_PATHWAY",0.35321,0.43374,24,0.64679,1,13,"proteomics_spermin_frac_CSpermidine-CControl","up"
"81","KEGG_GNRH_SIGNALING_PATHWAY",0.32041,0.36106,16,0.67959,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up"
"841","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.23765,0.16178,11,0.76235,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"851","KEGG_TYPE_I_DIABETES_MELLITUS",0.29452,0.43185,7,0.70548,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"871","KEGG_ALZHEIMERS_DISEASE",0.14578,0.0082225,67,0.85422,1,10,"proteomics_spermin_frac_CSpermidine-CControl","up"
"881","KEGG_PARKINSONS_DISEASE",0.10691,0.0082225,60,0.89309,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"89","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.32384,0.42539,12,0.67616,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"901","KEGG_HUNTINGTONS_DISEASE",0.15596,0.0082225,64,0.84404,1,12,"proteomics_spermin_frac_CSpermidine-CControl","up"
"951","KEGG_PATHWAYS_IN_CANCER",0.31224,0.14375,38,0.68776,1,16,"proteomics_spermin_frac_CSpermidine-CControl","up"
"1051","KEGG_SMALL_CELL_LUNG_CANCER",0.18398,0.10225,12,0.81602,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up"
"1071","KEGG_VIRAL_MYOCARDITIS",0.2311,0.050634,21,0.7689,1,6,"proteomics_spermin_frac_CSpermidine-CControl","up"
"65","KEGG_LYSOSOME",0.64904,1,17,0.35096,0.035631,38,"proteomics_spermin_frac_CSpermine-CControl","down"
"93","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.4914,1,15,0.5086,0.37898,13,"proteomics_spermin_frac_CSpermine-CControl","down"
"17","KEGG_GALACTOSE_METABOLISM",0.60093,1,6,0.39907,0.085514,7,"proteomics_spermin_frac_CSpermine-CControl","down"
"18","KEGG_FATTY_ACID_METABOLISM",0.51018,1,10,0.48982,0.30732,15,"proteomics_spermin_frac_CSpermine-CControl","down"
"282","KEGG_GLUTATHIONE_METABOLISM",0.50348,1,10,0.49652,0.37898,11,"proteomics_spermin_frac_CSpermine-CControl","down"
"30","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.53019,1,9,0.46981,0.24942,8,"proteomics_spermin_frac_CSpermine-CControl","down"
"352","KEGG_RIBOSOME",0.7543,1,13,0.2457,0.035631,53,"proteomics_spermin_frac_CSpermine-CControl","down"
"363","KEGG_SPLICEOSOME",0.53947,1,12,0.46053,0.053447,22,"proteomics_spermin_frac_CSpermine-CControl","down"
"38","KEGG_PPAR_SIGNALING_PATHWAY",0.5028,1,9,0.4972,0.37898,12,"proteomics_spermin_frac_CSpermine-CControl","down"
"491","KEGG_PEROXISOME",0.50749,1,12,0.49251,0.30732,12,"proteomics_spermin_frac_CSpermine-CControl","down"
"641","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.57378,1,10,0.42622,0.035631,18,"proteomics_spermin_frac_CSpermine-CControl","down"
"942","KEGG_LEISHMANIA_INFECTION",0.4938,1,12,0.5062,0.38303,12,"proteomics_spermin_frac_CSpermine-CControl","down"
"77","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.24017,0.10689,17,0.75983,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"83","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.30474,0.24051,29,0.69526,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"103","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.23086,0.10689,16,0.76914,1,3,"proteomics_spermin_frac_CSpermine-CControl","up"
"113","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.23877,0.18172,12,0.76123,1,2,"proteomics_spermin_frac_CSpermine-CControl","up"
"122","KEGG_DILATED_CARDIOMYOPATHY",0.24162,0.10689,18,0.75838,1,3,"proteomics_spermin_frac_CSpermine-CControl","up"
"392","KEGG_MAPK_SIGNALING_PATHWAY",0.33441,0.35122,40,0.66559,1,10,"proteomics_spermin_frac_CSpermine-CControl","up"
"422","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.20544,0.1544,10,0.79456,1,1,"proteomics_spermin_frac_CSpermine-CControl","up"
"443","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.24118,0.12216,16,0.75882,1,2,"proteomics_spermin_frac_CSpermine-CControl","up"
"451","KEGG_CELL_CYCLE",0.29412,0.46766,12,0.70588,1,1,"proteomics_spermin_frac_CSpermine-CControl","up"
"483","KEGG_ENDOCYTOSIS",0.3472,0.46766,42,0.6528,1,17,"proteomics_spermin_frac_CSpermine-CControl","up"
"522","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.29955,0.25196,27,0.70045,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"552","KEGG_AXON_GUIDANCE",0.32352,0.46766,19,0.67648,1,6,"proteomics_spermin_frac_CSpermine-CControl","up"
"572","KEGG_FOCAL_ADHESION",0.24036,0.10689,53,0.75964,1,7,"proteomics_spermin_frac_CSpermine-CControl","up"
"582","KEGG_ECM_RECEPTOR_INTERACTION",0.2541,0.10689,19,0.7459,1,4,"proteomics_spermin_frac_CSpermine-CControl","up"
"612","KEGG_TIGHT_JUNCTION",0.29943,0.1544,34,0.70057,1,6,"proteomics_spermin_frac_CSpermine-CControl","up"
"631","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.28135,0.19435,19,0.71865,1,6,"proteomics_spermin_frac_CSpermine-CControl","up"
"742","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.31397,0.25196,33,0.68603,1,7,"proteomics_spermin_frac_CSpermine-CControl","up"
"752","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.32077,0.27005,32,0.67923,1,8,"proteomics_spermin_frac_CSpermine-CControl","up"
"792","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.29323,0.10689,62,0.70677,1,11,"proteomics_spermin_frac_CSpermine-CControl","up"
"802","KEGG_INSULIN_SIGNALING_PATHWAY",0.31463,0.26129,28,0.68537,1,9,"proteomics_spermin_frac_CSpermine-CControl","up"
"872","KEGG_ALZHEIMERS_DISEASE",0.33578,0.26129,55,0.66422,1,22,"proteomics_spermin_frac_CSpermine-CControl","up"
"882","KEGG_PARKINSONS_DISEASE",0.33555,0.26129,48,0.66445,1,17,"proteomics_spermin_frac_CSpermine-CControl","up"
"902","KEGG_HUNTINGTONS_DISEASE",0.34577,0.28327,54,0.65423,1,22,"proteomics_spermin_frac_CSpermine-CControl","up"
"1072","KEGG_VIRAL_MYOCARDITIS",0.30464,0.26129,22,0.69536,1,5,"proteomics_spermin_frac_CSpermine-CControl","up"
