Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathogenic Escherichia coli infection	7/197	2.1917757208438646E-4	0.0029725958213944912	0	0	6.252676950998185	52.682732027020904	SLC9A3R1;CXCL8;SRC;CASP3;IL1B;NCK2;MYH9
Prion disease	8/273	2.8939173755212415E-4	0.003694000414635938	0	0	5.148351107465135	41.947371136374585	CASP3;IL1B;CCL5;PPIF;COX5B;SDHB;COX6B1;HSPA1A
Legionellosis	4/57	4.182659363887279E-4	0.0047284960879421314	0	0	12.572697003329633	97.807952520776	CXCL8;CASP3;IL1B;HSPA1A
Toll-like receptor signaling pathway	5/104	4.5873075433289673E-4	0.0047284960879421314	0	0	8.465160075329567	65.07208430869261	CD40;CXCL8;AKT2;IL1B;CCL5
Alzheimer disease	9/369	4.663282048294082E-4	0.0047284960879421314	0	0	4.280043859649123	32.830593752345436	APP;AKT2;CASP3;IL1B;PPIF;COX5B;SDHB;COX6B1;SNCA
MAPK signaling pathway	8/294	4.7405217339350266E-4	0.0047284960879421314	0	0	4.765217391304348	36.47389441902687	PPM1A;TGFB1;DUSP3;AKT2;CASP3;IL1B;HSPB1;HSPA1A
Human cytomegalovirus infection	7/225	4.890855397407507E-4	0.0047284960879421314	0	0	5.441830117051566	41.48292490121038	PDIA3;CXCL8;SRC;AKT2;CASP3;IL1B;CCL5
Hepatitis B	6/162	5.011770047127605E-4	0.0047284960879421314	0	0	6.482905982905983	49.26069314258191	TGFB1;CXCL8;YWHAQ;SRC;AKT2;CASP3
Insulin resistance	5/108	5.452934797997867E-4	0.004930361879856404	0	0	8.134770445943722	61.12618155934596	GYS1;PTPN1;AKT2;CD36;SLC27A4
B cell receptor signaling pathway	4/81	0.0015729834387284724	0.01365349624816314	0	0	8.643457382953182	55.791626075212854	LYN;AKT2;INPP5D;DAPP1
Proteoglycans in cancer	6/205	0.0016956711546167245	0.014152332328916509	0	0	5.070996005669373	32.351314835453785	TGFB1;SRC;AKT2;CASP3;FN1;HPSE
Colorectal cancer	4/86	0.0019609980638639066	0.015760614068832137	0	0	8.114367698298832	50.58741649082643	RALB;TGFB1;AKT2;CASP3
Regulation of actin cytoskeleton	6/218	0.0023095695085241638	0.01753421613835921	0	0	4.756894049346879	28.877648790783	FGD3;SRC;FN1;MYH9;ITGA6;IQGAP2
Cytokine-cytokine receptor interaction	7/295	0.0023432823410710468	0.01753421613835921	0	0	4.104495929118774	24.857659010509675	CD40;TGFB1;CXCL8;IL1B;CCL5;PPBP;PF4
Small cell lung cancer	4/92	0.002508454563580921	0.018144488009901996	0	0	7.5588235294117645	45.26290369962313	AKT2;CASP3;FN1;ITGA6
Rheumatoid arthritis	4/93	0.002608900359634668	0.018262302517442677	0	0	7.473515248796148	44.45864529544035	CXCL8;TGFB1;IL1B;CCL5
Huntington disease	7/306	0.0028727368519927132	0.019480746777575587	0	0	3.951274362818591	23.124794077498493	DCTN2;DCTN1;CASP3;PPIF;COX5B;SDHB;COX6B1
Fc gamma R-mediated phagocytosis	4/97	0.0030383249057034448	0.01997928801629235	0	0	7.150627993132737	41.44825000315392	LYN;VASP;AKT2;INPP5D
Hematopoietic cell lineage	4/99	0.0032701280170687147	0.020871111167762094	0	0	6.99938080495356	40.05693941369951	IL1B;ITGA6;CD36;GP5
Viral protein interaction with cytokine and cytokine receptor	4/100	0.0033904273994707266	0.021020649876718506	0	0	6.9261204481792715	39.38745684021152	CXCL8;CCL5;PPBP;PF4
cGMP-PKG signaling pathway	5/167	0.003742442624224672	0.021903390798784443	0	0	5.156675036618539	28.815586595763474	VASP;AKT2;PPIF;PDE5A;PRKG1
C-type lectin receptor signaling pathway	4/104	0.0039017642975317504	0.021903390798784443	0	0	6.647731092436975	36.870486751639994	SRC;AKT2;IL1B;CLEC1B
NF-kappa B signaling pathway	4/104	0.0039017642975317504	0.021903390798784443	0	0	6.647731092436975	36.870486751639994	LYN;CD40;CXCL8;IL1B
Tight junction	5/169	0.003936554106693978	0.021903390798784443	0	0	5.0932720132286065	28.203736718671475	VASP;SLC9A3R1;SRC;MYH9;F11R
Influenza A	5/172	0.004241095653911815	0.022749602494274088	0	0	5.001014919313914	27.320212607749188	CXCL8;AKT2;CASP3;IL1B;CCL5
Parkinson disease	6/249	0.0044385489637467235	0.022749602494274088	0	0	4.143505328690514	22.44714081588121	CASP3;PPIF;COX5B;SDHB;COX6B1;SNCA
Salmonella infection	6/249	0.0044385489637467235	0.022749602494274088	0	0	4.143505328690514	22.44714081588121	CXCL8;DCTN2;DCTN1;AKT2;CASP3;IL1B
HIF-1 signaling pathway	4/109	0.00461133506219901	0.022749602494274088	0	0	6.329571828731493	34.04827243487563	AKT2;SERPINE1;TIMP1;ENO2
Endocytosis	6/252	0.004702583103816396	0.022749602494274088	0	0	4.092349385032312	21.933533063756222	RAB10;EHD3;SRC;CHMP6;DNM1;HSPA1A
Regulation of lipolysis in adipocytes	3/55	0.004717659503420894	0.022749602494274088	0	0	9.53125	51.053592294924194	AKT2;PRKG1;MGLL
TNF signaling pathway	4/112	0.005076241261412182	0.023708591127146017	0	0	6.152816682228447	32.50646388369434	AKT2;CASP3;IL1B;CCL5
Tuberculosis	5/180	0.0051350404745431465	0.023708591127146017	0	0	4.77046004842615	25.14827945274956	TGFB1;SRC;AKT2;CASP3;IL1B
Leukocyte transendothelial migration	4/114	0.005403043596266755	0.024426259591455956	0	0	6.040336134453781	31.535343734081327	VASP;PECAM1;ESAM;F11R
VEGF signaling pathway	3/59	0.005742847243939354	0.025432609223159996	0	0	8.848660714285714	45.657320934901456	SRC;AKT2;HSPB1
Neutrophil extracellular trap formation	5/189	0.006291930919667734	0.027306980191357962	0	0	4.5350497420781135	22.985841899782788	SELP;SRC;AKT2;PPIF;MPO
AMPK signaling pathway	4/120	0.006467192731139518	0.027517271032495596	0	0	5.726166328600406	28.865679788552132	RAB10;GYS1;AKT2;CD36
Kaposi sarcoma-associated herpesvirus infection	5/193	0.006860630673971496	0.02862993954330413	0	0	4.437657771366751	22.108215345036673	LYN;CXCL8;SRC;AKT2;CASP3
Amyotrophic lateral sclerosis	7/364	0.007324515275882345	0.029989053110688092	0	0	3.299526707234618	16.222216433416314	CCS;DCTN2;DCTN1;CASP3;COX5B;SDHB;COX6B1
Focal adhesion	5/201	0.008104353872202576	0.03256749611607331	0	0	4.2547993773780695	20.4883645484815	VASP;SRC;AKT2;FN1;ITGA6
Epstein-Barr virus infection	5/202	0.008270108752943367	0.03262933817070383	0	0	4.232986320227136	20.297624958365958	PDIA3;LYN;CD40;AKT2;CASP3
Fc epsilon RI signaling pathway	3/68	0.008506640598534353	0.03296323231932062	0	0	7.62	36.32384028293845	LYN;AKT2;INPP5D
Rap1 signaling pathway	5/210	0.0096817504551155	0.03685859383789585	0	0	4.066143034311699	18.85678940010993	VASP;FYB1;RALB;SRC;AKT2
Insulin signaling pathway	4/137	0.010212756985613386	0.03816628187724123	0	0	4.989953876287357	22.874535663335056	GYS1;PTPN1;PRKAR1A;AKT2
PPAR signaling pathway	3/74	0.010714729803385609	0.03816628187724123	0	0	6.973943661971831	31.634755979815353	ACOX1;CD36;SLC27A4
Fluid shear stress and atherosclerosis	4/139	0.010728770481620806	0.03816628187724123	0	0	4.915530656707127	22.291077778613936	SRC;AKT2;IL1B;PECAM1
Measles	4/139	0.010728770481620806	0.03816628187724123	0	0	4.915530656707127	22.291077778613936	AKT2;CASP3;IL1B;HSPA1A
Pancreatic cancer	3/76	0.011517541322380961	0.039671531221534426	0	0	6.782191780821917	30.274917872950525	RALB;TGFB1;AKT2
Pertussis	3/76	0.011517541322380961	0.039671531221534426	0	0	6.782191780821917	30.274917872950525	CXCL8;CASP3;IL1B
Bacterial invasion of epithelial cells	3/77	0.01193161295527708	0.040455625176486355	0	0	6.6902027027027025	29.62798984100664	SRC;FN1;DNM1
Phospholipase D signaling pathway	4/148	0.013258629939720832	0.044263426106452626	0	0	4.606209150326797	19.913133281747964	CXCL8;RALB;AKT2;DNM1
Thermogenesis	5/232	0.014400587335137063	0.047347385632193074	0	0	3.667960875083999	15.553937788633768	COX5B;SDHB;PRKG1;MGLL;COX6B1
ErbB signaling pathway	3/85	0.015551533700619827	0.05036840019454481	0	0	6.035060975609756	25.12755582806282	SRC;AKT2;NCK2
Cellular senescence	4/156	0.01580224323840835	0.050427746804920764	0	0	4.362007961079168	18.091878927681392	TGFB1;CXCL8;AKT2;SERPINE1
Shigellosis	5/246	0.018094974804170796	0.056907384529058885	0	0	3.45242281454392	13.851538124780117	CXCL8;SRC;AKT2;IL1B;CCL5
IL-17 signaling pathway	3/94	0.020285486972663563	0.06288500961525705	0	0	5.435714285714286	21.187596624219374	CXCL8;CASP3;IL1B
NOD-like receptor signaling pathway	4/181	0.025643668087203593	0.0783757179566645	0	0	3.741157479941129	13.705575529024246	CXCL8;IL1B;CCL5;ERBIN
Bladder cancer	2/41	0.02631459094630882	0.07840195268004735	0	0	8.40771349862259	30.584165187496513	CXCL8;SRC
T cell receptor signaling pathway	3/104	0.026374850440753255	0.07840195268004735	0	0	4.895049504950495	17.79519059845827	AKT2;GRAP2;NCK2
Fat digestion and absorption	2/43	0.028749238914709544	0.08318113125989296	0	0	7.996774843781496	28.38170533317582	CD36;SLC27A4
Fatty acid degradation	2/43	0.028749238914709544	0.08318113125989296	0	0	7.996774843781496	28.38170533317582	ACOX1;ACADSB
Vasopressin-regulated water reabsorption	2/44	0.029999149174361955	0.085655465405744	0	0	7.805981896890988	27.37234885433689	DCTN2;DCTN1
Intestinal immune network for IgA production	2/48	0.03520888582669125	0.09795292595374361	0	0	7.125763564498742	23.846059864187435	CD40;TGFB1
Valine, leucine and isoleucine degradation	2/48	0.03520888582669125	0.09795292595374361	0	0	7.125763564498742	23.846059864187435	OXCT1;ACADSB
Viral carcinogenesis	4/203	0.03679498107138344	0.10106975813278742	0	0	3.3238461213631183	10.97664891321437	LYN;YWHAQ;SRC;CASP3
Osteoclast differentiation	3/127	0.043668781114461014	0.1184515687729755	0	0	3.982459677419355	12.46956640579401	TGFB1;AKT2;IL1B
Purine metabolism	3/129	0.04538485552804568	0.11983981214785548	0	0	3.9188492063492064	12.119342170631446	AK1;GMPR;PDE5A
Relaxin signaling pathway	3/129	0.04538485552804568	0.11983981214785548	0	0	3.9188492063492064	12.119342170631446	TGFB1;SRC;AKT2
Pathways in cancer	7/531	0.04583734750355763	0.11983981214785548	0	0	2.2287279547249277	6.870401763545166	TGFB1;CXCL8;RALB;AKT2;CASP3;FN1;ITGA6
Oxidative phosphorylation	3/133	0.04891625368435057	0.1263669886845723	0	0	3.7975	11.459508981997159	COX5B;SDHB;COX6B1
Estrogen signaling pathway	3/137	0.052578478243929826	0.1314364949191212	0	0	3.68339552238806	10.849251454716292	SRC;AKT2;HSPA1A
Long-term depression	2/60	0.05269573759430205	0.1314364949191212	0	0	5.648047876888002	16.6234514669055	LYN;PRKG1
Viral myocarditis	2/60	0.05269573759430205	0.1314364949191212	0	0	5.648047876888002	16.6234514669055	CD40;CASP3
Human papillomavirus infection	5/331	0.053832473968728145	0.1327459869456137	0	0	2.5412030778829156	7.42508635416797	SLC9A3R1;AKT2;CASP3;FN1;ITGA6
Apoptosis	3/142	0.057337269579969395	0.13854983167376675	0	0	3.55	10.148755753937557	AIFM1;AKT2;CASP3
Cytosolic DNA-sensing pathway	2/63	0.057463063827829536	0.13854983167376675	0	0	5.369462132502371	15.338474824896434	IL1B;CCL5
Spinocerebellar ataxia	3/143	0.05831283971902285	0.13905369471459295	0	0	3.5244642857142856	10.016291271217133	AKT2;PPIF;ATXN10
Synthesis and degradation of ketone bodies	1/10	0.059838438928516126	0.1411406657335652	0	0	18.094717668488162	50.95666168783963	OXCT1
Inflammatory bowel disease	2/65	0.06072168037422338	0.1416839208731879	0	0	5.19847828938738	14.563300252077047	TGFB1;IL1B
Acute myeloid leukemia	2/67	0.06404225331856202	0.14784222308646763	0	0	5.03801652892562	13.845538515606004	AKT2;MPO
Adipocytokine signaling pathway	2/69	0.06742280155029852	0.15148981583742768	0	0	4.8871345750585915	13.179487762114775	AKT2;CD36
Renal cell carcinoma	2/69	0.06742280155029852	0.15148981583742768	0	0	4.8871345750585915	13.179487762114775	TGFB1;AKT2
PI3K-Akt signaling pathway	5/354	0.06771664578908057	0.15148981583742768	0	0	2.370938759652275	6.383570649170321	GYS1;YWHAQ;AKT2;FN1;ITGA6
Prolactin signaling pathway	2/70	0.06913495785975873	0.15308454954660863	0	0	4.815021876519203	12.86426878263825	SRC;AKT2
Adherens junction	2/71	0.07086138251730718	0.15532242430561272	0	0	4.744999401125884	12.560154195063733	PTPN1;SRC
Hepatitis C	3/157	0.07277962579865871	0.1579317879830894	0	0	3.2017857142857142	8.389700672206134	YWHAQ;AKT2;CASP3
p53 signaling pathway	2/73	0.07435609161103306	0.15948682223089777	0	0	4.610871842626004	11.983147237820289	CASP3;SERPINE1
Necroptosis	3/159	0.07496615607166623	0.15948682223089777	0	0	3.160416666666667	8.18774998820265	AIFM1;IL1B;CHMP6
Hippo signaling pathway	3/163	0.07942594415769358	0.16629569815451894	0	0	3.08078125	7.8034039031023505	TGFB1;YWHAQ;SERPINE1
Chronic myeloid leukemia	2/76	0.07969932077451598	0.16629569815451894	0	0	4.423274514183605	11.188647297193222	TGFB1;AKT2
Leishmaniasis	2/77	0.08150646158475656	0.1684466872751636	0	0	4.364077134986226	10.941059861778916	TGFB1;IL1B
Antigen processing and presentation	2/78	0.08332626075677485	0.1705830055115108	0	0	4.306437581557199	10.701460890132985	PDIA3;HSPA1A
Herpes simplex virus 1 infection	6/498	0.08716809285364695	0.17678015092748958	0	0	2.02053366687513	4.929934286631891	PDIA3;SRC;AKT2;CASP3;IL1B;CCL5
Thiamine metabolism	1/15	0.0884118727126009	0.17764237387624437	0	0	11.629391100702577	28.209983968658342	AK1
Nitrogen metabolism	1/17	0.09959855178794876	0.19774289714884014	0	0	10.17469262295082	23.469023889121114	CA2
Cardiac muscle contraction	2/87	0.10023833496024155	0.19774289714884014	0	0	3.8487117160913953	8.852824312852954	COX5B;COX6B1
Gap junction	2/88	0.1021729207174538	0.1997434576188061	0	0	3.803767057466846	8.676729671642683	SRC;PRKG1
Hypertrophic cardiomyopathy	2/90	0.10607293113703413	0.20551630407800361	0	0	3.7169421487603307	8.339436935857035	TGFB1;ITGA6
Glycosaminoglycan degradation	1/19	0.11064905538398992	0.21248535414447622	0	0	9.043260473588342	19.907758995082986	HPSE
Transcriptional misregulation in cancer	3/192	0.1149775491249636	0.21886077333436052	0	0	2.6042328042328045	5.633003459579647	CD40;CXCL8;MPO
One carbon pool by folate	1/20	0.11612375588274423	0.21912047849178695	0	0	8.566867989646246	18.445313149795798	SHMT1
Dilated cardiomyopathy	2/96	0.11800568467727161	0.2207520135773098	0	0	3.4786354844381924	7.433922231520696	TGFB1;ITGA6
Inflammatory mediator regulation of TRP channels	2/98	0.1220558057355056	0.22637700721884374	0	0	3.40581955922865	7.163381654810879	SRC;IL1B
Longevity regulating pathway	2/102	0.13025610587298203	0.23752584012132016	0	0	3.2689256198347105	6.662896540498879	AKT2;HSPA1A
Pancreatic secretion	2/102	0.13025610587298203	0.23752584012132016	0	0	3.2689256198347105	6.662896540498879	CA2;RAB27B
Proximal tubule bicarbonate reclamation	1/23	0.13234809252711072	0.23932946731985855	0	0	7.397540983606557	14.96019332690465	CA2
Glucagon signaling pathway	2/107	0.14067970453881926	0.2502253761059326	0	0	3.112475403384494	6.104403301056328	GYS1;AKT2
Th17 cell differentiation	2/107	0.14067970453881926	0.2502253761059326	0	0	3.112475403384494	6.104403301056328	TGFB1;IL1B
Human immunodeficiency virus 1 infection	3/212	0.1423967141976074	0.25024974700740243	0	0	2.3526315789473684	4.5856044450646944	PDIA3;AKT2;CASP3
alpha-Linolenic acid metabolism	1/25	0.1429998554328014	0.25024974700740243	0	0	6.780396174863388	13.187271577756201	ACOX1
Human T-cell leukemia virus 1 infection	3/219	0.1524695223954316	0.26026759953965606	0	0	2.2755787037037036	4.279886935480532	CD40;TGFB1;AKT2
Serotonergic synapse	2/113	0.15341456028605654	0.26026759953965606	0	0	2.943340034249125	5.517619010195314	APP;CASP3
Biosynthesis of unsaturated fatty acids	1/27	0.15352190203260818	0.26026759953965606	0	0	6.258196721311475	11.72731017149796	ACOX1
Collecting duct acid secretion	1/27	0.15352190203260818	0.26026759953965606	0	0	6.258196721311475	11.72731017149796	CA2
Butanoate metabolism	1/28	0.15873477206576014	0.2670189576610074	0	0	6.026108075288403	11.091175868439628	OXCT1
Citrate cycle (TCA cycle)	1/30	0.1690651760608406	0.27793290306971524	0	0	5.609949123798756	9.971521773790307	SDHB
Glyoxylate and dicarboxylate metabolism	1/30	0.1690651760608406	0.27793290306971524	0	0	5.609949123798756	9.971521773790307	SHMT1
beta-Alanine metabolism	1/30	0.1690651760608406	0.27793290306971524	0	0	5.609949123798756	9.971521773790307	ACOX1
Thyroid hormone signaling pathway	2/121	0.17072310742058616	0.2781295557174605	0	0	2.744357247031044	4.851234033013612	SRC;AKT2
Coronavirus disease	3/232	0.17174820491308623	0.2781295557174605	0	0	2.1449781659388645	3.7788633746796587	SELP;CXCL8;IL1B
Asthma	1/31	0.17418309472116977	0.27998319669995436	0	0	5.422677595628415	9.476933088951569	CD40
Cell cycle	2/124	0.1772968305017404	0.28289273690351224	0	0	2.676466603441268	4.630099717481272	TGFB1;YWHAQ
SNARE interactions in vesicular transport	1/33	0.1843253183571853	0.2919605407555417	0	0	5.083247950819672	8.596041940752215	VAMP8
Pentose and glucuronate interconversions	1/34	0.1893500011715691	0.2956039586635288	0	0	4.9289617486338795	8.202571709503856	DCXR
Propanoate metabolism	1/34	0.1893500011715691	0.2956039586635288	0	0	4.9289617486338795	8.202571709503856	ACOX1
FoxO signaling pathway	2/131	0.19278247856041378	0.29881284176864137	0	0	2.5303350631046193	4.165419311285365	TGFB1;AKT2
Nicotinate and nicotinamide metabolism	1/35	0.19434398126336658	0.2990967654904294	0	0	4.7837512054001925	7.836385269146254	NAPRT
Vascular smooth muscle contraction	2/133	0.1972400109776671	0.3014160731137589	0	0	2.4914516434294365	4.044458067384525	MYH9;PRKG1
Starch and sucrose metabolism	1/36	0.1993074447067255	0.3024455629465695	0	0	4.646838407494145	7.49491679284204	GYS1
African trypanosomiasis	1/37	0.2042405764894552	0.30646437890036754	0	0	4.517531876138434	7.175903701327498	IL1B
Apelin signaling pathway	2/137	0.20619262359195237	0.30646437890036754	0	0	2.417141108050199	3.8165316126297975	AKT2;SERPINE1
Autophagy	2/137	0.20619262359195237	0.30646437890036754	0	0	2.417141108050199	3.8165316126297975	VAMP8;AKT2
Allograft rejection	1/38	0.20914356040551665	0.3066496797837643	0	0	4.395214887018166	6.877343801328074	CD40
Primary immunodeficiency	1/38	0.20914356040551665	0.3066496797837643	0	0	4.395214887018166	6.877343801328074	CD40
Glycine, serine and threonine metabolism	1/40	0.21885981460550433	0.31874214610331836	0	0	4.169398907103825	6.334667283464681	SHMT1
Graft-versus-host disease	1/42	0.22845765608626076	0.3305020758047906	0	0	3.9656137544982006	5.854849589310862	IL1B
Porphyrin and chlorophyll metabolism	1/43	0.23321262000086826	0.3308659060729521	0	0	3.870999219359875	5.635418893350087	UROD
Type I diabetes mellitus	1/43	0.23321262000086826	0.3308659060729521	0	0	3.870999219359875	5.635418893350087	IL1B
Gastric cancer	2/149	0.23328333469659754	0.3308659060729521	0	0	2.2184741665261147	3.228992555712243	TGFB1;AKT2
Phagosome	2/152	0.24009485452694407	0.3383154768334212	0	0	2.1737741046831958	3.101369613349108	CD36;MPO
Carbohydrate digestion and absorption	1/47	0.25194355538354396	0.3527209775369615	0	0	3.5336778332145404	4.871352294783391	AKT2
Cholesterol metabolism	1/50	0.26569326637698776	0.36958614617824576	0	0	3.3168283706925394	4.396166676729281	CD36
Hepatocellular carcinoma	2/168	0.27652848693410603	0.38103598651471776	0	0	1.962660559593747	2.5228852089686997	TGFB1;AKT2
Autoimmune thyroid disease	1/53	0.27919226661677476	0.38103598651471776	0	0	3.125	3.9870456463797304	CD40
Endocrine and other factor-regulated calcium reabsorption	1/53	0.27919226661677476	0.38103598651471776	0	0	3.125	3.9870456463797304	DNM1
Protein processing in endoplasmic reticulum	2/171	0.28336070923953	0.38430796190611255	0	0	1.9275270184361093	2.430678266514653	PDIA3;HSPA1A
Glutathione metabolism	1/57	0.29680876491456964	0.4000465961892026	0	0	2.9012002341920375	3.5239928717002225	PRDX6
Endometrial cancer	1/58	0.3011457446474932	0.4033865838796668	0	0	2.8501581823410986	3.420648494578307	AKT2
Axon guidance	2/182	0.30835175503192774	0.4105050971897443	0	0	1.8087235996326905	2.1279887924188676	SRC;NCK2
Glycerolipid metabolism	1/61	0.3139981317378238	0.4154731377262669	0	0	2.70724043715847	3.1359813484916406	MGLL
GnRH secretion	1/64	0.32661604120806004	0.4295495814675699	0	0	2.5779339058027584	2.884630661043864	AKT2
Aminoacyl-tRNA biosynthesis	1/66	0.3348998141439362	0.43779072089900095	0	0	2.498360655737705	2.7330163175613547	TARS1
Glycolysis / Gluconeogenesis	1/67	0.3390037164029017	0.4405018350864052	0	0	2.460382513661202	2.6615045356383464	ENO2
Mitophagy	1/68	0.3430825006999872	0.44314823007081683	0	0	2.4235380474675803	2.5926630358302263	SRC
Central carbon metabolism in cancer	1/70	0.35116532442640724	0.44825220823841394	0	0	2.3530529817058685	2.462465607842521	AKT2
RIG-I-like receptor signaling pathway	1/70	0.35116532442640724	0.44825220823841394	0	0	2.3530529817058685	2.462465607842521	CXCL8
Melanoma	1/72	0.3591494942509342	0.4531130247235623	0	0	2.2865389055645347	2.3414537012857264	AKT2
Non-small cell lung cancer	1/72	0.3591494942509342	0.4531130247235623	0	0	2.2865389055645347	2.3414537012857264	AKT2
Inositol phosphate metabolism	1/73	0.3631049577034895	0.455455351570273	0	0	2.2546675774134792	2.2841210819660067	INPP5D
Glioma	1/75	0.37094338153819034	0.4626132976654443	0	0	2.1935090828533452	2.1753157641149974	AKT2
Gastric acid secretion	1/76	0.37482663511099784	0.46478502753763734	0	0	2.164153005464481	2.123665308814808	CA2
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.3786861104838571	0.46690276122157376	0	0	2.1355694564279553	2.0737396413803584	ITGA6
Synaptic vesicle cycle	1/78	0.3825219520904686	0.46834940689546034	0	0	2.107728337236534	2.025462090511812	DNM1
cAMP signaling pathway	2/216	0.3841770399431309	0.46834940689546034	0	0	1.51873020777014	1.4528959734956464	ACOX1;AKT2
RNA degradation	1/79	0.38633430338381286	0.46834940689546034	0	0	2.080601092896175	1.97876027459684	ENO2
Peroxisome	1/82	0.3976318382699219	0.47936727169207244	0	0	2.003238210888484	1.8474438336673769	ACOX1
Complement and coagulation cascades	1/85	0.40872304608266763	0.4900160276239717	0	0	1.9314012490241999	1.7280584994387633	SERPINE1
Ras signaling pathway	2/232	0.41867642831219576	0.4990962503169576	0	0	1.4119295724038807	1.2293062313917287	RALB;AKT2
GABAergic synapse	1/89	0.42319682054525437	0.4990962503169576	0	0	1.8432377049180328	1.5850331173449212	SRC
PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	0.42319682054525437	0.4990962503169576	0	0	1.8432377049180328	1.5850331173449212	AKT2
Bile secretion	1/90	0.4267600093280606	0.500577956887509	0	0	1.822435070915454	1.551864446666652	CA2
Chemical carcinogenesis	2/239	0.4334670647860724	0.5047779012161302	0	0	1.3697388150782857	1.1450187264673903	SRC;AKT2
GnRH signaling pathway	1/93	0.4373191033577533	0.5047779012161302	0	0	1.7627405559515323	1.4579488529217068	SRC
Salivary secretion	1/93	0.4373191033577533	0.5047779012161302	0	0	1.7627405559515323	1.4579488529217068	PRKG1
TGF-beta signaling pathway	1/94	0.4407957502910964	0.5060988244082959	0	0	1.7436982196368764	1.4283916561603158	TGFB1
Staphylococcus aureus infection	1/95	0.44425108950068665	0.5071934952647175	0	0	1.7250610394140216	1.3996547704051399	SELP
Circadian entrainment	1/97	0.45109836214788235	0.5071934952647175	0	0	1.6889515027322404	1.34452339539731	PRKG1
Phosphatidylinositol signaling system	1/97	0.45109836214788235	0.5071934952647175	0	0	1.6889515027322404	1.34452339539731	INPP5D
Prostate cancer	1/97	0.45109836214788235	0.5071934952647175	0	0	1.6889515027322404	1.34452339539731	AKT2
Choline metabolism in cancer	1/98	0.45449055224962365	0.5083734527740635	0	0	1.6714551292884907	1.3180729981923063	AKT2
Progesterone-mediated oocyte maturation	1/100	0.46121267619037526	0.5132469268374945	0	0	1.6375227686703095	1.2672723299658177	AKT2
Parathyroid hormone synthesis, secretion and action	1/106	0.4808900045253815	0.5324139335816724	0	0	1.5434816549570647	1.1300087201991638	SLC9A3R1
