Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of actin cytoskeleton	65/218	2.2946318554287045E-27	6.299807457631533E-26	0	0	6.70333782367909	411.17754763284034	ITGB1;CYFIP1;NCKAP1;ITGAM;ITGB5;ARPC1B;ITGB3;ITGA2B;ITGB2;ARPC5L;BRK1;CRKL;MYLK;TMSB4X;CFL1;RAC2;PIP4K2A;ITGAV;RAC1;ACTR3;ACTR2;MAP2K2;PPP1R12A;ACTN1;ITGA2;ACTN4;F2;RHOA;MYH9;ITGA6;EZR;PFN1;MYL9;VCL;ROCK1;ROCK2;SRC;IQGAP1;IQGAP2;MYL12A;KNG1;FGD3;CDC42;GNA13;SCIN;MYH14;MAPK1;NCKAP1L;MYH11;PAK2;MYH10;WASF2;MAPK3;GSN;EGF;FN1;MSN;ARPC4;ARPC5;PTK2;PPP1CA;DIAPH1;ARPC2;ARPC3;KRAS
Salmonella infection	68/249	4.4547313933299296E-26	1.121107400654699E-24	0	0	5.93405870635547	346.39026657974006	CYFIP1;NCKAP1;HSP90AB1;ARPC1B;CSE1L;FHOD1;ARPC5L;BRK1;TUBA1C;ACTR1A;TUBA1A;KIF5B;CASP3;TUBB1;CASP1;RAC1;KPNA3;ACTR3;ACTR2;HSP90AA1;MAP2K2;ANXA2;TUBB;RHOG;RHOA;TUBA4A;DNM2;TUBB2B;ELMO1;PFN1;MYL9;GAPDH;RAB7A;ARL8B;DYNC1I2;RAB5B;RAB5C;AHNAK;DCTN2;DCTN1;ROCK2;TXN;MYL12A;HSP90B1;CDC42;CYTH2;RPS3;FLNA;MAPK1;NCKAP1L;FLNB;CD14;MAPK3;DYNC1H1;M6PR;ARPC4;ARPC5;TUBB4B;MAPK14;TUBB4A;NFKB1;PTPRC;ARPC2;ARPC3;ABI1;BAX;RAB5A;TUBA8
Phagosome	52/152	2.815982659480544E-25	6.541744332024033E-24	0	0	8.138523489932886	460.0651664974273	ITGB1;ITGAM;ITGB5;NCF2;ITGB3;NCF4;ITGB2;MPO;TUBA1C;FCGR3A;TUBA1A;TUBB1;ITGAV;CD36;RAC1;ATP6V1E1;ITGA2;TUBB;STX7;HLA-B;TAP2;CYBB;HLA-C;CYBA;HLA-A;TUBA4A;HLA-E;TUBB2B;HGS;CANX;ATP6V1B2;SEC22B;RAB7A;ATP6V1A;DYNC1I2;RAB5B;RAB5C;CORO1A;THBS1;C3;ATP6V1H;CD14;ATP6V1C1;ATP6V0A1;DYNC1H1;M6PR;TUBB4B;TUBB4A;FCGR2A;CALR;RAB5A;TUBA8
Coronavirus disease	62/232	2.4768398027488167E-23	5.342897288786734E-22	0	0	5.7347068776749275	298.50567872292737	RPL4;RPL3;RPLP1;RPLP0;F13A1;RPL10A;RPL6;RPL7;C4B;RPS4X;RPS14;RPL7A;RPS17;RPS19;RPS18;CASP1;RPL35;RPS11;RPS10;RPS13;RPS12;FGB;FGA;RPL21;SYK;RPS7;VWF;PRKCB;RPS8;RPS5;RPS6;FGG;CYBB;PRKCA;RPSA;F2;RPL28;UBA52;CFB;C1QA;RPL10;RPL12;RPL11;C3;PLCG2;RPL14;RPS3;RPL13;MAPK1;RPS2;RPL17;MAPK3;STAT2;RPL35A;MAPK14;NFKB1;SELP;RPS25;FCGR2A;STING1;RPS20;RPS23
Endocytosis	61/252	1.3963128548745354E-20	2.8112432144807314E-19	0	0	5.011949387704522	229.13563437795358	ARF3;WIPF1;ARPC1B;CLTC;ARPC5L;CLTB;SNX12;CLTA;AP2A1;ARRB1;CAPZB;KIF5B;VPS35;RAB8A;SH3GL1;SH3GLB1;ACTR3;ACTR2;PDCD6IP;IST1;HLA-B;HLA-C;HLA-A;EPS15L1;ARAP1;RHOA;HLA-E;DNM2;HGS;CHMP4B;RAB7A;RAB5B;RAB5C;TSG101;SRC;VPS4B;ASAP1;ASAP2;SNX3;CDC42;CYTH2;SNX1;SNX2;GRK2;SNX5;SNX6;HSPA8;ARPC4;ARPC5;RAB11B;EHD1;RAB10;EHD3;EHD4;ARPC2;ARPC3;CAPZA1;CAPZA2;CHMP2A;RAB5A;HSPA1A
Thermogenesis	57/232	1.2084647969675612E-19	2.280977304276272E-18	0	0	5.098649656998435	222.09598585081233	NDUFA13;COX4I1;COX7C;NDUFC2-KCTD14;PRKACA;PRKG1;CPT1A;ACSL1;RPS6;ACSL5;SDHA;CPT1B;SDHB;COX6B1;NDUFS8;NDUFS6;UQCRC1;NDUFS3;NDUFS1;UQCRC2;MGLL;NDUFB9;PRKAA1;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB1;COX5B;COX5A;ADCY6;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;COX2;CYC1;NDUFV2;NDUFV1;ATP5ME;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA5;ATP5PB;NDUFA2;ATP5F1C;COX6C;MAPK14;ATP5F1D;RHEB;UQCRQ;NDUFAB1;ATP5PO;GRB2;KRAS
Shigellosis	58/246	4.823178410181826E-19	8.568234587499479E-18	0	0	4.8300383911592695	203.71017113018385	ITGB1;ARPC1B;ARPC5L;ILK;CRKL;HK1;HK3;CAPNS1;CASP1;RAC1;CAPN1;H3-3A;ACTR3;ACTR2;ACTN1;PRKCD;ACTN4;RHOA;CTTN;ELMO1;HCLS1;VDAC1;TLN2;ARHGEF2;PFN1;TLN1;MYL9;UBA52;CD44;VCL;ROCK1;ROCK2;SRC;MYL12A;C3;CDC42;CYTH2;CCL5;PLCG2;MAPK1;CD14;WASF2;MAPK3;SEPTIN2;SEPTIN6;ARPC4;ARPC5;SEPTIN9;MAPK14;PTK2;SEPTIN7;NFKB1;DIAPH1;STING1;ARPC2;ARPC3;UBE2N;BAX
Neutrophil extracellular trap formation	48/189	2.2449862866367493E-17	3.7665881031349905E-16	0	0	5.298512773073365	203.1197967792378	H2AX;H2AW;ITGAM;NCF2;HDAC1;SRC;ITGB3;ITGA2B;NCF4;ITGB2;HMGB1;MPO;MACROH2A1;C3;FCGR3A;PLCG2;CASP1;RAC2;MAPK1;RAC1;ELANE;H3-3A;MAPK3;FGB;FGA;H2AZ2;MAP2K2;H4C9;SYK;VWF;PRKCB;FGG;CYBB;CYBA;PRKCA;GP1BA;MAPK14;NFKB1;SELP;H2BC12;H2BC13;FCGR2A;H2AC20;PPIF;VDAC3;VDAC2;VDAC1;SLC25A5
Non-alcoholic fatty liver disease	43/155	3.066547368153225E-17	4.787203073502151E-16	0	0	5.960003568454859	226.61956564099427	NDUFB9;NDUFA13;PRKAA1;NDUFB10;UQCRB;NDUFB11;COX4I1;NDUFB4;NDUFB1;COX5B;NDUFC2-KCTD14;COX7C;COX5A;UQCRH;CDC42;CASP3;COX2;CYC1;RAC1;NDUFV2;BID;NDUFV1;NDUFA8;NDUFA7;TGFB1;NDUFA5;NDUFA2;SDHA;COX6C;MAPK14;SDHB;EIF2S1;NFKB1;COX6B1;NDUFS8;UQCRQ;NDUFS6;NDUFAB1;UQCRC1;NDUFS3;BAX;NDUFS1;UQCRC2
Tight junction	45/169	3.1703331612597025E-17	4.787203073502151E-16	0	0	5.639376900104926	214.24054820444084	ITGB1;PRKAA1;ROCK1;ROCK2;SRC;ARPC1B;ARPC5L;WAS;F11R;MYL12A;CDC42;SLC9A3R1;TUBA1C;PPP2CB;TUBA1A;PPP2R1A;MYH14;MYH11;RAC1;PRKACA;MYH10;RAB8A;RAB8B;VASP;ACTR3;ACTR2;ACTN1;MSN;ARPC4;ACTN4;ARPC5;TUBA4A;RHOA;MYL6;ARPC2;CTTN;ARPC3;RAB13;HCLS1;MYH9;ARHGEF2;EZR;MYL9;TUBA8;TJP2
Bacterial invasion of epithelial cells	30/77	5.73298373643491E-17	8.244576611444489E-16	0	0	9.836832696554383	367.87502106667836	ITGB1;SRC;ARPC1B;CLTC;ARPC5L;CLTB;CLTA;ILK;CRKL;CDC42;RAC1;WASF2;ACTR3;ACTR2;SEPTIN2;RHOG;FN1;SEPTIN6;ARPC4;ARPC5;SEPTIN9;RHOA;PTK2;DNM2;CTTN;ARPC2;ARPC3;ELMO1;HCLS1;VCL
Fc gamma R-mediated phagocytosis	33/97	1.8862029481370711E-16	2.589242228806343E-15	0	0	7.9587634186622624	288.1613211382639	ARPC1B;ARPC5L;INPPL1;WAS;ASAP1;ASAP2;CRKL;CDC42;FCGR3A;SCIN;CFL1;PLCG2;RAC2;MAPK1;RAC1;WASF2;MAPK3;LYN;VASP;ACTR3;ACTR2;GSN;SYK;PRKCB;PRKCD;PRKCA;ARPC4;ARPC5;DNM2;PTPRC;FCGR2A;ARPC2;ARPC3
Protein processing in endoplasmic reticulum	44/171	2.870095111336148E-16	3.7684679939449875E-15	0	0	5.378451443569554	192.4787295811333	ERO1A;VCP;HSP90AB1;RPN2;SAR1A;PRKCSH;RPN1;HSP90B1;LMAN1;GANAB;HSPH1;LMAN2;UBQLN1;SSR1;CAPN1;UGGT1;SEC31A;TXNDC5;PDIA3;BCAP31;HSPA8;HSP90AA1;HSPA5;SSR4;SSR3;YOD1;PDIA6;EIF2S1;CKAP4;DDOST;PDIA4;DNAJA1;NSFL1C;NPLOC4;DNAJB11;CANX;ERP29;STT3A;BAX;HYOU1;CALR;P4HB;SEC24C;HSPA1A
Citrate cycle (TCA cycle)	19/30	2.994809001810586E-16	3.7684679939449875E-15	0	0	26.430797773654916	944.7551496472375	FH;MDH1;MDH2;IDH1;IDH2;DLST;PDHB;SDHA;SDHB;CS;ACLY;SUCLA2;OGDH;ACO1;DLAT;ACO2;DLD;IDH3A;PCK2
Focal adhesion	46/201	7.384120856321321E-15	8.920017994436156E-14	0	0	4.607927190478755	149.9393912152581	ITGB1;ITGB5;ROCK1;ROCK2;SRC;ITGB3;ITGA2B;ILK;THBS1;MYL12A;CRKL;MYLK;RAP1B;CDC42;VTN;RAC2;FLNA;MAPK1;FLNB;ITGAV;FYN;RAC1;PAK2;MAPK3;VASP;PPP1R12A;VWF;PRKCB;EGF;ACTN1;ITGA2;FN1;PRKCA;ACTN4;PARVB;PTK2;RHOA;PPP1CA;DIAPH1;ZYX;GRB2;ITGA6;TLN2;TLN1;MYL9;VCL
Proteasome	21/46	6.149149974987565E-14	7.142474201716325E-13	0	0	12.86511856091578	391.35532993973965	PSMD12;PSMD11;PSMD14;PSMA7;PSMB8;PSMA5;PSMA6;PSMD6;PSMC5;PSMD7;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMD2;PSMC1;PSMD3;PSMC2;PSME1;PSME2
Glycolysis / Gluconeogenesis	25/67	7.369397193963875E-14	8.242807231767001E-13	0	0	9.138052267666705	276.3242410766816	GPI;ENO1;PDHB;ENO2;ADH5;HK1;HK3;LDHB;LDHA;ALDH2;PGK1;DLAT;ACSS1;PGM1;PCK2;TPI1;PGAM1;AKR1A1;PFKL;PKM;ALDOA;DLD;GAPDH;PFKP;ALDH9A1
Leukocyte transendothelial migration	32/114	2.435533011544512E-13	2.626896319594438E-12	0	0	6.012718345005232	174.63002798002537	ITGB1;ITGAM;ROCK1;NCF2;ROCK2;NCF4;ITGB2;F11R;MYL12A;GNAI2;RAP1B;CDC42;PLCG2;RAC2;RAC1;VASP;PRKCB;ACTN1;CYBB;MSN;CYBA;PRKCA;PTPN11;ACTN4;MAPK14;PTK2;RHOA;PECAM1;ESAM;EZR;MYL9;VCL
Ribosome	38/158	3.1122908289252993E-13	3.190987101995859E-12	0	0	4.893366500829187	140.92037790083606	RPL4;RPL3;RPL10;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS19;RPS18;RPL14;RPS3;RPL35;RPL13;RPS2;RPS11;RPS10;RPL17;RPS13;RPS12;RPL21;RPS7;RPS8;RPS5;RPS6;RPL35A;RPSA;RPS25;RPS20;RPL28;UBA52;RPS23
Proteoglycans in cancer	44/205	3.1698547370819794E-13	3.190987101995859E-12	0	0	4.234886128364389	121.87968587366863	ITGB1;DDX5;ITGB5;ROCK1;ROCK2;SRC;ITGB3;IQGAP1;THBS1;CDC42;VTN;CASP3;PLCG2;FLNA;MAPK1;FLNB;ITGAV;RAC1;PRKACA;EIF4B;MAPK3;MAP2K2;TGFB1;PPP1R12A;PRKCB;ITGA2;RPS6;FN1;MSN;PRKCA;PTPN11;MAPK14;ANK1;PTK2;RHOA;PPP1CA;CTTN;HCLS1;GRB2;KRAS;PTPN6;HPSE;EZR;CD44
Yersinia infection	35/137	3.995535857329939E-13	3.892425254560134E-12	0	0	5.294360920546879	151.14568422890832	ITGB1;ROCK1;WIPF1;ROCK2;SRC;ARPC1B;ARPC5L;WAS;CRKL;CDC42;CASP1;RAC2;MAPK1;RAC1;WASF2;MAPK3;ACTR3;ACTR2;MAP2K2;FYB1;FN1;RHOG;ARPC4;ARPC5;MAPK14;NFKB1;PTK2;RHOA;FCGR2A;ARPC2;ARPC3;GNAQ;ELMO1;LCP2;SKAP2
Viral carcinogenesis	43/203	9.469719204814518E-13	8.937047499543702E-12	0	0	4.161261448792673	115.2066327745784	YWHAE;VAC14;DDX3X;YWHAB;HDAC1;SRC;C3;CDC42;SCIN;YWHAQ;CASP3;MAPK1;RAC1;PRKACA;YWHAG;YWHAH;MAPK3;LYN;STAT5B;RANBP1;H4C9;GSN;SYK;ACTN1;HLA-B;HLA-C;ACTN4;HLA-A;YWHAZ;SND1;RHOA;NFKB1;HLA-E;DDB1;H2BC12;H2BC13;HNRNPK;PKM;PSMC1;VDAC3;BAX;GRB2;KRAS
Pyruvate metabolism	20/47	1.2551283147444936E-12	1.1486325789479911E-11	0	0	11.33442265795207	310.60606241426683	FH;MDH1;MDH2;GLO1;AKR1A1;PDHB;ACAT2;ADH5;ACAT1;LDHB;GRHPR;LDHA;PKM;ALDH2;DLAT;ME2;ACSS1;DLD;PCK2;ALDH9A1
Human cytomegalovirus infection	44/225	9.10753315317596E-12	8.089632388997471E-11	0	0	3.762891344383057	95.65991981247572	ROCK1;ROCK2;SRC;ITGB3;ADCY6;CRKL;GNAI2;GNA13;PPP3CA;CASP3;CCL5;RAC2;MAPK1;ITGAV;RAC1;PRKACA;BID;B2M;MAPK3;PDIA3;MAP2K2;PRKCB;HLA-B;TAP2;HLA-C;PRKCA;HLA-A;MAPK14;PTK2;RHOA;NFKB1;HLA-E;TAPBP;STING1;RHEB;GNAQ;GNB2;GNB1;GNB4;BAX;GRB2;KRAS;CALR;CALM1
Human immunodeficiency virus 1 infection	41/212	6.679828537820072E-11	5.763737766919033E-10	0	0	3.7041169007306296	86.78502798592558	SAMHD1;CRKL;GNAI2;PPP3CA;AP1G1;CASP3;CFL1;AP1S2;PLCG2;RAC2;MAPK1;ELOC;RAC1;BID;B2M;PAK2;MAPK3;PDIA3;MAP2K2;PRKCB;AP1B1;HLA-B;TAP2;HLA-C;PRKCA;HLA-A;MAPK14;PTK2;NFKB1;HLA-E;TAPBP;DDB1;STING1;GNAQ;GNB2;GNB1;GNB4;BAX;KRAS;CALR;CALM1
Lipid and atherosclerosis	41/215	1.0540124836706848E-10	8.84199361301519E-10	0	0	3.6396652048040816	83.61492642170948	ERO1A;CD40;HSP90AB1;NCF2;ROCK2;SRC;NCF4;HSP90B1;HSPD1;RAP1B;CDC42;PPP3CA;CASP3;CCL5;CASP1;MAPK1;CD14;CD36;RAC1;APOB;BID;MAPK3;LYN;HSPA8;HSP90AA1;HSPA5;CYBB;APOA1;PRKCA;CYBA;MAPK14;SOD2;EIF2S1;PTK2;RHOA;NFKB1;SELP;BAX;KRAS;CALM1;HSPA1A
Complement and coagulation cascades	24/85	2.060224297979225E-10	1.6815884810533132E-9	0	0	6.029024455791454	134.46554990775724	FGB;FGA;C1QA;ITGAM;SERPINA1;VWF;CFH;SERPINC1;PROS1;ITGB2;SERPINE1;FGG;F13A1;C4BPA;PLG;F2;CLU;KNG1;F5;C4B;C3;VTN;A2M;CFB
