,BIOCHEMICAL,logFC,type
RRM2,RRM2,0.337816751124624,Gene
RRM2B,RRM2B,0.539988416214275,Gene
SAMD9L,SAMD9L,0.776862494524519,Gene
SERPINF1,SERPINF1,0.067002164501859,Gene
SGSH,SGSH,0.316825840184346,Gene
SMAD2,SMAD2,0.291390912382788,Gene
SMAD3,SMAD3,0.52298347467111,Gene
SMARCA2,SMARCA2,0.430525497172351,Gene
SNX5,SNX5,0.179766761844971,Gene
SORT1,SORT1,0.23457494521432,Gene
SPARC,SPARC,1.0261393437977,Gene
SPINT2,SPINT2,0.28853781428198,Gene
SV2A,SV2A,0.299856419283897,Gene
SYT1,SYT1,0.167115271234779,Gene
TACC3,TACC3,1.47305651542482,Gene
TADA3,TADA3,0.327956819516918,Gene
TCOF1,TCOF1,0.151212487075436,Gene
TGFB1,TGFB1,0.232576084014462,Gene
TGM2,TGM2,0.39200545935508,Gene
TIMP3,TIMP3,0.749075177254415,Gene
TNFSF13,TNFSF13,0.151432154361432,Gene
TSC22D1,TSC22D1,0.423181770593941,Gene
TXN,TXN,0.416165486956892,Gene
