"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"194","MAR01329",3730,"H+[c] + NADPH[c] + prostaglandin D2[c] <=> NADP+[c] + prostaglandin F2alpha[c]","ENSG00000196139","Prostaglandin biosynthesis",1000
"195","MAR01330",3731,"prostaglandin H2[c] => prostaglandin D2[c]","ENSG00000107317 or ENSG00000163106","Prostaglandin biosynthesis",1000
"223","MAR01495",3011,"4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + NADP+[c] => 3-keto-4-methylzymosterol[c] + CO2[c] + H+[c] + NADPH[c]","ENSG00000147383 or ENSG00000183305 or ENSG00000268606","Cholesterol biosynthesis 1 (Bloch pathway)",2.71914356386206
"239","MAR01594",8540,"ATP[c] + H2O[c] + PE-LD pool[e] => ADP[c] + H+[c] + PE-LD pool[c] + Pi[c]","ENSG00000005471 or ENSG00000124406 or ENSG00000206190","Transport reactions",4.07075912525526
"242","MAR01614",4077,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[m] + NADPH[m] + O2[m] => 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[m] + H2O[m] + NADP+[m]","ENSG00000135929","Bile acid biosynthesis",507.4541156539
"262","MAR01972",8656,"GM2[e] <=> ",NA,"Exchange/demand reactions",0.00399548192945076
"270","MAR02121",8669,"L-carnitine[x] + palmitoyl-CoA[x] <=> CoA[x] + L-palmitoylcarnitine[x]","ENSG00000110090 and ENSG00000157184","Fatty acid oxidation",-250
"287","MAR02149",8679,"lauroyl-CoA[m] + NADP+[m] <=> (2E)-dodecenoyl-CoA[m] + H+[m] + NADPH[m]","ENSG00000115425 or ENSG00000116353","Fatty acid oxidation",-165.189425840585
"291","MAR02188",8685,"H2O[m] + NAD+[m] + 3,4-dihydroxymandelaldehyde[m] <=> 2 H+[m] + NADH[m] + 3,4-dihydroxymandelate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",-1000
"292","MAR02189",8686,"H2O[m] + NADP+[m] + 3,4-dihydroxymandelaldehyde[m] => 2 H+[m] + NADPH[m] + 3,4-dihydroxymandelate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",1000
"293","MAR02190",1613,"H+[c] + malonyl-CoA[c] + palmitoyl-CoA[c] => 3-oxooctadecanoyl-CoA[c] + CO2[c] + CoA[c]","ENSG00000012660 or ENSG00000066322 or ENSG00000118402 or ENSG00000119915 or ENSG00000164181 or ENSG00000170522 or ENSG00000197977","Fatty acid elongation (even-chain)",4.05366230366424
"294","MAR02191",1614,"3-oxooctadecanoyl-CoA[c] + H+[c] + NADPH[c] => 3-hydroxyoctadecanoyl-CoA[c] + NADP+[c]","ENSG00000149084","Fatty acid elongation (even-chain)",4.05366230366424
"295","MAR02192",8687,"H2O[m] + NAD+[m] + 3-methoxy-4-hydroxyphenylacetaldehyde[m] <=> 2 H+[m] + NADH[m] + homovanillate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",-343.967357141466
"296","MAR02193",1615,"3-hydroxyoctadecanoyl-CoA[c] => (2E)-octadecenoyl-CoA[c] + H2O[c]","ENSG00000074696 or ENSG00000146066 or ENSG00000165996 or ENSG00000188921 or ENSG00000206527","Fatty acid elongation (even-chain)",4.05366230366424
"297","MAR02194",1616,"(2E)-octadecenoyl-CoA[c] + H+[c] + NADPH[c] => NADP+[c] + stearoyl-CoA[c]","ENSG00000099797 or ENSG00000205678","Fatty acid elongation (even-chain)",4.03218067806831
"298","MAR02195",8688,"H2O[m] + NADP+[m] + 3-methoxy-4-hydroxyphenylacetaldehyde[m] => 2 H+[m] + NADPH[m] + homovanillate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",343.967357141466
"299","MAR02196",8689,"H2O[m] + NAD+[m] + 3-methoxy-4-hydroxyphenylglycolaldehyde[m] <=> 2 H+[m] + NADH[m] + vanillylmandelate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",-1000
"300","MAR02197",8690,"H2O[m] + NADP+[m] + 3-methoxy-4-hydroxyphenylglycolaldehyde[m] => 2 H+[m] + NADPH[m] + vanillylmandelate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Miscellaneous",1000
"304","MAR02278",8711,"L-carnitine[c] + L-palmitoylcarnitine[x] <=> L-carnitine[x] + L-palmitoylcarnitine[c]",NA,"Transport reactions",-250
"309","MAR02288",1657,"H+[c] + heptadecanoyl-CoA[c] + NADPH[c] + O2[c] => (10Z)-heptadecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (odd-chain)",0.0107408127979642
"310","MAR02289",1658,"H+[c] + heptadecanoyl-CoA[c] + NADPH[c] + O2[c] => 9-heptadecenoyl-CoA[c] + 2 H2O[c] + NADP+[c]","ENSG00000099194 or ENSG00000145284","Fatty acid desaturation (odd-chain)",0.0107408127979642
"312","MAR02299",8720,"tyrosine[c] => tyrosine[m]",NA,"Transport reactions",0.0039954819294824
"316","MAR02357",8750,"dGDP[m] + H2O[m] + oxidized thioredoxin[m] => GDP[m] + thioredoxin[m]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Miscellaneous",332.607611302983
"321","MAR02418",8781,"cis-aconitate[m] + succinate[c] <=> cis-aconitate[c] + succinate[m]","ENSG00000100075","Transport reactions",-1000
"336","MAR02620",2221,"5-tetradecenoyl-CoA[c] + L-carnitine[c] <=> CoA[c] + tetradecenoylcarnitine(9)[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",165.189425840585
"337","MAR02621",2289,"L-carnitine[c] + tetradecenoylcarnitine(9)[m] <=> L-carnitine[m] + tetradecenoylcarnitine(9)[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",-165.189425840585
"338","MAR02622",2290,"5-tetradecenoyl-CoA[m] + L-carnitine[m] <=> CoA[m] + tetradecenoylcarnitine(9)[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",-165.189425840585
"386","MAR03007",7069,"H+[c] + L-lactate[c] <=> H+[x] + L-lactate[x]","ENSG00000155380","Transport reactions",-1000
"388","MAR03030",2384,"CoA[x] + O-acetylcarnitine[x] <=> acetyl-CoA[x] + L-carnitine[x]","ENSG00000095321","Carnitine shuttle (peroxisomal)",-1000
"390","MAR03033",2385,"L-carnitine[c] + L-octanoylcarnitine[x] <=> L-carnitine[x] + L-octanoylcarnitine[c]","ENSG00000178537 or ENSG00000197119","Carnitine shuttle (peroxisomal)",250
"391","MAR03034",2386,"CoA[x] + L-octanoylcarnitine[x] <=> L-carnitine[x] + octanoyl-CoA[x]","ENSG00000005469","Carnitine shuttle (peroxisomal)",-250
"397","MAR03137",2696,"(S)-3-hydroxydodecanoyl-CoA[m] + NAD+[m] => 3-oxododecanoyl-CoA[m] + H+[m] + NADH[m]","ENSG00000072506 and ENSG00000084754 and ENSG00000138796","Beta oxidation of even-chain fatty acids (mitochondrial)",165.178685027787
"398","MAR03139",2697,"3-oxododecanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + decanoyl-CoA[m]","ENSG00000084754 and ENSG00000138029 and ENSG00000167315","Beta oxidation of even-chain fatty acids (mitochondrial)",165.178685027787
"401","MAR03234",2812,"5-tetradecenoyl-CoA[m] + FAD[m] => FADH2[m] + trans,cis-myristo-2,5-dienoyl-CoA[m]","ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646","Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",165.189425840585
"402","MAR03235",2813,"H2O[m] + trans,cis-myristo-2,5-dienoyl-CoA[m] => cis-(3S)-hydroxytetradec-5-enoyl-CoA[m]","ENSG00000084754 and ENSG00000113790 and ENSG00000127884","Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",165.189425840585
"403","MAR03236",2814,"cis-(3S)-hydroxytetradec-5-enoyl-CoA[m] + NAD+[m] => 3-oxomyrist-5-enoyl-CoA[m] + H+[m] + NADH[m]","ENSG00000072506 and ENSG00000084754 and ENSG00000138796","Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",165.189425840585
"404","MAR03237",2815,"3-oxomyrist-5-enoyl-CoA[m] + CoA[m] => (3Z)-dodecenoyl-CoA[m] + acetyl-CoA[m]","ENSG00000084754 and ENSG00000138029 and ENSG00000167315","Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",165.189425840585
"405","MAR03239",2816,"(2E)-dodecenoyl-CoA[m] <=> (3Z)-dodecenoyl-CoA[m]","ENSG00000104823 or ENSG00000167969 or ENSG00000198721","Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",-165.189425840585
"420","MAR03818",6770,"L-glutamate 5-semialdehyde[c] <=> L-glutamate 5-semialdehyde[m]",NA,"Transport reactions",-616.263856757432
"421","MAR03819",551,"1-pyrroline-5-carboxylate[c] + H+[c] + H2O[c] <=> L-glutamate 5-semialdehyde[c]","ENSG00000159423","Arginine and proline metabolism",-616.263856757432
"423","MAR03831",516,"aspartate[c] => fumarate[c] + H+[c] + NH3[c]","ENSG00000091483","Alanine, aspartate and glutamate metabolism",331.134712598092
"424","MAR03835",555,"1-pyrroline-5-carboxylate[c] + 2 H+[c] + NADH[c] => NAD+[c] + proline[c]","ENSG00000104524 or ENSG00000143811 or ENSG00000183010 or ENSG00000243709","Arginine and proline metabolism",616.263856757432
"431","MAR03875",977,"ATP[c] + H2O[c] + methionine[c] => Pi[c] + PPi[c] + SAM[c]","ENSG00000038274 or ENSG00000151224 or ENSG00000168906","Cysteine and methionine metabolism",0.0119864457884472
"432","MAR03877",978,"H2O[c] + SAH[c] => adenosine[c] + homocysteine[c]","ENSG00000101444 or ENSG00000158467 or ENSG00000168710","Cysteine and methionine metabolism",0.0119864457884472
"434","MAR03917",982,"5-methyl-THF[c] + homocysteine[c] => H+[c] + methionine[c] + THF[c]","ENSG00000116984","Cysteine and methionine metabolism",0.0119864457884472
"447","MAR03984",4976,"2 H2O2[x] => 2 H2O[x] + O2[x]","ENSG00000121691 or ENSG00000166016","Miscellaneous",500
"453","MAR04018",308,"ADP[m] + GTP[m] <=> ATP[m] + GDP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",-330.360119904512
"463","MAR04066",4757,"ATP[c] + pyridoxine[c] => ADP[c] + H+[c] + pyridoxine-phosphate[c]","ENSG00000160209","Vitamin B6 metabolism",0.0039954819294824
"464","MAR04067",4758,"O2[c] + pyridoxine-phosphate[c] => H2O2[c] + pyridoxal-phosphate[c]","ENSG00000108439","Vitamin B6 metabolism",0.0039954819294824
"467","MAR04103",140,"GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m]","ENSG00000100889","Pyruvate metabolism",330.360119904512
"470","MAR04135",232,"ADP[m] + GDP[m] <=> ATP[m] + GMP[m]","ENSG00000143774","Purine metabolism",332.607611302983
"477","MAR04172",531,"asparagine[c] + H2O[c] => aspartate[c] + H+[c] + NH3[c]","ENSG00000162174 or ENSG00000166183","Alanine, aspartate and glutamate metabolism",299.702017668746
"479","MAR04193",142,"CDP[c] + H+[c] + PEP[c] => CTP[c] + pyruvate[c]","ENSG00000067225 or ENSG00000143627","Pyruvate metabolism",1000
"481","MAR04209",1351,"AKG[m] + H+[m] + thiamin-PP[m] => 3-carboxy-1-hydroxypropyl-ThPP[m] + CO2[m]","ENSG00000105953 or ENSG00000181192 or ENSG00000197444","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",669.635884613558
"489","MAR04261",4362,"ATP[c] + deamido-NAD[c] + NH3[c] => AMP[c] + NAD+[c] + PPi[c]","ENSG00000172890","Nicotinate and nicotinamide metabolism",0.181982620780877
"492","MAR04281",8,"H+[x] + NADH[x] + pyruvate[x] <=> L-lactate[x] + NAD+[x]","ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989","Glycolysis / Gluconeogenesis",1000
"493","MAR04283",10,"acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Glycolysis / Gluconeogenesis",252.830829364756
"496","MAR04304",188,"glucose-6-phosphate[r] + NADP+[r] => glucono-1,5-lactone-6-phosphate[r] + H+[r] + NADPH[r]","ENSG00000160211","Pentose phosphate pathway",0.00997133316314303
"521","MAR04392",9274,"alloxan[e] <=> ",NA,"Exchange/demand reactions",-1000
"529","MAR04420",311,"ADP[m] + dATP[m] => ATP[m] + dADP[m]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Purine metabolism",1000
"533","MAR04451",244,"ADP[m] + GMP[m] + H+[m] => ATP[m] + guanosine[m]",NA,"Purine metabolism",332.607611302983
"539","MAR04474",197,"6-phospho-D-gluconate[c] + NADP+[c] => CO2[c] + NADPH[c] + ribulose-5-phosphate[c]","ENSG00000142657","Pentose phosphate pathway",212.092101772139
"545","MAR04513",355,"ATP[c] + deoxycytidine[c] => ADP[c] + dCMP[c] + H+[c]","ENSG00000156136","Pyrimidine metabolism",0.524691705459347
"546","MAR04521",30,"glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r]","ENSG00000131482 or ENSG00000141349 or ENSG00000152254","Glycolysis / Gluconeogenesis",0.0139436528785415
"560","MAR04573",261,"dGDP[c] + H+[c] + PEP[c] => dGTP[c] + pyruvate[c]","ENSG00000067225 or ENSG00000143627","Purine metabolism",0.00399548192939392
"566","MAR04591",113,"NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c]","ENSG00000115425 or ENSG00000116353","Pentose and glucuronate interconversions",0.0039954819294824
"572","MAR04618",271,"thioredoxin[c] + UTP[c] => dUTP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",0.773038895052029
"573","MAR04625",207,"glucono-1,5-lactone-6-phosphate[c] + H2O[c] => 6-phospho-D-gluconate[c] + H+[c]","ENSG00000049239 or ENSG00000130313","Pentose phosphate pathway",212.092101772139
"584","MAR04673",318,"ADP[c] + dUTP[c] <=> ATP[c] + dUDP[c]","ENSG00000011052 or ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678","Pyrimidine metabolism",0.773038895052082
"586","MAR04683",765,"H2O[c] + NAD+[c] + phenylacetaldehyde[c] => 2 H+[c] + NADH[c] + phenylacetate[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Tyrosine metabolism",974.234109270195
"587","MAR04686",767,"2 H+[c] + NADPH[c] + phenylacetate[c] <=> H2O[c] + NADP+[c] + phenylacetaldehyde[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Tyrosine metabolism",974.234109270195
"588","MAR04691",5330,"4-aminobutyrate[e] + 2 Na+[e] => 4-aminobutyrate[c] + 2 Na+[c]","ENSG00000010379 or ENSG00000111181 or ENSG00000132164 or ENSG00000157103","Transport reactions",809.039822499818
"614","MAR04900",7096,"O2[c] <=> O2[x]",NA,"Transport reactions",500
"621","MAR04930",7100,"H+[c] + pyruvate[c] <=> H+[x] + pyruvate[x]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"624","MAR04954",5361,"choline[c] <=> choline[e]","ENSG00000070214 or ENSG00000112499 or ENSG00000129353 or ENSG00000137968 or ENSG00000143036 or ENSG00000175003 or ENSG00000197375 or ENSG00000204385","Transport reactions",-12.0444516932514
"633","MAR05027",7576,"glucose[c] <=> glucose[r]","ENSG00000117394","Transport reactions",-0.0139436528785382
"638","MAR05036",6838,"guanosine[m] => guanosine[c]","ENSG00000112759","Transport reactions",332.607611302983
"639","MAR05037",5398,"guanosine[c] <=> guanosine[e]","ENSG00000112759 or ENSG00000174669","Transport reactions",332.607611302983
"649","MAR05087",5417,"proline[c] => proline[e]","ENSG00000003989 or ENSG00000092068 or ENSG00000103257 or ENSG00000123643 or ENSG00000139514 or ENSG00000149150 or ENSG00000155465 or ENSG00000165349 or ENSG00000167703","Transport reactions",1000
"654","MAR05098",9430,"FAD[m] + H2O[m] + lauroyl-CoA[m] => (S)-3-hydroxydodecanoyl-CoA[m] + FADH2[m]","ENSG00000117054 and ENSG00000127884","Fatty acid oxidation",165.178685027787
"655","MAR05105",6845,"H+[c] + ornithine[m] => H+[m] + ornithine[c]","ENSG00000102743 or ENSG00000120329","Transport reactions",263.521041072587
"657","MAR05122",6856,"glutamate[c] + H+[c] => glutamate[m] + H+[m]","ENSG00000177542 or ENSG00000182902","Transport reactions",879.784897830019
"682","MAR05395",41,"glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c]","ENSG00000056998 or ENSG00000163754","Starch and sucrose metabolism",11.8589352404265
"683","MAR05396",42,"glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c]","ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754","Starch and sucrose metabolism",11.8589352404265
"684","MAR05397",44,"glycogenin G11[c] => glycogenin G4G7[c]","ENSG00000114480","Starch and sucrose metabolism",11.8589352404265
"685","MAR05398",45,"glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]","ENSG00000068976 or ENSG00000100504 or ENSG00000100994","Starch and sucrose metabolism",11.8589352404265
"686","MAR05399",46,"glycogenin G4G4[c] => glycogenin G7G1[c]","ENSG00000162688","Starch and sucrose metabolism",11.8589352404265
"687","MAR05400",47,"glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c]","ENSG00000162688","Starch and sucrose metabolism",11.8589352404265
"688","MAR05401",48,"glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c]","ENSG00000068976 or ENSG00000100504 or ENSG00000100994","Starch and sucrose metabolism",11.8589352404265
"814","MAR05581",5611,"citrulline[c] + lysine[e] <=> citrulline[e] + lysine[c]","ENSG00000103064 or ENSG00000103257","Transport reactions",-1000
"820","MAR05642",5672,"asparagine[c] + Na+[e] + serine[e] => asparagine[e] + Na+[c] + serine[c]","ENSG00000103064 or ENSG00000105281","Transport reactions",186.715272527291
"821","MAR05896",5926,"citrulline[c] + Na+[e] + threonine[e] => citrulline[e] + Na+[c] + threonine[c]","ENSG00000103064","Transport reactions",1000
"846","MAR06024",6051,"AKG[c] + propanoate[e] <=> AKG[e] + propanoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",-1000
"852","MAR06031",6058,"acetate[c] + formate[e] <=> acetate[e] + formate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"864","MAR06044",6071,"propanoate[c] + retinoate[e] <=> propanoate[e] + retinoate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",-1000
"876","MAR06147",6174,"HCO3-[c] + S-glutathionyl-ethacrynic acid[c] + thromboxane B2[e] <=> HCO3-[e] + S-glutathionyl-ethacrynic acid[e] + thromboxane B2[c]","ENSG00000134538","Transport reactions",-1000
"877","MAR06253",6280,"thromboxane B2[c] <=> thromboxane B2[e]","ENSG00000184999","Transport reactions",-1000
"880","MAR06295",6883,"cis-aconitate[c] + H+[c] + malate[m] => cis-aconitate[m] + H+[m] + malate[c]","ENSG00000100075","Transport reactions",284.062677322819
"883","MAR06327",6912,"citrulline[m] + H+[i] => citrulline[c] + H+[m]","ENSG00000102743 or ENSG00000120329","Transport reactions",980.809037274318
"888","MAR06368",6320,"deoxycytidine[c] <=> deoxycytidine[e]","ENSG00000112759 or ENSG00000174669","Transport reactions",-0.524691705459304
"890","MAR06375",6327,"Na+[e] + serine[e] => Na+[c] + serine[c]","ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000174358 or ENSG00000268104","Transport reactions",1000
"893","MAR06395",4630,"ascorbate[e] + 2 Fe3+[e] => dehydroascorbic acid[e] + 2 Fe2+[e] + 2 H+[e]","ENSG00000071967","Porphyrin metabolism",233.672503369203
"894","MAR06409",689,"H+[m] + lipoamide[m] + NADH[m] <=> dihydrolipoamide[m] + NAD+[m]","ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445","Glycine, serine and threonine metabolism",-669.635884613558
"895","MAR06413",1367,"3-carboxy-1-hydroxypropyl-ThPP[m] + lipoamide[m] => S-succinyldihydrolipoamide[m] + thiamin-PP[m]","ENSG00000105953 or ENSG00000181192 or ENSG00000197444","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",669.635884613558
"896","MAR06414",1368,"CoA[m] + S-succinyldihydrolipoamide[m] <=> dihydrolipoamide[m] + succinyl-CoA[m]","ENSG00000119689","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",669.635884613558
"907","MAR06439",6338,"gamma-tocotrienol[e] => gamma-tocotrienol[c]",NA,"Transport reactions",0.0039954819294824
"908","MAR06441",4807,"gamma-tocotrienol[c] + H+[c] + NADPH[c] + O2[c] => 13-hydroxy-gamma-tocotrienol[c] + H2O[c] + NADP+[c]","ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529","Vitamin E metabolism",0.0039954819294824
"909","MAR06443",4809,"13-hydroxy-gamma-tocotrienol[c] + H+[c] + 2 NADPH[c] + 2 O2[c] => 13-carboxy-gamma-tocotrienol[c] + 3 H2O[c] + 2 NADP+[c]","ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529","Vitamin E metabolism",0.0039954819294824
"910","MAR06446",6933,"13-carboxy-gamma-tocotrienol[c] => 13-carboxy-gamma-tocotrienol[m]",NA,"Transport reactions",0.0039954819294824
"911","MAR06447",4811,"13-carboxy-gamma-tocotrienol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] => 11-carboxy-gamma-tocotrienol[m] + AMP[m] + 2 H+[m] + NADH[m] + PPi[m] + propanoyl-CoA[m]",NA,"Vitamin E metabolism",0.0039954819294824
"912","MAR06448",4812,"11-carboxy-gamma-tocotrienol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] + O2[m] => 9-carboxy-gamma-tocotrienol[m] + acetyl-CoA[m] + AMP[m] + 2 H+[m] + H2O2[m] + NADH[m] + PPi[m]","ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000104325 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000167969 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000198721 or ENSG00000242110 or ENSG00000242612","Vitamin E metabolism",0.0039954819294824
"913","MAR06450",4813,"9-carboxy-gamma-tocotrienol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] => 7-carboxy-gamma-tocotrienol[m] + AMP[m] + 2 H+[m] + NADH[m] + PPi[m] + propanoyl-CoA[m]","ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000242110","Vitamin E metabolism",0.0039954819294824
