"","ID","X","EQUATION","GENE.ASSOCIATION","SUBSYSTEM","flux"
"54","MAR00249",1421,"AMP[c] + PPi[c] + stearoyl-CoA[c] <=> ATP[c] + CoA[c] + stearate[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000119673 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000177465 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",-0.545429598528131
"58","MAR00266",5205,"elaidate[e] => elaidate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",0.00146662613883564
"62","MAR00274",5209,"(6Z,9Z)-octadecadienoic acid[e] => (6Z,9Z)-octadecadienoic acid[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",0.00146662613881196
"63","MAR00275",1427,"(6Z,9Z)-octadecadienoic acid[c] + ATP[c] + CoA[c] <=> (6Z,9Z)-octadecadienoyl-CoA[c] + AMP[c] + PPi[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",0.00146662613883564
"122","MAR00400",5269,"gamma-linolenate[e] => gamma-linolenate[c]","ENSG00000113396 or ENSG00000121769 or ENSG00000130304 or ENSG00000135218 or ENSG00000143554 or ENSG00000145384 or ENSG00000163586 or ENSG00000164434 or ENSG00000164687 or ENSG00000167114 or ENSG00000170231 or ENSG00000170323 or ENSG00000197416 or ENSG00000205186","Transport reactions",0.0106330395063867
"123","MAR00401",1457,"AMP[c] + gamma-linolenoyl-CoA[c] + PPi[c] <=> ATP[c] + CoA[c] + gamma-linolenate[c]","ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142 or ENSG00000239642","Fatty acid activation (cytosolic)",-0.0106330395063878
"145","MAR00457",644,"ATP[c] + glycerate[c] => 3-phospho-D-glycerate[c] + ADP[c] + H+[c]","ENSG00000168237","Glycine, serine and threonine metabolism",0.257132977607539
"163","MAR00583",8310,"elaidate[e] <=> ",NA,"Exchange/demand reactions",-0.00146662613883564
"168","MAR00611",8317,"palmitate[e] <=> ",NA,"Exchange/demand reactions",274.210256410257
"173","MAR00624",8323,"(6Z,9Z)-octadecadienoic acid[e] <=> ",NA,"Exchange/demand reactions",-0.00146662613883564
"174","MAR00626",8324,"gamma-linolenate[e] <=> ",NA,"Exchange/demand reactions",-0.0106330395063878
"175","MAR00627",3504,"H+[c] + PS-LD pool[c] => CO2[c] + PE-LD pool[c]","ENSG00000241878","Glycerophospholipid metabolism",14.5578964921775
"179","MAR00639",8328,"stearate[e] <=> ",NA,"Exchange/demand reactions",-0.545429598528131
"180","MAR00653",3524,"PE-LD pool[c] + SAM[c] => H+[c] + PE-NME-LD pool[c] + SAH[c]","ENSG00000133027","Glycerophospholipid metabolism",10.8805204617009
"181","MAR00654",3525,"PE-NME-LD pool[c] + SAM[c] => H+[c] + PPE-NME2-LD pool[c] + SAH[c]","ENSG00000133027","Glycerophospholipid metabolism",10.8805204617009
"182","MAR00657",3526,"PPE-NME2-LD pool[c] + SAM[c] => H+[c] + PC-LD pool[c] + SAH[c]","ENSG00000133027","Glycerophospholipid metabolism",10.8805204617009
"185","MAR00669",2530,"1,2-diacylglycerol-LD-PC pool[c] + H2O[c] => 1-acylglycerol-LD-PC pool[c] + H+[c] + fatty acid pool[c]","ENSG00000006757 or ENSG00000079435 or ENSG00000100344 or ENSG00000101670 or ENSG00000114771 or ENSG00000134780 or ENSG00000164535 or ENSG00000166035 or ENSG00000170835 or ENSG00000175535 or ENSG00000177666 or ENSG00000182333 or ENSG00000187021 or ENSG00000203837 or ENSG00000266200","Acylglycerides metabolism",1.18216218415857
"187","MAR00674",3459,"1-acylglycerol-LD-PC pool[c] + ATP[c] => ADP[c] + H+[c] + 1-acylglycerol-3P pool[c]","ENSG00000006530","Glycerolipid metabolism",1.18216218415857
"202","MAR00754",3310,"dihydroceramide pool[c] + H+[c] + NADPH[c] + O2[c] => ceramide pool[c] + 2 H2O[c] + NADP+[c]","ENSG00000143753 or ENSG00000168350","Sphingolipid metabolism",1.19567902578411
"203","MAR00761",3313,"ceramide pool[c] + UDP-glucose[c] => glucosylceramide pool[c] + H+[c] + UDP[c]","ENSG00000148154","Sphingolipid metabolism",0.0135168416255356
"204","MAR00766",3317,"galactose[e] + glucosylceramide pool[e] => H2O[e] + LacCer pool[e]","ENSG00000115850 or ENSG00000163521 or ENSG00000170266","Sphingolipid metabolism",1000
"209","MAR01084",1965,"H+[e] + leukotriene C4[e] => 5-L-gamma-glutamyl[e] + LTD4[e]","ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000133475 or ENSG00000149435 or ENSG00000167741","Leukotriene metabolism",1000
"243","MAR01496",3012,"4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c] + NAD+[c] => 3-keto-4-methylzymosterol[c] + CO2[c] + H+[c] + NADH[c]","ENSG00000147383","Cholesterol biosynthesis 1 (Bloch pathway)",2.45637559420663
"256","MAR01542",8515,"ATP[c] + H+[c] + nicotinamide D-ribonucleotide[c] => NAD+[c] + PPi[c]","ENSG00000157064 or ENSG00000163864","Nicotinate and nicotinamide metabolism",246.799004800021
"262","MAR01613",4076,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[m] + NADH[m] + O2[m] => 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[m] + H2O[m] + NAD+[m]","ENSG00000135929","Bile acid biosynthesis",499.954940373931
"280","MAR01961",8652,"gamma-glutamyl-beta-cyanoalanine[e] <=> ",NA,"Exchange/demand reactions",-844.424310087502
"318","MAR02312",8729,"ATP[c] + CoA[c] + palmitolate[c] => AMP[c] + PPi[c] + (2E)-hexadecenoyl-CoA[c]","ENSG00000068366 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142","Fatty acid oxidation",212.626050819305
"323","MAR02406",8777,"citrate[m] + oxalate[c] <=> citrate[c] + oxalate[m]","ENSG00000100075","Transport reactions",144.823678403135
"324","MAR02413",8778,"isocitrate[m] + succinate[c] <=> isocitrate[c] + succinate[m]","ENSG00000100075","Transport reactions",-1000
"355","MAR02663",2232,"CoA[c] + L-oleoylcarnitine[c] <=> L-carnitine[c] + oleoyl-CoA[c]","ENSG00000110090 or ENSG00000169169 or ENSG00000205560","Carnitine shuttle (cytosolic)",-999.433515653884
"356","MAR02664",2311,"L-carnitine[c] + L-oleoylcarnitine[m] <=> L-carnitine[m] + L-oleoylcarnitine[c]","ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208","Carnitine shuttle (mitochondrial)",-999.433515653884
"357","MAR02665",2312,"CoA[m] + L-oleoylcarnitine[m] <=> L-carnitine[m] + oleoyl-CoA[m]","ENSG00000095321 or ENSG00000157184","Carnitine shuttle (mitochondrial)",999.433515653884
"392","MAR03029",2383,"L-carnitine[c] + O-acetylcarnitine[x] <=> L-carnitine[x] + O-acetylcarnitine[c]","ENSG00000095321","Carnitine shuttle (peroxisomal)",-1000
"399","MAR03130",2692,"(S)-3-hydroxytetradecanoyl-CoA[m] + NAD+[m] => 3-oxotetradecanoyl-CoA[m] + H+[m] + NADH[m]","ENSG00000072506 and ENSG00000084754 and ENSG00000138796","Beta oxidation of even-chain fatty acids (mitochondrial)",0.00434268641368595
"400","MAR03132",2693,"3-oxotetradecanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + lauroyl-CoA[m]","ENSG00000084754 and ENSG00000138029 and ENSG00000167315","Beta oxidation of even-chain fatty acids (mitochondrial)",0.00434268641368595
"451","MAR04065",4756,"ATP[c] + pyridoxal[c] => ADP[c] + H+[c] + pyridoxal-phosphate[c]","ENSG00000160209","Vitamin B6 metabolism",0.00360937334427997
"452","MAR04071",4762,"H2O2[c] + pyridoxal[c] <=> O2[c] + pyridoxine[c]","ENSG00000108439","Vitamin B6 metabolism",-0.00360937334426126
"453","MAR04080",228,"AMP[c] + H2O[c] => IMP[c] + NH3[c]","ENSG00000116337 or ENSG00000116748 or ENSG00000133805","Purine metabolism",1000
"456","MAR04100",9198,"L-3-cyanoalanine[e] <=> ",NA,"Exchange/demand reactions",844.424310087502
"466","MAR04198",667,"pyruvate[c] + serine[c] => alanine[c] + hydroxypyruvate[c]","ENSG00000172482","Glycine, serine and threonine metabolism",0.257132977607539
"467","MAR04201",4977,"H2O2[c] + methanol[c] => formaldehyde[c] + 2 H2O[c]","ENSG00000117592 or ENSG00000121053 or ENSG00000121691 or ENSG00000130508 or ENSG00000147485 or ENSG00000167419","Miscellaneous",32.6523895051356
"476","MAR04260",4361,"ATP[c] + deamido-NAD[c] + glutamine[c] + H2O[c] => AMP[c] + glutamate[c] + H+[c] + NAD+[c] + PPi[c]","ENSG00000172890","Nicotinate and nicotinamide metabolism",0.164396493880247
"477","MAR04262",4363,"nicotinamide D-ribonucleotide[c] + PPi[c] <=> H+[c] + nicotinamide[c] + PRPP[c]","ENSG00000105835","Nicotinate and nicotinamide metabolism",-246.799004800021
"480","MAR04290",235,"H2O[e] + ITP[e] => H+[e] + IDP[e] + Pi[e]","ENSG00000138185 or ENSG00000168032 or ENSG00000188833","Purine metabolism",1000
"486","MAR04321",5324,"fructose[c] <=> fructose[e]","ENSG00000109667 or ENSG00000133460 or ENSG00000136856 or ENSG00000142583 or ENSG00000163581 or ENSG00000197241","Transport reactions",1000
"493","MAR04343",345,"PRPP[c] + uracil[c] => PPi[c] + UMP[c]","ENSG00000094841","Pyrimidine metabolism",166.350598003852
"516","MAR04418",239,"IMP[c] + PPi[c] <=> hypoxanthine[c] + PRPP[c]","ENSG00000165704","Purine metabolism",1000
"520","MAR04448",4511,"5,10-methylene-THF[c] + 2 H+[c] + NADH[c] => 5-methyl-THF[c] + NAD+[c]","ENSG00000177000","Folate metabolism",580.680737471408
"521","MAR04450",243,"GMP[e] + H2O[e] => guanosine[e] + Pi[e]","ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741","Purine metabolism",1000
"527","MAR04465",1357,"H+[c] + hydroxypyruvate[c] + NADPH[c] => glycerate[c] + NADP+[c]","ENSG00000137106","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",0.257132977607539
"530","MAR04483",401,"ATP[m] + thymidine[m] => ADP[m] + dTMP[m] + H+[m]","ENSG00000166548","Nucleotide metabolism",0.00360937334428035
"541","MAR04548",4729,"6-hydroxymelatonin[c] + H+[c] <=> hydroxide[c] + melatonin[c]","ENSG00000138061 or ENSG00000140465 or ENSG00000140505","Serotonin and melatonin biosynthesis",1000
"553","MAR04590",112,"H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c]","ENSG00000169738","Pentose and glucuronate interconversions",1000
"559","MAR04619",272,"CDP[c] + thioredoxin[c] => dCDP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",0.473987441083259
"560","MAR04621",273,"thioredoxin[c] + UDP[c] => dUDP[c] + H2O[c] + oxidized thioredoxin[c]","(ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848) or (ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848)","Purine metabolism",0.694725904135974
"572","MAR04685",766,"H2O[m] + NAD+[m] + phenylacetaldehyde[m] => 2 H+[m] + NADH[m] + phenylacetate[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Tyrosine metabolism",1000
"573","MAR04687",768,"2 H+[m] + NADPH[m] + phenylacetate[m] <=> H2O[m] + NADP+[m] + phenylacetaldehyde[m]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Tyrosine metabolism",1000
"576","MAR04700",680,"formaldehyde[c] + H+[c] + NADPH[c] + sarcosine[c] <=> dimethylglycine[c] + H2O[c] + NADP+[c]","ENSG00000090857 or ENSG00000132837","Glycine, serine and threonine metabolism",32.6523895051355
"577","MAR04701",1327,"dimethylglycine[c] + H+[c] + SAH[c] => SAM[c] + sarcosine[c]","ENSG00000123453 or ENSG00000132837","Sulfur metabolism",32.6523895051356
"587","MAR04785",582,"2 H2O[m] + L-1-pyrroline-3-hydroxy-5-carboxylate[m] + NADP+[m] => H+[m] + L-erythro-4-hydroxyglutamate[m] + NADPH[m]","ENSG00000159423","Arginine and proline metabolism",1000
"598","MAR04883",7566,"H2O[c] <=> H2O[r]",NA,"Transport reactions",-0.024303113851488
"611","MAR04957",6826,"citrate[m] => citrate[c]",NA,"Transport reactions",150.984064235524
"622","MAR05033",6837,"thymidine[c] <=> thymidine[m]","ENSG00000112759","Transport reactions",0.00360937334426126
"626","MAR05068",5404,"arginine[e] => arginine[c]","ENSG00000003989 or ENSG00000139209 or ENSG00000139514 or ENSG00000165349","Transport reactions",1000
"639","MAR05095",9428,"CoA[m] + FAD[m] + H2O[m] + lauroyl-CoA[m] + NAD+[m] => acetyl-CoA[m] + decanoyl-CoA[m] + FADH2[m] + H+[m] + NADH[m]","ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315","Fatty acid oxidation",0.00287606027487398
"662","MAR05181",9447,"FAD[m] + H2O[m] + myristoyl-CoA[m] => (S)-3-hydroxytetradecanoyl-CoA[m] + FADH2[m]","ENSG00000072778 and ENSG00000084754","Fatty acid oxidation",0.00434268641368595
"664","MAR05296",5441,"methanol[c] <=> methanol[e]",NA,"Transport reactions",-32.6523895051356
"665","MAR05297",1365,"AKG[m] + CoA[m] + NAD+[m] => CO2[m] + NADH[m] + succinyl-CoA[m]","ENSG00000091140 and ENSG00000105953 and ENSG00000119689","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",999.996390626656
"667","MAR05322",5456,"Na+[e] + proline[e] => Na+[c] + proline[c]","ENSG00000011083 or ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000163817","Transport reactions",1000
"668","MAR05326",5458,"Na+[e] + threonine[e] => Na+[c] + threonine[c]","ENSG00000072041 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000268104","Transport reactions",1000
"800","MAR05790",5820,"cysteine[c] + Na+[e] + threonine[e] => cysteine[e] + Na+[c] + threonine[c]","ENSG00000103064 or ENSG00000105281 or ENSG00000115902","Transport reactions",13.5940246743686
"829","MAR06029",6056,"(R)-3-hydroxybutanoate[c] + AKG[e] <=> (R)-3-hydroxybutanoate[e] + AKG[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",-1000
"835","MAR06036",6063,"(R)-3-hydroxybutanoate[c] + acetate[e] <=> (R)-3-hydroxybutanoate[e] + acetate[c]","ENSG00000100156 or ENSG00000108932 or ENSG00000118596 or ENSG00000141526 or ENSG00000155380 or ENSG00000168679 or ENSG00000170190","Transport reactions",1000
"853","MAR06125",6152,"arachidonate[e] + HCO3-[c] + S-glutathionyl-ethacrynic acid[c] <=> arachidonate[c] + HCO3-[e] + S-glutathionyl-ethacrynic acid[e]","ENSG00000134538","Transport reactions",-999.602910972917
"857","MAR06296",6884,"cis-aconitate[c] + H+[c] + oxalate[m] => cis-aconitate[m] + H+[m] + oxalate[c]","ENSG00000100075","Transport reactions",144.823678403135
"860","MAR06307",6895,"arginine[m] + ornithine[c] + H+[i] => arginine[c] + H+[m] + ornithine[m]","ENSG00000102743 or ENSG00000120329","Transport reactions",588.234989225112
"861","MAR06308",6896,"arginine[c] + ornithine[m] + H+[i] => arginine[m] + H+[m] + ornithine[c]","ENSG00000102743 or ENSG00000120329","Transport reactions",437.250924989587
"862","MAR06324",6909,"arginine[m] + H+[c] => arginine[c] + H+[m]","ENSG00000102743 or ENSG00000120329","Transport reactions",849.015935764476
"867","MAR06373",6325,"H+[e] + proline[e] => H+[c] + proline[c]","ENSG00000123643 or ENSG00000180773 or ENSG00000186334 or ENSG00000186335","Transport reactions",1000
"869","MAR06381",6331,"H+[c] + Na+[e] + serine[e] => H+[e] + Na+[c] + serine[c]","ENSG00000017483 or ENSG00000111371 or ENSG00000134294 or ENSG00000139209 or ENSG00000268104","Transport reactions",977.407160578015
"872","MAR06396",4599,"dehydroascorbic acid[c] + H+[c] + NADPH[c] => ascorbate[c] + NADP+[c]","ENSG00000023572 or ENSG00000173221","Ascorbate and aldarate metabolism",1000
"885","MAR06462",6339,"gamma-tocopherol[c] <=> gamma-tocopherol[e]",NA,"Transport reactions",-0.00360937334426126
"886","MAR06464",4822,"gamma-tocopherol[c] + H+[c] + NADPH[c] + O2[c] => 13-hydroxy-gamma-tocopherol[c] + H2O[c] + NADP+[c]","ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529","Vitamin E metabolism",0.00360937334427997
"887","MAR06466",4824,"13-hydroxy-gamma-tocopherol[c] + H+[c] + 2 NADPH[c] + 2 O2[c] => 13-carboxy-gamma-tocopherol[c] + 3 H2O[c] + 2 NADP+[c]","ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529","Vitamin E metabolism",0.00360937334427997
"888","MAR06469",6936,"13-carboxy-gamma-tocopherol[c] => 13-carboxy-gamma-tocopherol[m]",NA,"Transport reactions",0.00360937334427997
"889","MAR06470",4826,"13-carboxy-gamma-tocopherol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] + O2[m] => 11-carboxy-gamma-chromanol[m] + AMP[m] + 2 H+[m] + H2O2[m] + NADH[m] + PPi[m] + propanoyl-CoA[m]",NA,"Vitamin E metabolism",0.00360937334427997
"890","MAR06471",4827,"11-carboxy-gamma-chromanol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] + O2[m] => 9-carboxy-gamma-chromanol[m] + acetyl-CoA[m] + AMP[m] + 2 H+[m] + H2O2[m] + NADH[m] + PPi[m]","ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000242110","Vitamin E metabolism",0.00360937334427997
"891","MAR06472",4828,"9-carboxy-gamma-chromanol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] + O2[m] => 7-carboxy-gamma-chromanol[m] + AMP[m] + 2 H+[m] + H2O2[m] + NADH[m] + PPi[m] + propanoyl-CoA[m]","ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000242110","Vitamin E metabolism",0.00360937334427997
"892","MAR06473",4829,"7-carboxy-gamma-chromanol[m] + ATP[m] + CoA[m] + 2 H2O[m] + NAD+[m] + O2[m] => 5-carboxy-gamma-chromanol[m] + acetyl-CoA[m] + AMP[m] + 2 H+[m] + H2O2[m] + NADH[m] + PPi[m]","ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000242110","Vitamin E metabolism",0.00360937334427997
"898","MAR06612",375,"dADP[m] + dTDP[m] <=> dATP[m] + dTMP[m]","ENSG00000168393","Pyrimidine metabolism",-0.00360937334426126
"903","MAR06633",4636,"NAD+[r] + retinol[r] => H+[r] + NADH[r] + retinal[r]","ENSG00000025423 or ENSG00000135437 or ENSG00000147576 or ENSG00000170786 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144","Retinol metabolism",0.00269918354441806
"921","MAR06661",4664,"13-cis-retinoate[c] <=> retinoate[c]","ENSG00000134184","Retinol metabolism",-0.0333527020915199
"943","MAR06768",895,"AKG[c] + tyrosine[c] => 4-hydroxyphenylpyruvate[c] + glutamate[c]","ENSG00000120053 or ENSG00000125166 or ENSG00000198650","Phenylalanine, tyrosine and tryptophan biosynthesis",0.00360937334427997
"944","MAR06781",6944,"4-hydroxyphenylpyruvate[c] + H+[c] <=> 4-hydroxyphenylpyruvate[m] + H+[m]",NA,"Transport reactions",0.00360937334426126
"958","MAR07162",415,"0.18 ADP[c] + 0.3 CDP[c] + 0.34 GDP[c] + 0.18 UDP[c] => Pi[c] + RNA[c]","(ENSG00000113356 or ENSG00000121851) and (ENSG00000090060 or ENSG00000115421 or ENSG00000164329 or ENSG00000218823) and (ENSG00000083223 or ENSG00000134744 or ENSG00000149016) and ENSG00000005075 and ENSG00000013503 and ENSG00000047315 and ENSG00000058600 and ENSG00000066379 and ENSG00000068654 and ENSG00000099817 and ENSG00000099821 and ENSG00000100142 and ENSG00000100413 and ENSG00000102978 and ENSG00000105258 and ENSG00000107951 and ENSG00000125630 and ENSG00000132664 and ENSG00000137054 and ENSG00000144231 and ENSG00000147669 and ENSG00000148606 and ENSG00000161980 and ENSG00000163882 and ENSG00000168002 and ENSG00000168495 and ENSG00000171453 and ENSG00000177700 and ENSG00000181222 and ENSG00000186141 and ENSG00000186184","Nucleotide metabolism",9.79936144678909
"959","MAR07580",1241,"H2O[e] + PA6[e] => 6-deoxy-L-galactose[e] + de-Fuc form of PA6[e]","ENSG00000001036 or ENSG00000179163","N-glycan metabolism",1000
"962","MAR07621",1279,"[protein][c] + arginine[c] => [protein]-L-arginine[c] + H2O[c]",NA,"Protein modification",246.799004800021
"963","MAR07625",4379,"[protein]-L-arginine[c] + H2O[c] + NAD+[c] => [protein][c] + H+[c] + N(omega)-(ADP-D-ribosyl)-L-arginine[c] + nicotinamide[c]","ENSG00000077463 or ENSG00000111339 or ENSG00000129744 or ENSG00000156219 or ENSG00000167311","Nicotinate and nicotinamide metabolism",246.799004800021
"964","MAR07626",1282,"H2O[c] + N(omega)-(ADP-D-ribosyl)-L-arginine[c] => ADP-ribose[c] + arginine[c]","ENSG00000144843","Protein modification",246.799004800021
"987","MAR07848",6990,"dATP[c] + dTDP[m] => dATP[m] + dTDP[c]","ENSG00000125454","Transport reactions",997.663179230932
"988","MAR07849",6991,"dGTP[c] + dUDP[m] => dGTP[m] + dUDP[c]","ENSG00000125454","Transport reactions",1.94080015136751
