"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"321","HALLMARK_P53_PATHWAY",0.52993,1,15,0.47007,0.46993,20,"proteomics_spermin_frac_CSpermidine-CControl","down"
"41","HALLMARK_MITOTIC_SPINDLE",0.28821,0.14685,38,0.71179,1,15,"proteomics_spermin_frac_CSpermidine-CControl","up"
"5","HALLMARK_TGF_BETA_SIGNALING",0.20114,0.24126,9,0.79886,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up"
"101","HALLMARK_ADIPOGENESIS",0.33073,0.22378,51,0.66927,1,27,"proteomics_spermin_frac_CSpermidine-CControl","up"
"142","HALLMARK_MYOGENESIS",0.17073,0.013986,32,0.82927,1,6,"proteomics_spermin_frac_CSpermidine-CControl","up"
"181","HALLMARK_APICAL_JUNCTION",0.13386,0.013986,41,0.86614,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up"
"25","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.31477,0.24126,32,0.68523,1,13,"proteomics_spermin_frac_CSpermidine-CControl","up"
"291","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.25147,0.013986,95,0.74853,1,29,"proteomics_spermin_frac_CSpermidine-CControl","up"
"341","HALLMARK_UV_RESPONSE_DN",0.21575,0.15944,15,0.78425,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up"
"16","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.29443,0.31888,15,0.70557,0.997,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"42","HALLMARK_MITOTIC_SPINDLE",0.29744,0.094406,45,0.70256,0.997,8,"proteomics_spermin_frac_CSpermine-CControl","up"
"51","HALLMARK_TGF_BETA_SIGNALING",0.27531,0.31888,10,0.72469,0.997,1,"proteomics_spermin_frac_CSpermine-CControl","up"
"71","HALLMARK_DNA_REPAIR",0.31365,0.31888,23,0.68635,0.997,5,"proteomics_spermin_frac_CSpermine-CControl","up"
"111","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.28096,0.31888,11,0.71904,0.997,3,"proteomics_spermin_frac_CSpermine-CControl","up"
"143","HALLMARK_MYOGENESIS",0.2977,0.17622,29,0.7023,0.997,9,"proteomics_spermin_frac_CSpermine-CControl","up"
"182","HALLMARK_APICAL_JUNCTION",0.3036,0.094406,40,0.6964,0.997,8,"proteomics_spermin_frac_CSpermine-CControl","up"
"21","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.3326,0.31888,34,0.6674,0.997,6,"proteomics_spermin_frac_CSpermine-CControl","up"
"251","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.29568,0.094406,33,0.70432,0.997,12,"proteomics_spermin_frac_CSpermine-CControl","up"
"261","HALLMARK_INFLAMMATORY_RESPONSE",0.26365,0.094406,20,0.73635,0.997,7,"proteomics_spermin_frac_CSpermine-CControl","up"
