Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	3	5.9559e-10	0.81618	0.99001	1	0.18482	0.38828	1.1912e-09	0.82917	0.99201	3	1.1912e-09	0.81918	0.98701	0
KEGG_PYRUVATE_METABOLISM	1	1.8536e-12	0.81618	0.99001	1	0.18881	0.38828	3.7071e-12	0.83017	0.99201	1	3.7071e-12	0.8042	0.98701	0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	1.8536e-12	0.81618	0.99001	1	0.18881	0.38828	3.7071e-12	0.83017	0.99201	1	3.7071e-12	0.8042	0.98701	0
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	2.8619e-13	0.77622	0.99001	1	0.22877	0.3932	5.7239e-13	0.79221	0.99201	1	5.7239e-13	0.76723	0.98701	0
KEGG_FOLATE_BIOSYNTHESIS	1	3.0622e-06	0.98102	0.99001	1	0.026973	0.38828	6.1243e-06	0.97702	0.99201	1	6.1243e-06	0.97802	0.98701	0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	1.2008e-15	0.63237	0.99001	1	0.37862	0.51418	2.4017e-15	0.62537	0.99201	1	2.4017e-15	0.61039	0.98701	0
KEGG_RNA_DEGRADATION	2	3.7846e-18	0.22577	0.99001	1	1	1	7.5691e-18	0.22677	0.99201	2	7.5691e-18	0.23377	0.98701	0
KEGG_SPLICEOSOME	2	8.8095e-15	0.57143	0.99001	1	0.43556	0.57038	1.7619e-14	0.54645	0.99201	2	1.7619e-14	0.55145	0.98701	0
KEGG_PPAR_SIGNALING_PATHWAY	2	5.1132e-17	0.33267	0.99001	1	1	1	1.0226e-16	0.32368	0.99201	2	1.0226e-16	0.33666	0.98701	0
KEGG_MAPK_SIGNALING_PATHWAY	5	1.9006e-09	0.7962	0.99001	1	0.2048	0.38828	3.8013e-09	0.76723	0.99201	5	3.8013e-09	0.8012	0.98701	0
KEGG_ERBB_SIGNALING_PATHWAY	8	1.1879e-09	0.64436	0.99001	1	0.35664	0.50296	2.3758e-09	0.65734	0.99201	8	2.3758e-09	0.65934	0.98701	0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	2	6.636e-13	0.69431	0.99001	1	0.30669	0.46629	1.3272e-12	0.67433	0.99201	2	1.3272e-12	0.67632	0.98701	0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	4	5.348e-09	0.88212	0.99001	1	0.11888	0.38828	1.0696e-08	0.88312	0.99201	4	1.0696e-08	0.85914	0.98701	0
KEGG_CELL_CYCLE	4	6.0892e-15	0.35764	0.99001	1	0.64236	0.76804	1.2178e-14	0.32168	0.99201	4	1.2178e-14	0.32867	0.98701	0
KEGG_OOCYTE_MEIOSIS	2	9.3718e-12	0.7962	0.99001	1	0.20679	0.38828	1.8744e-11	0.79321	0.99201	2	1.8744e-11	0.77522	0.98701	0
KEGG_P53_SIGNALING_PATHWAY	3	5.5666e-15	0.40559	0.99001	1	0.5964	0.733	1.1133e-14	0.39061	0.99201	3	1.1133e-14	0.3956	0.98701	0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	2.5006e-22	0.084915	0.99001	1	1	1	5.0011e-22	0.090909	0.99201	1	5.0011e-22	0.080919	0.98701	0
KEGG_ENDOCYTOSIS	7	6.4186e-15	0.15385	0.99001	1	0.84815	0.98207	1.2837e-14	0.14785	0.99201	7	1.2837e-14	0.16084	0.98701	0
KEGG_PEROXISOME	1	1.315e-21	0.16983	0.99001	1	1	1	2.63e-21	0.17083	0.99201	1	2.63e-21	0.14985	0.98701	0
KEGG_MTOR_SIGNALING_PATHWAY	1	5.3318e-22	0.12787	0.99001	1	1	1	1.0664e-21	0.12687	0.99201	1	1.0664e-21	0.10789	0.98701	0
KEGG_APOPTOSIS	5	1.9435e-12	0.51049	0.99001	1	0.49051	0.6274	3.8869e-12	0.48651	0.99201	5	3.8869e-12	0.48452	0.98701	0
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	3	1.146e-11	0.73327	0.99001	1	0.26773	0.45309	2.2921e-11	0.74026	0.99201	3	2.2921e-11	0.74625	0.98701	0
KEGG_WNT_SIGNALING_PATHWAY	4	2.3711e-09	0.82717	0.99001	1	0.17383	0.38828	4.7422e-09	0.80919	0.99201	4	4.7422e-09	0.7992	0.98701	0
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	1.8744e-11	0.87013	0.99001	1	0.13487	0.38828	3.7487e-11	0.88012	0.99201	1	3.7487e-11	0.86913	0.98701	0
KEGG_AXON_GUIDANCE	2	7.831e-12	0.79421	0.99001	1	0.20679	0.38828	1.5662e-11	0.79121	0.99201	2	1.5662e-11	0.77423	0.98701	0
KEGG_VEGF_SIGNALING_PATHWAY	2	9.3718e-12	0.7972	0.99001	1	0.20679	0.38828	1.8744e-11	0.79421	0.99201	2	1.8744e-11	0.77722	0.98701	0
KEGG_FOCAL_ADHESION	7	4.4109e-09	0.78422	0.99001	1	0.21678	0.38993	8.8218e-09	0.77922	0.99201	7	8.8218e-09	0.79221	0.98701	0
KEGG_ECM_RECEPTOR_INTERACTION	1	5.4421e-15	0.69031	0.99001	1	0.31369	0.46629	1.0884e-14	0.69331	0.99201	1	1.0884e-14	0.67133	0.98701	0
KEGG_CELL_ADHESION_MOLECULES_CAMS	2	7.2289e-13	0.69431	0.99001	1	0.30669	0.46629	1.4458e-12	0.67433	0.99201	2	1.4458e-12	0.67732	0.98701	0
KEGG_ADHERENS_JUNCTION	2	1.5114e-19	0.12388	0.99001	1	1	1	3.0228e-19	0.13686	0.99201	2	3.0228e-19	0.14985	0.98701	0
KEGG_TIGHT_JUNCTION	4	3.0945e-14	0.3976	0.99001	1	0.60639	0.733	6.189e-14	0.37163	0.99201	4	6.189e-14	0.36164	0.98701	0
KEGG_GAP_JUNCTION	2	9.3718e-12	0.7972	0.99001	1	0.20679	0.38828	1.8744e-11	0.79421	0.99201	2	1.8744e-11	0.77722	0.98701	0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	1.67e-14	0.71628	0.99001	1	0.29171	0.46629	3.34e-14	0.72228	0.99201	1	3.34e-14	0.7003	0.98701	0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	2.069e-19	0.35465	0.99001	1	1	1	4.1379e-19	0.36464	0.99201	1	4.1379e-19	0.34166	0.98701	0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	5	1.9009e-09	0.7972	0.99001	1	0.2038	0.38828	3.8018e-09	0.76723	0.99201	5	3.8018e-09	0.8022	0.98701	0
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2	4.7422e-09	0.9041	0.99001	1	0.1009	0.38828	9.4844e-09	0.90809	0.99201	2	9.4844e-09	0.90509	0.98701	0
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	3	3.1636e-09	0.86414	0.99001	1	0.13686	0.38828	6.3272e-09	0.88012	0.99201	3	6.3272e-09	0.86114	0.98701	0
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	6.4605e-12	0.84416	0.99001	1	0.16384	0.38828	1.2921e-11	0.86114	0.99201	1	1.2921e-11	0.84016	0.98701	0
KEGG_JAK_STAT_SIGNALING_PATHWAY	3	1.7293e-15	0.34366	0.99001	1	0.65734	0.76923	3.4586e-15	0.32567	0.99201	3	3.4586e-15	0.32867	0.98701	0
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	5.1879e-15	0.68132	0.99001	1	0.32567	0.47137	1.0376e-14	0.68232	0.99201	1	1.0376e-14	0.66134	0.98701	0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	4	8.4719e-09	0.88711	0.99001	1	0.11389	0.38828	1.6944e-08	0.88611	0.99201	4	1.6944e-08	0.86114	0.98701	0
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	3	1.0292e-08	0.91109	0.99001	1	0.08991	0.38828	2.0584e-08	0.92008	0.99201	3	2.0584e-08	0.90809	0.98701	0
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2	1.0696e-08	0.94106	0.99001	1	0.05994	0.38828	2.1392e-08	0.94406	0.99201	2	2.1392e-08	0.94406	0.98701	0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	3	1.0292e-08	0.91109	0.99001	1	0.08991	0.38828	2.0584e-08	0.92008	0.99201	3	2.0584e-08	0.90809	0.98701	0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	5	4.2784e-09	0.86014	0.99001	1	0.14086	0.38828	8.5567e-09	0.83916	0.99201	5	8.5567e-09	0.87113	0.98701	0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	3	7.1244e-09	0.90709	0.99001	1	0.093906	0.38828	1.4249e-08	0.91608	0.99201	3	1.4249e-08	0.90509	0.98701	0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	1.322e-12	0.80619	0.99001	1	0.2018	0.38828	2.644e-12	0.81419	0.99201	1	2.644e-12	0.79221	0.98701	0
KEGG_LONG_TERM_POTENTIATION	2	9.3718e-12	0.7972	0.99001	1	0.20679	0.38828	1.8744e-11	0.79421	0.99201	2	1.8744e-11	0.77722	0.98701	0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	5	1.9006e-09	0.7962	0.99001	1	0.2048	0.38828	3.8013e-09	0.76723	0.99201	5	3.8013e-09	0.8022	0.98701	0
KEGG_LONG_TERM_DEPRESSION	1	1.8744e-11	0.87013	0.99001	1	0.13487	0.38828	3.7487e-11	0.88012	0.99201	1	3.7487e-11	0.86913	0.98701	0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	5	4.2815e-09	0.86014	0.99001	1	0.14086	0.38828	8.563e-09	0.84216	0.99201	5	8.563e-09	0.87213	0.98701	0
KEGG_INSULIN_SIGNALING_PATHWAY	5	1.9026e-09	0.7972	0.99001	1	0.2038	0.38828	3.8051e-09	0.76723	0.99201	5	3.8051e-09	0.8022	0.98701	0
KEGG_GNRH_SIGNALING_PATHWAY	4	2.3758e-09	0.83417	0.99001	1	0.16683	0.38828	4.7516e-09	0.82118	0.99201	4	4.7516e-09	0.8032	0.98701	0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	3	3.1677e-09	0.86414	0.99001	1	0.13686	0.38828	6.3354e-09	0.88212	0.99201	3	6.3354e-09	0.86314	0.98701	0
KEGG_MELANOGENESIS	1	1.8744e-11	0.87013	0.99001	1	0.13487	0.38828	3.7487e-11	0.88012	0.99201	1	3.7487e-11	0.86913	0.98701	0
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	9.4844e-09	0.94905	0.99001	1	0.056943	0.38828	1.8969e-08	0.94905	0.99201	1	1.8969e-08	0.94805	0.98701	0
KEGG_TYPE_II_DIABETES_MELLITUS	1	9.4844e-09	0.94905	0.99001	1	0.056943	0.38828	1.8969e-08	0.94905	0.99201	1	1.8969e-08	0.94805	0.98701	0
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	3.3732e-17	0.52448	0.99001	1	1	1	6.7463e-17	0.53746	0.99201	1	6.7463e-17	0.50649	0.98701	0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	3	7.774e-11	0.78921	0.99001	1	0.21179	0.38828	1.5548e-10	0.80919	0.99201	3	1.5548e-10	0.79421	0.98701	0
KEGG_ALZHEIMERS_DISEASE	2	2.539e-20	0.076923	0.99001	1	1	1	5.0779e-20	0.085914	0.99201	2	5.0779e-20	0.1029	0.98701	0
KEGG_PARKINSONS_DISEASE	3	1.6392e-10	0.79421	0.99001	1	0.20779	0.38828	3.2785e-10	0.81518	0.99201	3	3.2785e-10	0.8012	0.98701	0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	2	1.2572e-21	0.034965	0.99001	1	1	1	2.5144e-21	0.034965	0.99201	2	2.5144e-21	0.03996	0.98701	0
KEGG_HUNTINGTONS_DISEASE	3	7.7474e-11	0.78322	0.99001	1	0.21978	0.38993	1.5495e-10	0.8042	0.99201	3	1.5495e-10	0.78921	0.98701	0
KEGG_PRION_DISEASES	3	6.2493e-12	0.69431	0.99001	1	0.30669	0.46629	1.2499e-11	0.70729	0.99201	3	1.2499e-11	0.70629	0.98701	0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	5	1.8969e-09	0.78921	0.99001	1	0.21179	0.38828	3.7938e-09	0.75824	0.99201	5	3.7938e-09	0.79321	0.98701	0
KEGG_LEISHMANIA_INFECTION	1	1.0047e-21	0.16084	0.99001	1	1	1	2.0094e-21	0.15684	0.99201	1	2.0094e-21	0.13886	0.98701	0
KEGG_PATHWAYS_IN_CANCER	10	9.5032e-10	0.6014	0.99001	1	0.3996	0.52959	1.9006e-09	0.62737	0.99201	10	1.9006e-09	0.57642	0.98701	0
KEGG_COLORECTAL_CANCER	4	2.3758e-09	0.83417	0.99001	1	0.16683	0.38828	4.7516e-09	0.82118	0.99201	4	4.7516e-09	0.8032	0.98701	0
KEGG_RENAL_CELL_CARCINOMA	2	9.3718e-12	0.79421	0.99001	1	0.20679	0.38828	1.8744e-11	0.79321	0.99201	2	1.8744e-11	0.77522	0.98701	0
KEGG_PANCREATIC_CANCER	3	3.1677e-09	0.86414	0.99001	1	0.13686	0.38828	6.3354e-09	0.88212	0.99201	3	6.3354e-09	0.86314	0.98701	0
KEGG_ENDOMETRIAL_CANCER	2	9.3724e-12	0.8012	0.99001	1	0.1998	0.38828	1.8745e-11	0.7962	0.99201	2	1.8745e-11	0.77722	0.98701	0
KEGG_GLIOMA	2	9.3718e-12	0.7972	0.99001	1	0.20679	0.38828	1.8744e-11	0.7952	0.99201	2	1.8744e-11	0.77722	0.98701	0
KEGG_PROSTATE_CANCER	2	9.3718e-12	0.7972	0.99001	1	0.20679	0.38828	1.8744e-11	0.7952	0.99201	2	1.8744e-11	0.77722	0.98701	0
KEGG_THYROID_CANCER	1	1.8744e-11	0.87013	0.99001	1	0.13487	0.38828	3.7487e-11	0.88012	0.99201	1	3.7487e-11	0.86913	0.98701	0
KEGG_BASAL_CELL_CARCINOMA	1	1.1954e-15	0.62637	0.99001	1	0.37862	0.51418	2.3909e-15	0.62338	0.99201	1	2.3909e-15	0.6034	0.98701	0
KEGG_MELANOMA	2	9.3718e-12	0.7972	0.99001	1	0.20679	0.38828	1.8744e-11	0.7952	0.99201	2	1.8744e-11	0.77722	0.98701	0
KEGG_BLADDER_CANCER	3	6.2483e-12	0.69431	0.99001	1	0.30669	0.46629	1.2497e-11	0.70729	0.99201	3	1.2497e-11	0.70629	0.98701	0
KEGG_CHRONIC_MYELOID_LEUKEMIA	6	3.128e-12	0.49351	0.99001	1	0.50749	0.64166	6.256e-12	0.46853	0.99201	6	6.256e-12	0.45854	0.98701	0
KEGG_ACUTE_MYELOID_LEUKEMIA	2	9.3718e-12	0.7952	0.99001	1	0.20679	0.38828	1.8744e-11	0.79321	0.99201	2	1.8744e-11	0.77522	0.98701	0
KEGG_SMALL_CELL_LUNG_CANCER	1	2.5019e-21	0.1968	0.99001	1	1	1	5.0038e-21	0.18981	0.99201	1	5.0038e-21	0.17183	0.98701	0
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	1.8744e-11	0.87013	0.99001	1	0.13487	0.38828	3.7487e-11	0.88012	0.99201	1	3.7487e-11	0.86913	0.98701	0
KEGG_ASTHMA	1	1.322e-12	0.80619	0.99001	1	0.2018	0.38828	2.644e-12	0.81419	0.99201	1	2.644e-12	0.79221	0.98701	0
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	1.322e-12	0.80619	0.99001	1	0.2018	0.38828	2.644e-12	0.81419	0.99201	1	2.644e-12	0.79221	0.98701	0
KEGG_ALLOGRAFT_REJECTION	1	1.322e-12	0.80619	0.99001	1	0.2018	0.38828	2.644e-12	0.81419	0.99201	1	2.644e-12	0.79221	0.98701	0
KEGG_VIRAL_MYOCARDITIS	5	2.7036e-13	0.39461	0.99001	1	0.60639	0.733	5.4072e-13	0.36464	0.99201	5	5.4072e-13	0.36863	0.98701	0
