"","X","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign","sub_2","pvalue","Nb"
"108",561,"vegf signaling pathway",0.30141,0.23204,16,0.69859,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.23204,16
"43",39,"mapk signaling pathway",0.33224,0.22047,34,0.66776,1,16,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.22047,34
"164",631,"complement and coagulation cascades",0.28135,0.19435,19,0.71865,1,6,"proteomics_spermin_frac_CSpermine-CControl","up","yes",0.19435,19
"38",21,"pyrimidine metabolism",0.26758,0.18528,15,0.73242,1,4,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.18528,15
"67",84,"adipocytokine signaling pathway",0.22799,0.17324,11,0.77201,1,3,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.17324,11
"92",291,"starch and sucrose metabolism",0.246,0.16878,10,0.754,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.16878,10
"90",201,"purine metabolism",0.28966,0.16178,20,0.71034,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.16178,20
"120",732,"fc epsilon ri signaling pathway",0.29077,0.16178,18,0.70923,1,7,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.16178,18
"93",312,"inositol phosphate metabolism",0.23909,0.16178,11,0.76091,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.16178,11
"128",841,"adipocytokine signaling pathway",0.23765,0.16178,11,0.76235,1,3,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.16178,11
"82",23,"glycerophospholipid metabolism",0.20089,0.14375,10,0.79911,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.14375,10
"105",532,"wnt signaling pathway",0.25517,0.124,16,0.74483,1,8,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.124,16
"156",443,"phosphatidylinositol signaling system",0.24118,0.12216,16,0.75882,1,2,"proteomics_spermin_frac_CSpermine-CControl","up","yes",0.12216,16
"42",311,"inositol phosphate metabolism",0.20206,0.11877,11,0.79794,1,2,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.11877,11
"37",20,"purine metabolism",0.24792,0.086337,21,0.75208,1,6,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.086337,21
"29",2,"glycerophospholipid metabolism",0.17393,0.086337,11,0.82607,1,1,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.086337,11
"139",17,"galactose metabolism",0.60093,1,6,0.39907,0.085514,7,"proteomics_spermin_frac_CSpermine-CControl","down","yes",0.085514,7
"46",431,"chemokine signaling pathway",0.29627,0.082599,36,0.70373,1,16,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.082599,36
"98",432,"chemokine signaling pathway",0.27167,0.072882,39,0.72833,1,13,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.072882,39
"94",391,"mapk signaling pathway",0.28244,0.064136,38,0.71756,1,12,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.064136,38
"11",49,"complement and coagulation cascades",0.31775,0.042957,17,0.68225,1,9,"proteomics_monocytes_frac_HC_like_vs_At_risk","up","yes",0.042957,17
"147",641,"antigen processing and presentation",0.57378,1,10,0.42622,0.035631,18,"proteomics_spermin_frac_CSpermine-CControl","down","yes",0.035631,18
"122",751,"leukocyte transendothelial migration",0.24062,0.026723,31,0.75938,1,9,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.026723,31
"63",75,"leukocyte transendothelial migration",0.22233,0.022906,31,0.77767,1,9,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.022906,31
"44",41,"calcium signaling pathway",0.18074,0.016445,23,0.81926,1,4,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.016445,23
"47",441,"phosphatidylinositol signaling system",0.14356,0.016445,16,0.85644,1,2,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.016445,16
"36",19,"oxidative phosphorylation",0.18693,0.0097176,57,0.81307,1,12,"proteomics_spermin_frac_CBoth-CControl","up","yes",0.0097176,57
"89",191,"oxidative phosphorylation",0.2107,0.0082225,57,0.7893,1,12,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.0082225,57
"96",411,"calcium signaling pathway",0.15401,0.0082225,22,0.84599,1,5,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.0082225,22
"99",442,"phosphatidylinositol signaling system",0.11982,0.0082225,16,0.88018,1,2,"proteomics_spermin_frac_CSpermidine-CControl","up","yes",0.0082225,16
