"","feat1","feat2","R","p","Padj","name_int"
"23","STAP1","AGE.x",-0.221346655639834,0.00519082016242334,0.0225073623485727,"STAP1 (interacts with) AGE.x"
"24","SLC18A1","AGE.x",0.220936872965427,0.00527665230017171,0.022815934977009,"SLC18A1 (interacts with) AGE.x"
"25","VCAN","AGE.x",0.206589805909058,0.00920538157798889,0.036061905349819,"VCAN (interacts with) AGE.x"
"26","CNTLN","AGE.x",0.1957170589087,0.0137214716817637,0.0498422887760951,"CNTLN (interacts with) AGE.x"
"27","DCBLD2","AGE.x",-0.245572433195176,0.00187053220442834,0.00955929266006048,"DCBLD2 (interacts with) AGE.x"
"28","TBXAS1","AGE.x",0.197321858704019,0.0129520041268476,0.047578966466931,"TBXAS1 (interacts with) AGE.x"
"29","PSD","AGE.x",-0.294384839872739,0.000173671354731564,0.00122333477495669,"PSD (interacts with) AGE.x"
"30","GNA15","AGE.x",0.220015920325688,0.00547420223621509,0.0235230634354341,"GNA15 (interacts with) AGE.x"
"31","LTK","AGE.x",-0.30427095474087,0.000101563534327997,0.000762435565047849,"LTK (interacts with) AGE.x"
"32","CHI3L2","AGE.x",-0.268709565728076,0.000640600923031309,0.00381671462885081,"CHI3L2 (interacts with) AGE.x"
"33","PDE4A","AGE.x",0.260254676483854,0.000958362479319685,0.00539987925563528,"PDE4A (interacts with) AGE.x"
"34","PDZD4","AGE.x",0.284804763675252,0.000286819016312778,0.00189896629156426,"PDZD4 (interacts with) AGE.x"
"35","SDK2","AGE.x",-0.279029616024733,0.000384824214378465,0.00245370037194347,"SDK2 (interacts with) AGE.x"
"36","LRP6","AGE.x",-0.214805650022478,0.00672145084092013,0.0278651247490155,"LRP6 (interacts with) AGE.x"
"37","ST6GALNAC2","AGE.x",0.254024277278495,0.0012788708013507,0.00691494614409704,"ST6GALNAC2 (interacts with) AGE.x"
"38","CYBRD1","AGE.x",0.198171458595659,0.0125601518429863,0.0464123675881004,"CYBRD1 (interacts with) AGE.x"
"39","LIMS2","AGE.x",-0.238490911517726,0.00254744756153036,0.01241109758646,"LIMS2 (interacts with) AGE.x"
"40","SPEG","AGE.x",-0.303192967781585,0.000107783083436175,0.00080353727587592,"SPEG (interacts with) AGE.x"
"41","EVC","AGE.x",0.236826731084819,0.00273574644524155,0.0131791265833277,"EVC (interacts with) AGE.x"
"42","TEAD2","AGE.x",-0.195810532066263,0.0136755806354198,0.0497090612638823,"TEAD2 (interacts with) AGE.x"
"43","TXK","AGE.x",-0.229213828829982,0.00376789098916541,0.017241624917343,"TXK (interacts with) AGE.x"
"44","ADD2","AGE.x",-0.246391581477796,0.00180385392640048,0.00926854587977323,"ADD2 (interacts with) AGE.x"
"45","FOSL2","AGE.x",0.196393084628929,0.0133925882214727,0.0488765785858301,"FOSL2 (interacts with) AGE.x"
"46","FSCN1","AGE.x",0.202861006384639,0.0105787988806443,0.0403875921094532,"FSCN1 (interacts with) AGE.x"
"47","MAP2","AGE.x",-0.236434846455691,0.00278188029948145,0.0133665613464656,"MAP2 (interacts with) AGE.x"
"48","CARMIL1","AGE.x",-0.241019917646783,0.00228369751560864,0.0113195467262908,"CARMIL1 (interacts with) AGE.x"
"49","COL4A4","AGE.x",-0.2048464512927,0.00982656040548369,0.0380384297718267,"COL4A4 (interacts with) AGE.x"
"50","COBLL1","AGE.x",-0.217269185192143,0.00610324308262067,0.0257359600264912,"COBLL1 (interacts with) AGE.x"
"51","PLOD1","AGE.x",0.225547455104053,0.00438036082284232,0.0195480726434137,"PLOD1 (interacts with) AGE.x"
"52","P2RX5","AGE.x",-0.220197107399353,0.0054348220085072,0.0233817708208261,"P2RX5 (interacts with) AGE.x"
"53","HAL","AGE.x",0.211308282726606,0.0076947711688109,0.0311414015216223,"HAL (interacts with) AGE.x"
"54","LZTS3","AGE.x",-0.22259973935098,0.00493605003901787,0.0215869977758931,"LZTS3 (interacts with) AGE.x"
"55","LTBP4","AGE.x",0.222199300692375,0.00501622002545643,0.0218774180324354,"LTBP4 (interacts with) AGE.x"
"56","IRAK3","AGE.x",0.210775379568767,0.00785357833318412,0.0316643562944337,"IRAK3 (interacts with) AGE.x"
"57","NRCAM","AGE.x",-0.468044275788274,5.6108850898795e-10,1.15537469077698e-08,"NRCAM (interacts with) AGE.x"
"58","IL5RA","AGE.x",0.22836118377744,0.00390300656705334,0.017754113960898,"IL5RA (interacts with) AGE.x"
"59","ITGA6","AGE.x",-0.236092847307453,0.00282271525391131,0.0135315205371646,"ITGA6 (interacts with) AGE.x"
"60","SLC22A17","AGE.x",-0.239899298434871,0.00239734897192978,0.0117938075701414,"SLC22A17 (interacts with) AGE.x"
"61","VNN3","AGE.x",0.251894187227592,0.00140918355934172,0.00751308865606288,"VNN3 (interacts with) AGE.x"
"62","BLNK","AGE.x",-0.259417257235822,0.000996662832172923,0.00558478986579775,"BLNK (interacts with) AGE.x"
"63","SEC14L2","AGE.x",-0.207372412260855,0.00893800180696669,0.0352041430136989,"SEC14L2 (interacts with) AGE.x"
"64","LGALS1","AGE.x",0.206647663966195,0.00918537491428872,0.0359978496170068,"LGALS1 (interacts with) AGE.x"
"65","TTC28","AGE.x",-0.29476396240503,0.000170195067706658,0.00120180363667753,"TTC28 (interacts with) AGE.x"
"66","APOBEC3H","AGE.x",0.197813652189682,0.012723893951188,0.0468996955444391,"APOBEC3H (interacts with) AGE.x"
"67","NTSR1","AGE.x",0.240356072570161,0.00235041860995633,0.0115980628816827,"NTSR1 (interacts with) AGE.x"
"68","VSIG1","AGE.x",-0.208307276657749,0.00862762404762329,0.0341990902425514,"VSIG1 (interacts with) AGE.x"
"69","PPP1R2C","AGE.x",-0.222072771824969,0.00504179309760833,0.0219705900805194,"PPP1R2C (interacts with) AGE.x"
"70","RUBCNL","AGE.x",-0.208081934751006,0.00870155240402815,0.034439439160725,"RUBCNL (interacts with) AGE.x"
"71","FLT1","AGE.x",-0.290922491927239,0.000208622454553442,0.00143729281398061,"FLT1 (interacts with) AGE.x"
"72","PLLP","AGE.x",-0.285182363627092,0.000281297183322149,0.00186689523929166,"PLLP (interacts with) AGE.x"
"73","AQP9","AGE.x",0.208596566943433,0.00853353140084323,0.0338943073907029,"AQP9 (interacts with) AGE.x"
"74","CTSH","AGE.x",0.206434502703059,0.00925927424500017,0.0362348211877463,"CTSH (interacts with) AGE.x"
"75","CEACAM4","AGE.x",0.224120797221496,0.00464188188169334,0.0205133498418661,"CEACAM4 (interacts with) AGE.x"
"76","CD79A","AGE.x",-0.230699867350126,0.00354243316823077,0.0163755604776471,"CD79A (interacts with) AGE.x"
"77","SIGLEC6","AGE.x",-0.209581676495209,0.00821990027032493,0.0328726963207176,"SIGLEC6 (interacts with) AGE.x"
"78","TSPAN13","AGE.x",-0.216457649811777,0.00630104753094241,0.0264230297980651,"TSPAN13 (interacts with) AGE.x"
"79","AEBP1","AGE.x",-0.254385128845375,0.00125791908093187,0.00681781349323557,"AEBP1 (interacts with) AGE.x"
"80","PTGDS","AGE.x",0.23512905388199,0.00294072554848279,0.014008251769821,"PTGDS (interacts with) AGE.x"
"81","LGALS3BP","AGE.x",-0.234679892648955,0.00299723074386082,0.0142338302948458,"LGALS3BP (interacts with) AGE.x"
"82","CCL8","AGE.x",-0.195743695641624,0.0137083805612073,0.0498042045840673,"CCL8 (interacts with) AGE.x"
"83","PMP22","AGE.x",0.196073342734226,0.0135472712629408,0.0493339687250489,"PMP22 (interacts with) AGE.x"
"84","CRTAM","AGE.x",-0.21787821737253,0.00595845476692247,0.0252303850278342,"CRTAM (interacts with) AGE.x"
"85","NECTIN1","AGE.x",0.196106839504147,0.0135309933977703,0.0492869246955797,"NECTIN1 (interacts with) AGE.x"
"86","POU2AF1","AGE.x",-0.225897648607775,0.00431822334484222,0.0193166703622203,"POU2AF1 (interacts with) AGE.x"
"87","ASIC1","AGE.x",-0.280617119587769,0.000355177978546006,0.00228843408348243,"ASIC1 (interacts with) AGE.x"
"88","BCL7A","AGE.x",-0.211825960079935,0.00754323713504634,0.0306384977890273,"BCL7A (interacts with) AGE.x"
"89","ALDH2","AGE.x",0.220309778352725,0.00541046136926582,0.0232945138768522,"ALDH2 (interacts with) AGE.x"
"90","SLC26A8","AGE.x",0.202244976628734,0.0108222885095235,0.0411420083351006,"SLC26A8 (interacts with) AGE.x"
"91","BACH2","AGE.x",-0.294815730140362,0.000169725455399394,0.00119886290427886,"BACH2 (interacts with) AGE.x"
"92","RBM24","AGE.x",-0.349651578844808,6.69626912008781e-06,6.69822112028352e-05,"RBM24 (interacts with) AGE.x"
"93","VNN2","AGE.x",0.227473519374526,0.00404828718222117,0.0183050948596672,"VNN2 (interacts with) AGE.x"
"94","SLC16A10","AGE.x",-0.37489280379809,1.2154875608239e-06,1.42028988666674e-05,"SLC16A10 (interacts with) AGE.x"
"95","CCR6","AGE.x",-0.244657362344144,0.00194766420818171,0.00989299280330505,"CCR6 (interacts with) AGE.x"
"96","PTK7","AGE.x",-0.352979825947767,5.39134235522098e-06,5.5063164254333e-05,"PTK7 (interacts with) AGE.x"
"97","SLC29A1","AGE.x",0.201859148447902,0.0109772900254557,0.0416215968606658,"SLC29A1 (interacts with) AGE.x"
"98","PDGFRB","AGE.x",0.256058444760988,0.00116480471905422,0.00638214695978583,"PDGFRB (interacts with) AGE.x"
"99","PFKFB4","AGE.x",0.204755096465642,0.00986010784530666,0.0381432852640184,"PFKFB4 (interacts with) AGE.x"
"100","DNAH6","AGE.x",-0.354214638693502,4.97163816515211e-06,5.11634062045141e-05,"DNAH6 (interacts with) AGE.x"
"101","RALGPS2","AGE.x",-0.196435716881556,0.0133720810611022,0.0488151501786965,"RALGPS2 (interacts with) AGE.x"
"102","HPCAL4","AGE.x",-0.31639069513057,5.12333612872062e-05,0.000415500982169853,"HPCAL4 (interacts with) AGE.x"
"103","CR2","AGE.x",-0.338454408445539,1.36389143845506e-05,0.00012718922986528,"CR2 (interacts with) AGE.x"
"104","CNN3","AGE.x",-0.300628942302156,0.000124035120953714,0.000909570959462907,"CNN3 (interacts with) AGE.x"
"105","RCAN3","AGE.x",-0.24164417563168,0.00222252763802278,0.0110623213026406,"RCAN3 (interacts with) AGE.x"
"106","ELOVL4","AGE.x",-0.245528278362098,0.00187418927961547,0.00957511580500558,"ELOVL4 (interacts with) AGE.x"
"107","SATB2","AGE.x",0.294390930194543,0.00017361499191626,0.00122297520466871,"SATB2 (interacts with) AGE.x"
"108","KLHL29","AGE.x",-0.3358751571616,1.60056823430565e-05,0.00014683311734372,"KLHL29 (interacts with) AGE.x"
"109","SFRP5","AGE.x",-0.473090931301258,3.4511238311552e-10,7.32981114243309e-09,"SFRP5 (interacts with) AGE.x"
"110","EPHX2","AGE.x",-0.270720894503804,0.000580936926855902,0.00350702052724263,"EPHX2 (interacts with) AGE.x"
"111","SCPEP1","AGE.x",0.199957445464644,0.0117701630577114,0.04404134303124,"SCPEP1 (interacts with) AGE.x"
"112","PLBD1","AGE.x",0.2037441030462,0.0102381684166757,0.0393311202852029,"PLBD1 (interacts with) AGE.x"
"113","ZSCAN18","AGE.x",-0.213072953469277,0.00718904520948183,0.0294497257044388,"ZSCAN18 (interacts with) AGE.x"
"114","DPPA4","AGE.x",-0.242674962596985,0.00212477031515168,0.010649304867893,"DPPA4 (interacts with) AGE.x"
"115","DEPDC7","AGE.x",-0.254730754607744,0.00123814613715467,0.00672555014517827,"DEPDC7 (interacts with) AGE.x"
"116","XPNPEP2","AGE.x",0.201939845211803,0.0109447105245519,0.0415209527281737,"XPNPEP2 (interacts with) AGE.x"
"117","TRMT13","AGE.x",-0.199616387443627,0.0119175600763155,0.0444858080945825,"TRMT13 (interacts with) AGE.x"
"118","TNFAIP6","AGE.x",0.198002452165602,0.0126372621816779,0.0466426732604842,"TNFAIP6 (interacts with) AGE.x"
"119","PMEPA1","AGE.x",-0.260172457139502,0.000962062210049019,0.00541793330433476,"PMEPA1 (interacts with) AGE.x"
"120","H2BC11","AGE.x",-0.208004283148006,0.0087271572955181,0.0345230795526586,"H2BC11 (interacts with) AGE.x"
"121","DNAH8","AGE.x",-0.197752748971643,0.0127519505078628,0.0469824241680263,"DNAH8 (interacts with) AGE.x"
"122","CPNE5","AGE.x",-0.270372223580532,0.000590898193832512,0.00355895507643995,"CPNE5 (interacts with) AGE.x"
"123","GPR18","AGE.x",-0.323291029734354,3.42408594771193e-05,0.000290159265642321,"GPR18 (interacts with) AGE.x"
"124","CD93","AGE.x",0.203617728868769,0.0102863132170463,0.039481112856579,"CD93 (interacts with) AGE.x"
"125","CCR7","AGE.x",-0.344078820631412,9.57364541598338e-06,9.24771731861625e-05,"CCR7 (interacts with) AGE.x"
"126","CRYGN","AGE.x",-0.252885265159096,0.00134711412348199,0.00722949390017542,"CRYGN (interacts with) AGE.x"
"127","STEAP4","AGE.x",0.265693333854709,0.000740714510491181,0.00432655284144948,"STEAP4 (interacts with) AGE.x"
"128","SPINK2","AGE.x",-0.333918641282107,1.80541733878492e-05,0.000163555924272537,"SPINK2 (interacts with) AGE.x"
"129","VPREB3","AGE.x",-0.204439922312292,0.00997662355308249,0.0385093690410334,"VPREB3 (interacts with) AGE.x"
"130","AFDN","AGE.x",0.238297543800453,0.00256870718142665,0.0124980696070511,"AFDN (interacts with) AGE.x"
"131","SESN2","AGE.x",0.210483044122181,0.00794192470942301,0.0319579863363885,"SESN2 (interacts with) AGE.x"
"132","IDO1","AGE.x",-0.218572514058171,0.00579714145986632,0.0246642517509985,"IDO1 (interacts with) AGE.x"
"133","TMEM204","AGE.x",-0.221899352343535,0.00507703297258688,0.0220986864336298,"TMEM204 (interacts with) AGE.x"
"134","CA6","AGE.x",-0.203740451564069,0.010239556730844,0.0393358052501988,"CA6 (interacts with) AGE.x"
"135","CLUHP3","AGE.x",-0.218089856055214,0.00590886320037254,0.0250562769737363,"CLUHP3 (interacts with) AGE.x"
"136","RAI2","AGE.x",-0.246863422715883,0.00176643545981525,0.00910489172514176,"RAI2 (interacts with) AGE.x"
"137","FCRLA","AGE.x",-0.247370600707768,0.00172700384992841,0.00893141463969629,"FCRLA (interacts with) AGE.x"
"138","MATN2","AGE.x",-0.203945083665727,0.0101620099101738,0.0390919181206423,"MATN2 (interacts with) AGE.x"
"139","FCRL2","AGE.x",-0.216646449787697,0.00625452600679655,0.0262617998477206,"FCRL2 (interacts with) AGE.x"
"140","ATP8A2","AGE.x",-0.275010003634179,0.000470430993102067,0.00292046150734732,"ATP8A2 (interacts with) AGE.x"
"141","LGR6","AGE.x",0.271311655718779,0.000564412034055106,0.00342029565114815,"LGR6 (interacts with) AGE.x"
"142","PDZD2","AGE.x",-0.318077714270242,4.64685716838886e-05,0.000380945632839644,"PDZD2 (interacts with) AGE.x"
"143","E2F5","AGE.x",-0.271127423484212,0.00056951830285934,0.00344705067920994,"E2F5 (interacts with) AGE.x"
"144","REG4","AGE.x",-0.342709143948227,1.04419553024204e-05,9.99975106821809e-05,"REG4 (interacts with) AGE.x"
"145","FST","AGE.x",-0.198463977729825,0.0124276626539208,0.0460200143615849,"FST (interacts with) AGE.x"
"146","HOOK1","AGE.x",-0.235765492510495,0.00286230859838854,0.0136917300993863,"HOOK1 (interacts with) AGE.x"
"147","DSC2","AGE.x",0.209802450660599,0.0081510293433249,0.032647646539305,"DSC2 (interacts with) AGE.x"
"148","NT5E","AGE.x",-0.204345522324332,0.0100117575396343,0.0386199716746948,"NT5E (interacts with) AGE.x"
"149","DYSF","AGE.x",0.205878760838456,0.00945441657066448,0.0368587587750078,"DYSF (interacts with) AGE.x"
"150","GLUL","AGE.x",0.215178682232965,0.0066243975251723,0.027534701199042,"GLUL (interacts with) AGE.x"
"151","ITM2C","AGE.x",-0.228405338610518,0.00389590391584171,0.0177270911795539,"ITM2C (interacts with) AGE.x"
"152","SERPINE2","AGE.x",-0.369298843221236,1.79663358457205e-06,2.02902023329465e-05,"SERPINE2 (interacts with) AGE.x"
"153","EDAR","AGE.x",-0.289742492077739,0.000221957611115542,0.0015171062951006,"EDAR (interacts with) AGE.x"
"154","USP44","AGE.x",-0.258518934769751,0.00103930488932225,0.00578863069628702,"USP44 (interacts with) AGE.x"
"155","TBC1D4","AGE.x",-0.25321274189813,0.00132716045948778,0.00713766869687127,"TBC1D4 (interacts with) AGE.x"
"156","LMO7","AGE.x",-0.290447446826537,0.000213898701979298,0.00146902379425175,"LMO7 (interacts with) AGE.x"
"157","HLX","AGE.x",0.227167480703882,0.00409949105742236,0.0184973565055859,"HLX (interacts with) AGE.x"
"158","NIBAN2","AGE.x",0.21855576567321,0.00580098642652738,0.0246780910047304,"NIBAN2 (interacts with) AGE.x"
"159","HEMGN","AGE.x",-0.326820371219697,2.77572441107488e-05,0.000240537631906174,"HEMGN (interacts with) AGE.x"
"160","MYC","AGE.x",-0.267156533668089,0.000690477099213549,0.00407191760496073,"MYC (interacts with) AGE.x"
"161","KIF13A","AGE.x",0.218443094719839,0.00582691180245609,0.024769270970375,"KIF13A (interacts with) AGE.x"
"162","SLC22A23","AGE.x",-0.201804335551667,0.0109994681400543,0.0416903781106558,"SLC22A23 (interacts with) AGE.x"
"163","TLR2","AGE.x",0.203882657867238,0.0101856115476395,0.0391665065922761,"TLR2 (interacts with) AGE.x"
"164","RAB30","AGE.x",-0.223755377913264,0.00471108070632087,0.0207657780510746,"RAB30 (interacts with) AGE.x"
"165","CYP1B1","AGE.x",0.213146037330923,0.00716875298819297,0.0293811021745558,"CYP1B1 (interacts with) AGE.x"
"166","LEF1","AGE.x",-0.27712030013922,0.000423509222296392,0.0026668569655995,"LEF1 (interacts with) AGE.x"
"167","PDE6H","AGE.x",0.217847329816871,0.00596572337087919,0.0252561051684612,"PDE6H (interacts with) AGE.x"
"168","CD27","AGE.x",-0.275102881041688,0.000468268750979384,0.00290878396383898,"CD27 (interacts with) AGE.x"
"169","MFGE8","AGE.x",-0.227140074255764,0.00410410475464307,0.0185147749449724,"MFGE8 (interacts with) AGE.x"
"170","NKD1","AGE.x",-0.25404711598526,0.00127753534515662,0.00690864936652218,"NKD1 (interacts with) AGE.x"
"171","ZFHX3","AGE.x",0.198500335973068,0.012411281051157,0.0459707486162376,"ZFHX3 (interacts with) AGE.x"
"172","GATA6","AGE.x",0.311074842095664,6.94204383127062e-05,0.000544222306318466,"GATA6 (interacts with) AGE.x"
"173","RORC","AGE.x",-0.310448063630445,7.19249139820022e-05,0.000561565843786251,"RORC (interacts with) AGE.x"
"174","RAB13","AGE.x",0.201047613067537,0.0113097034564276,0.0426448856196209,"RAB13 (interacts with) AGE.x"
"175","S100A8","AGE.x",0.229137699807434,0.00377978139514346,0.0172865305199547,"S100A8 (interacts with) AGE.x"
"176","AFF3","AGE.x",-0.232178292968016,0.00333026537817571,0.0155496579219611,"AFF3 (interacts with) AGE.x"
"177","SLC4A10","AGE.x",-0.393075459543542,3.24191811174046e-07,4.23176013107029e-06,"SLC4A10 (interacts with) AGE.x"
"178","OSBPL10","AGE.x",-0.23228030585823,0.00331605722175432,0.0154943998041101,"OSBPL10 (interacts with) AGE.x"
"179","CAND2","AGE.x",-0.197720774782173,0.0127667018946815,0.0470271024688343,"CAND2 (interacts with) AGE.x"
"180","TM4SF19","AGE.x",0.205965591963892,0.00942368938176541,0.0367612003349275,"TM4SF19 (interacts with) AGE.x"
"181","N4BP3","AGE.x",-0.229174241738257,0.00377406979214889,0.0172649946015166,"N4BP3 (interacts with) AGE.x"
"182","PRSS35","AGE.x",-0.293899735903668,0.000178215881505572,0.00125150496770748,"PRSS35 (interacts with) AGE.x"
"183","IGFBP3","AGE.x",0.333927776764813,1.80440579913288e-05,0.0001634738147523,"IGFBP3 (interacts with) AGE.x"
"184","EPHA1","AGE.x",-0.310767805525148,7.06369035372578e-05,0.000552661174454608,"EPHA1 (interacts with) AGE.x"
"185","ZNF711","AGE.x",-0.22261648773594,0.00493272206700834,0.0215749700032901,"ZNF711 (interacts with) AGE.x"
"186","DOCK5","AGE.x",0.220090526767786,0.00545795606138699,0.0234647809723822,"DOCK5 (interacts with) AGE.x"
"187","VLDLR","AGE.x",0.213969753354897,0.00694353914432688,0.0286200068231985,"VLDLR (interacts with) AGE.x"
"188","GSN","AGE.x",0.213846424338368,0.00697685301931106,0.028732486046206,"GSN (interacts with) AGE.x"
"189","ADAM12","AGE.x",-0.338442227801931,1.36492708415759e-05,0.000127275077072689,"ADAM12 (interacts with) AGE.x"
"190","CNKSR2","AGE.x",-0.281636273756789,0.000337275805196935,0.00218742524766828,"CNKSR2 (interacts with) AGE.x"
"191","IL18","AGE.x",0.249220535955693,0.00158987660062815,0.0083258407962621,"IL18 (interacts with) AGE.x"
"192","VENTX","AGE.x",0.225833700228834,0.00432951077612254,0.0193587903805861,"VENTX (interacts with) AGE.x"
"193","PDE3B","AGE.x",-0.235926886038297,0.00284272583539824,0.0136125831090136,"PDE3B (interacts with) AGE.x"
"194","CAMK4","AGE.x",-0.20275290317262,0.0106211750226404,0.0405197063732342,"CAMK4 (interacts with) AGE.x"
"195","RASGRP3","AGE.x",-0.195846478247032,0.01365796847913,0.0496584448471344,"RASGRP3 (interacts with) AGE.x"
"196","BMP3","AGE.x",-0.222249572953616,0.00500609165420185,0.0218406649075567,"BMP3 (interacts with) AGE.x"
"197","PTPRK","AGE.x",-0.247533516816022,0.00171450874555479,0.00887670930405539,"PTPRK (interacts with) AGE.x"
"198","ADGRA3","AGE.x",-0.21391189529776,0.00695915021481897,0.0286724957731341,"ADGRA3 (interacts with) AGE.x"
"199","BANK1","AGE.x",-0.225679919603287,0.00435676288320352,0.0194599621159129,"BANK1 (interacts with) AGE.x"
"200","SCN3A","AGE.x",-0.201047613067537,0.0113097034564276,0.0426448856196209,"SCN3A (interacts with) AGE.x"
"201","AK5","AGE.x",-0.232587867109326,0.00327355099830551,0.0153272184426708,"AK5 (interacts with) AGE.x"
"202","RETREG1","AGE.x",-0.284682957239175,0.000288621595546434,0.00190933795956168,"RETREG1 (interacts with) AGE.x"
"203","CERS3","AGE.x",-0.204583111935079,0.00992353853623751,0.0383421374131534,"CERS3 (interacts with) AGE.x"
"204","OBSCN","AGE.x",-0.297107213719068,0.000150107358596774,0.00107635432529077,"OBSCN (interacts with) AGE.x"
"205","JAM2","AGE.x",-0.216169229524096,0.00637271175522258,0.0266723227438867,"JAM2 (interacts with) AGE.x"
"206","OXNAD1","AGE.x",-0.272899707129138,0.000522115695452019,0.00319700359094029,"OXNAD1 (interacts with) AGE.x"
"207","MS4A1","AGE.x",-0.198937316562496,0.012215871471472,0.0453862786084561,"MS4A1 (interacts with) AGE.x"
"208","ZFYVE9","AGE.x",-0.200744619557794,0.01143606346135,0.0430294327436476,"ZFYVE9 (interacts with) AGE.x"
"209","KCNJ15","AGE.x",0.221384720151108,0.00518291102454604,0.0224790848512112,"KCNJ15 (interacts with) AGE.x"
"210","RNF207","AGE.x",0.197320336123568,0.0129527158774514,0.0475806461502481,"RNF207 (interacts with) AGE.x"
"211","CPA5","AGE.x",-0.320329552160361,4.07546103913248e-05,0.000338903968761509,"CPA5 (interacts with) AGE.x"
"212","CDA","AGE.x",0.214694501649557,0.00675061250101061,0.0279649143388404,"CDA (interacts with) AGE.x"
"213","CACHD1","AGE.x",-0.426430629482885,2.31467001121644e-08,3.70034246827721e-07,"CACHD1 (interacts with) AGE.x"
"214","PDE9A","AGE.x",-0.271871965324735,0.000549140569648054,0.00334011834543952,"PDE9A (interacts with) AGE.x"
"215","S100B","AGE.x",-0.361646353874674,3.03057010442309e-06,3.26579490492072e-05,"S100B (interacts with) AGE.x"
"216","HK3","AGE.x",0.213750501769957,0.00700286202030309,0.0288199923632151,"HK3 (interacts with) AGE.x"
"217","PAQR4","AGE.x",0.218612101149896,0.00578806240110152,0.024632038618405,"PAQR4 (interacts with) AGE.x"
"218","ASRGL1","AGE.x",0.215230449968298,0.00661102797368329,0.0274893219198224,"ASRGL1 (interacts with) AGE.x"
"219","BEND5","AGE.x",-0.274562364981594,0.000480982244571049,0.00297709466529772,"BEND5 (interacts with) AGE.x"
"220","MXRA8","AGE.x",-0.233156040473877,0.00319631783881147,0.0150229879735987,"MXRA8 (interacts with) AGE.x"
"221","IL23R","AGE.x",-0.357025936805773,4.12869860566545e-06,4.3225716176197e-05,"IL23R (interacts with) AGE.x"
"222","B3GALT2","AGE.x",-0.26936123016109,0.000620678571274791,0.00371392653619536,"B3GALT2 (interacts with) AGE.x"
"223","S100A9","AGE.x",0.197720774782173,0.0127667018946815,0.0470271024688343,"S100A9 (interacts with) AGE.x"
"224","S100A12","AGE.x",0.290132272673187,0.000217467480432942,0.00149037997797988,"S100A12 (interacts with) AGE.x"
"225","SLC22A15","AGE.x",0.264601643671366,0.000780362985344896,0.00452511580864183,"SLC22A15 (interacts with) AGE.x"
"226","PROK2","AGE.x",0.218374578599545,0.00584272776582617,0.0248253824892985,"PROK2 (interacts with) AGE.x"
"227","CCDC141","AGE.x",-0.217016436837282,0.0061642459540292,0.025948237946498,"CCDC141 (interacts with) AGE.x"
