"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"linolenate (18:3n3 or 3n6)","linolenate (18:3n3 or 3n6)",0.884840504542222,2.06412831935173e-06,6.96246360027487e-05,"group2-group1"
"sphingadienine","sphingadienine",0.471740545578707,2.34226432459864e-06,7.60802152841854e-05,"group2-group1"
"laurylcarnitine (C12)","laurylcarnitine (C12)",0.640208398324057,2.44881304618869e-06,7.67003229109816e-05,"group2-group1"
"sphinganine-1-phosphate","sphinganine-1-phosphate",0.352344773875794,3.33071988660599e-06,0.00010072556346736,"group2-group1"
"tetradecadienoate (14:2)*","tetradecadienoate (14:2)*",0.846099361148385,4.55167528821707e-06,0.000129765664905801,"group2-group1"
"kynurenate","kynurenate",0.41653356575748,4.58692772186984e-06,0.000129765664905801,"group2-group1"
"eicosenoate (20:1n9 or 1n11)","eicosenoate (20:1n9 or 1n11)",0.823747294052872,4.94531366548212e-06,0.000135532502644619,"group2-group1"
"hexanoylcarnitine (C6)","hexanoylcarnitine (C6)",0.483972072266235,5.31010970719387e-06,0.000139919364770048,"group2-group1"
"cis-4-decenoate (10:1n6)*","cis-4-decenoate (10:1n6)*",0.792972834982719,5.42446796143857e-06,0.000139919364770048,"group2-group1"
"(S)-3-hydroxybutyrylcarnitine","(S)-3-hydroxybutyrylcarnitine",0.611665353508058,7.56204540391674e-06,0.000189483251978142,"group2-group1"
"myristoylcarnitine (C14)","myristoylcarnitine (C14)",0.467247231056396,9.79584443120452e-06,0.000235348845304831,"group2-group1"
"acetylcarnitine (C2)","acetylcarnitine (C2)",0.305843348532567,9.92919871867589e-06,0.000235348845304831,"group2-group1"
"oleate/vaccenate (18:1)","oleate/vaccenate (18:1)",0.728718482058939,1.02920231442379e-05,0.000237529060460437,"group2-group1"
"3-hydroxybutyrate (BHBA)","3-hydroxybutyrate (BHBA)",0.923740501381706,1.21294491477286e-05,0.000272757100065588,"group2-group1"
"docosatrienoate (22:3n6)*","docosatrienoate (22:3n6)*",1.04573039227944,1.26249759625641e-05,0.000276802597979219,"group2-group1"
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*","branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",0.862113671472872,1.41314552055633e-05,0.000302275273543391,"group2-group1"
"octanoylcarnitine (C8)","octanoylcarnitine (C8)",0.567282296173766,1.55154456618035e-05,0.000323977282033373,"group2-group1"
"palmitoylcarnitine (C16)","palmitoylcarnitine (C16)",0.314117108909535,1.90673088151556e-05,0.000388884414671894,"group2-group1"
"nonanoylcarnitine (C9)","nonanoylcarnitine (C9)",0.452144136608423,2.27957938155e-05,0.000454361617640762,"group2-group1"
"10-undecenoate (11:1n1)","10-undecenoate (11:1n1)",0.547659003987744,2.75398358302034e-05,0.000536720800513075,"group2-group1"
"(R)-3-hydroxybutyrylcarnitine","(R)-3-hydroxybutyrylcarnitine",0.769330230748355,3.41066768982395e-05,0.000650251209559913,"group2-group1"
"2S,3R-dihydroxybutyrate","2S,3R-dihydroxybutyrate",0.411767858499339,3.55893583667917e-05,0.000664082282716518,"group2-group1"
"3-hydroxylaurate","3-hydroxylaurate",0.760668956657112,3.84414021367238e-05,0.000702356451539725,"group2-group1"
"margaroylcarnitine (C17)*","margaroylcarnitine (C17)*",0.393633065088433,3.99336871526826e-05,0.000712464925246632,"group2-group1"
"3-hydroxyhexanoylcarnitine (1)","3-hydroxyhexanoylcarnitine (1)",0.459202836630664,4.06194370152014e-05,0.000712464925246632,"group2-group1"
"N-acetylcarnosine","N-acetylcarnosine",0.34699385277982,4.23936611491473e-05,0.000712883522190799,"group2-group1"
"gamma-glutamylvaline","gamma-glutamylvaline",0.349006794227971,4.24106298443477e-05,0.000712883522190799,"group2-group1"
"cis-4-decenoylcarnitine (C10:1)","cis-4-decenoylcarnitine (C10:1)",0.46890922080253,4.30819004288624e-05,0.000712883522190799,"group2-group1"
"3-hydroxydecanoate","3-hydroxydecanoate",0.537407645269177,4.70724498141192e-05,0.00076449145346264,"group2-group1"
"undecenoylcarnitine (C11:1)","undecenoylcarnitine (C11:1)",0.499909496450725,4.86660941416592e-05,0.000776002992040639,"group2-group1"
"dodecadienoate (12:2)*","dodecadienoate (12:2)*",0.596518451327472,5.55882748303558e-05,0.000870552089753965,"group2-group1"
"5-dodecenoylcarnitine (C12:1)","5-dodecenoylcarnitine (C12:1)",0.695074346836827,5.8336406155277e-05,0.000897561898213648,"group2-group1"
"eicosenoylcarnitine (C20:1)*","eicosenoylcarnitine (C20:1)*",0.417530480253273,6.14463584337515e-05,0.000927631251161911,"group2-group1"
"10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)",0.655434129263303,6.24062073187602e-05,0.000927631251161911,"group2-group1"
"aspartate","aspartate",0.340117662864666,6.4515923870125e-05,0.00094300775390166,"group2-group1"
"decanoylcarnitine (C10)","decanoylcarnitine (C10)",0.554454902612233,6.84480669782198e-05,0.000970210896391441,"group2-group1"
"3-hydroxyhexanoate","3-hydroxyhexanoate",0.433864510148803,6.8589595868038e-05,0.000970210896391441,"group2-group1"
"palmitate (16:0)","palmitate (16:0)",0.476168373106847,7.96775425266584e-05,0.00110916198088698,"group2-group1"
"nervonoylcarnitine (C24:1)*","nervonoylcarnitine (C24:1)*",0.327075191388689,8.74052278602664e-05,0.00119772476302271,"group2-group1"
"10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)",0.719250983946683,0.000115061153183367,0.00155244048218174,"group2-group1"
"lactobacillic acid","lactobacillic acid",0.687725304172379,0.000117189719476009,0.00155720278758273,"group2-group1"
"dihydroorotate","dihydroorotate",-0.546556643328987,0.00011906997993803,0.00155857272247243,"group2-group1"
"docosadienoate (22:2n6)","docosadienoate (22:2n6)",0.505761654214686,0.000139614470368484,0.00180061603695824,"group2-group1"
"(2 or 3)-decenoate (10:1n7 or n8)","(2 or 3)-decenoate (10:1n7 or n8)",0.78459782218328,0.000144207705688638,0.00183290083897008,"group2-group1"
"anthranilate","anthranilate",0.33789911038388,0.000147024170416823,0.00184200282079362,"group2-group1"
"N-palmitoylglycine","N-palmitoylglycine",0.365251441233124,0.000154242782624236,0.00190522423044303,"group2-group1"
"3-hydroxyoctanoate","3-hydroxyoctanoate",0.5078798930933,0.000160412887169814,0.00195391808399898,"group2-group1"
"palmitoleate (16:1n7)","palmitoleate (16:1n7)",0.882913310524232,0.000164440157363072,0.00196539239184239,"group2-group1"
"3-hydroxy-2-ethylpropionate","3-hydroxy-2-ethylpropionate",0.339679463810143,0.000165836986312813,0.00196539239184239,"group2-group1"
"stearoylcarnitine (C18)","stearoylcarnitine (C18)",0.319083777097612,0.000170072022331994,0.00196872571318555,"group2-group1"
"stearate (18:0)","stearate (18:0)",0.329573445595934,0.000170607929534894,0.00196872571318555,"group2-group1"
"linoleate (18:2n6)","linoleate (18:2n6)",0.609733480385725,0.000185268138577113,0.00211013191600166,"group2-group1"
"N-stearoyltaurine","N-stearoyltaurine",0.595704052231735,0.000188154317768672,0.00211552995747596,"group2-group1"
"quinolinate","quinolinate",0.333531557066162,0.000198668931548039,0.00218423255530394,"group2-group1"
"tridecenedioate (C13:1-DC)*","tridecenedioate (C13:1-DC)*",0.599816168132871,0.000199245843129208,0.00218423255530394,"group2-group1"
"dihomo-linolenoylcarnitine (C20:3n3 or 6)*","dihomo-linolenoylcarnitine (C20:3n3 or 6)*",0.310535440064524,0.000216415300501356,0.00234316319184802,"group2-group1"
"gamma-glutamylisoleucine*","gamma-glutamylisoleucine*",0.301955998926577,0.000262164715905242,0.00280388360791338,"group2-group1"
"dihomolinoleate (20:2n6)","dihomolinoleate (20:2n6)",0.547253439400497,0.000302751984821239,0.00319895771913526,"group2-group1"
"benzoylcarnitine*","benzoylcarnitine*",0.583313319844627,0.000306528937137904,0.00320030806988026,"group2-group1"
"glycerol 3-phosphate","glycerol 3-phosphate",-0.380450240388642,0.000330842566357287,0.00341351683170989,"group2-group1"
"N-acetylkynurenine (2)","N-acetylkynurenine (2)",0.701705337084969,0.00035729029471114,0.0036060602823772,"group2-group1"
"N-acetylglucosamine/N-acetylgalactosamine","N-acetylglucosamine/N-acetylgalactosamine",0.213881765444299,0.000357727758913132,0.0036060602823772,"group2-group1"
"docosapentaenoate (DPA; 22:5n3)","docosapentaenoate (DPA; 22:5n3)",0.536976204141897,0.000414881988700813,0.00413467618284788,"group2-group1"
"trimethylamine N-oxide","trimethylamine N-oxide",0.490979117832033,0.000459449239764737,0.00446653559939007,"group2-group1"
"3-hydroxymyristate","3-hydroxymyristate",0.503645341899981,0.000461457965828846,0.00446653559939007,"group2-group1"
"glutamine conjugate of C6H10O2 (2)*","glutamine conjugate of C6H10O2 (2)*",0.670233417121471,0.000463460364360885,0.00446653559939007,"group2-group1"
"1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*","1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*",0.721665138142567,0.000503811883818147,0.00480264154465777,"group2-group1"
"heptenedioate (C7:1-DC)*","heptenedioate (C7:1-DC)*",0.433127412865389,0.000541587725822003,0.00510723048974082,"group2-group1"
"8-methoxykynurenate","8-methoxykynurenate",0.522478975346644,0.000578300047086456,0.00530739001568759,"group2-group1"
"2-hydroxybutyrate/2-hydroxyisobutyrate","2-hydroxybutyrate/2-hydroxyisobutyrate",0.35872627832842,0.000579864375936388,0.00530739001568759,"group2-group1"
"hexadecadienoate (16:2n6)","hexadecadienoate (16:2n6)",0.681776980474075,0.000583739326275863,0.00530739001568759,"group2-group1"
"stearidonate (18:4n3)","stearidonate (18:4n3)",1.02258502280252,0.000587020332407863,0.00530739001568759,"group2-group1"
"myristate (14:0)","myristate (14:0)",0.548802494060304,0.000616187399039446,0.00551424845875096,"group2-group1"
"N-acetylalanine","N-acetylalanine",0.123885323058097,0.000631265110280387,0.00557021680430498,"group2-group1"
"S-adenosylhomocysteine (SAH)","S-adenosylhomocysteine (SAH)",0.292149566942633,0.000635144447469211,0.00557021680430498,"group2-group1"
"oleoyl ethanolamide","oleoyl ethanolamide",0.404885986798848,0.00067257018530297,0.00581170603948328,"group2-group1"
"2-methylbutyrylcarnitine (C5)","2-methylbutyrylcarnitine (C5)",0.282929323903636,0.000675933883725535,0.00581170603948328,"group2-group1"
"linoleoylcarnitine (C18:2)*","linoleoylcarnitine (C18:2)*",0.243223025408508,0.00069856234651359,0.00594795318342154,"group2-group1"
"glutamine conjugate of C7H12O2*","glutamine conjugate of C7H12O2*",0.828633770213234,0.000713691317201707,0.00601833928063363,"group2-group1"
"hexanoylglutamine","hexanoylglutamine",0.618242134939027,0.000737376721964529,0.00615885128726563,"group2-group1"
"(14 or 15)-methylpalmitate (a17:0 or i17:0)","(14 or 15)-methylpalmitate (a17:0 or i17:0)",0.48896558388195,0.000757169919271369,0.00626450961510368,"group2-group1"
"leucylglycine","leucylglycine",0.391768494664062,0.000821636888833025,0.00673435094865947,"group2-group1"
"tiglyl carnitine (C5)","tiglyl carnitine (C5)",0.339434632691266,0.000930994344025507,0.00756001888620712,"group2-group1"
"3-hydroxysebacate","3-hydroxysebacate",0.596940172148215,0.000968208849288804,0.00779008404427781,"group2-group1"
"N-acetyl-beta-alanine","N-acetyl-beta-alanine",0.199176883335841,0.00101947593102474,0.00812800355916998,"group2-group1"
"margarate (17:0)","margarate (17:0)",0.3955990251998,0.00106671825440268,0.00842803521721755,"group2-group1"
"pentadecanoate (15:0)","pentadecanoate (15:0)",0.372900053780242,0.00107681320321427,0.00843183195731178,"group2-group1"
"taurocholate","taurocholate",0.96580888995147,0.00111451482717528,0.00857820020645434,"group2-group1"
"5-methylthioadenosine (MTA)","5-methylthioadenosine (MTA)",0.23646667795839,0.00111506821383785,0.00857820020645434,"group2-group1"
"arachidoylcarnitine (C20)*","arachidoylcarnitine (C20)*",0.321041143397518,0.00120554490170608,0.00919359025040201,"group2-group1"
"3-hydroxystearate","3-hydroxystearate",0.332672087248902,0.00121898885020188,0.00921597604850901,"group2-group1"
"arachidonoylcarnitine (C20:4)","arachidonoylcarnitine (C20:4)",0.271800199698406,0.00125376013301481,0.00939784304832465,"group2-group1"
"suberoylcarnitine (C8-DC)","suberoylcarnitine (C8-DC)",0.76941454962484,0.00128294337863207,0.00945178655270952,"group2-group1"
"gamma-glutamylthreonine","gamma-glutamylthreonine",0.181539869760696,0.00129317809105987,0.00945178655270952,"group2-group1"
"N1-methylinosine","N1-methylinosine",0.290812388122504,0.00129328892397394,0.00945178655270952,"group2-group1"
"kynurenine","kynurenine",0.21250778754447,0.00130511755863116,0.00945940577619443,"group2-group1"
"myristoleate (14:1n5)","myristoleate (14:1n5)",0.693270385112009,0.00146637771846451,0.0105410922876506,"group2-group1"
"docosapentaenoate (n6 DPA; 22:5n6)","docosapentaenoate (n6 DPA; 22:5n6)",0.451401968229176,0.00153179011749773,0.0109217880735407,"group2-group1"
"(16 or 17)-methylstearate (a19:0 or i19:0)","(16 or 17)-methylstearate (a19:0 or i19:0)",0.352620906232821,0.00159669975938741,0.0111143295161865,"group2-group1"
"4-methyl-2-oxopentanoate","4-methyl-2-oxopentanoate",0.211788990838538,0.00160346768475412,0.0111143295161865,"group2-group1"
"glycine conjugate of C10H12O2*","glycine conjugate of C10H12O2*",0.558115793307568,0.00160683279596342,0.0111143295161865,"group2-group1"
"glycerophosphoethanolamine","glycerophosphoethanolamine",0.166054727667478,0.00160948671443066,0.0111143295161865,"group2-group1"
"2'-deoxyuridine","2'-deoxyuridine",-0.272616866712122,0.00165916020576944,0.0113678398473422,"group2-group1"
"2R,3R-dihydroxybutyrate","2R,3R-dihydroxybutyrate",0.239369827821572,0.00176028409159552,0.0119672027002269,"group2-group1"
"arachidate (20:0)","arachidate (20:0)",0.268910306463125,0.00190011308000622,0.0128184551628112,"group2-group1"
"adipoylcarnitine (C6-DC)","adipoylcarnitine (C6-DC)",0.351922719754084,0.00194001875161358,0.0129877591233978,"group2-group1"
"N-acetyltheanine","N-acetyltheanine",0.451949619629681,0.00200850906578432,0.0133444125052488,"group2-group1"
"dihomolinolenate (20:3n3 or 3n6)","dihomolinolenate (20:3n3 or 3n6)",0.379442969539702,0.00203049524832747,0.0133890551337082,"group2-group1"
"3-hydroxyisobutyrate","3-hydroxyisobutyrate",0.348484154992693,0.00220563286636132,0.0144353733119319,"group2-group1"
"acetoacetate","acetoacetate",0.509269874975098,0.0022304628243171,0.0144897473846378,"group2-group1"
"glycodeoxycholate 3-sulfate","glycodeoxycholate 3-sulfate",0.755148052491013,0.00231944860429877,0.0149570325438972,"group2-group1"
"cortolone glucuronide (1)","cortolone glucuronide (1)",0.392763781167343,0.00236488500529826,0.0150940591974594,"group2-group1"
"N,N,N-trimethyl-alanylproline betaine (TMAP)","N,N,N-trimethyl-alanylproline betaine (TMAP)",0.144023975215521,0.00238466093982499,0.0150940591974594,"group2-group1"
"3-methyl-2-oxovalerate","3-methyl-2-oxovalerate",0.205657232617444,0.00241336844262205,0.0150940591974594,"group2-group1"
"2-aminoadipate","2-aminoadipate",0.335821938026414,0.00241707269127575,0.0150940591974594,"group2-group1"
"glutamine conjugate of C6H10O2 (1)*","glutamine conjugate of C6H10O2 (1)*",0.474468568924953,0.00243216603456557,0.0150940591974594,"group2-group1"
"mead acid (20:3n9)","mead acid (20:3n9)",0.511977029568983,0.00244396397495922,0.0150940591974594,"group2-group1"
"cysteinylglycine disulfide*","cysteinylglycine disulfide*",0.164458637510432,0.00248776029930798,0.0152571033740776,"group2-group1"
"urate","urate",0.160206036867089,0.00252751028160156,0.0153932397011428,"group2-group1"
"taurodeoxycholic acid 3-sulfate","taurodeoxycholic acid 3-sulfate",0.925010164645947,0.00255692022266597,0.0154649588639866,"group2-group1"
"adrenoylcarnitine (C22:4)*","adrenoylcarnitine (C22:4)*",0.437589198589315,0.00269586341823608,0.0161936453273496,"group2-group1"
"N-oleoylserine","N-oleoylserine",0.31437697466476,0.00281346944248052,0.016785120415343,"group2-group1"
"N-acetylhistidine","N-acetylhistidine",0.227766706909209,0.00293273881307776,0.0173784590477648,"group2-group1"
"2-hydroxysebacate","2-hydroxysebacate",0.453057258575841,0.00295599867592385,0.0173987304616457,"group2-group1"
"deoxycholic acid 12-sulfate*","deoxycholic acid 12-sulfate*",0.967265883705424,0.00303148725620212,0.0177240954912617,"group2-group1"
"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",0.26547310608356,0.00314012782416858,0.0182376960383831,"group2-group1"
"N-acetylglutamine","N-acetylglutamine",0.289544425089867,0.00321127466899487,0.0185282097678191,"group2-group1"
"L-urobilin","L-urobilin",1.24063629845514,0.00331764780100219,0.0190168439312348,"group2-group1"
"gamma-glutamyltryptophan","gamma-glutamyltryptophan",0.181494684770904,0.00336111995501829,0.0191409233802016,"group2-group1"
"tetradecadienedioate (C14:2-DC)*","tetradecadienedioate (C14:2-DC)*",0.493092314906945,0.00348807545933919,0.0196736101429944,"group2-group1"
"N2,N2-dimethylguanosine","N2,N2-dimethylguanosine",0.138366492394683,0.00349952472326925,0.0196736101429944,"group2-group1"
"cysteine s-sulfate","cysteine s-sulfate",0.182089203679995,0.00374859223463084,0.0209269108511167,"group2-group1"
"N-acetylvaline","N-acetylvaline",0.146213334052459,0.00377018462312023,0.0209269108511167,"group2-group1"
"4-methylhexanoylglutamine","4-methylhexanoylglutamine",0.541586695468555,0.00389604955811886,0.0214895312105046,"group2-group1"
"dodecenedioate (C12:1-DC)*","dodecenedioate (C12:1-DC)*",0.415798195313745,0.0039334648353212,0.0215603041286043,"group2-group1"
"gamma-glutamylphenylalanine","gamma-glutamylphenylalanine",0.180454861893764,0.00420917517237602,0.0229282399141228,"group2-group1"
"octadecenedioylcarnitine (C18:1-DC)*","octadecenedioylcarnitine (C18:1-DC)*",0.383358074187875,0.00431994306724616,0.0233204658030701,"group2-group1"
"nonadecanoate (19:0)","nonadecanoate (19:0)",0.230327977294331,0.00433436251527985,0.0233204658030701,"group2-group1"
"gamma-glutamyl-epsilon-lysine","gamma-glutamyl-epsilon-lysine",0.272983565556472,0.00437110357053501,0.0233747428741415,"group2-group1"
"glutamate","glutamate",0.297828493719272,0.00442518652939091,0.0235205368865202,"group2-group1"
"adrenate (22:4n6)","adrenate (22:4n6)",0.281775634415699,0.00450009341583771,0.0237745899137932,"group2-group1"
"erucate (22:1n9)","erucate (22:1n9)",0.67659834253146,0.00464519456375632,0.0243942253437982,"group2-group1"
"arachidonate (20:4n6)","arachidonate (20:4n6)",0.365694095255823,0.00475824701814139,0.0248391823506547,"group2-group1"
"N-acetylserine","N-acetylserine",0.134126399902995,0.00479410276270752,0.0248782729165355,"group2-group1"
"glycocholate","glycocholate",0.643633889209438,0.00487010037317449,0.024961991080645,"group2-group1"
"dihomo-linoleoylcarnitine (C20:2)*","dihomo-linoleoylcarnitine (C20:2)*",0.364859699814986,0.0048857672678903,0.024961991080645,"group2-group1"
"ethylmalonate","ethylmalonate",0.317289472919325,0.00489562424842752,0.024961991080645,"group2-group1"
"gamma-glutamylglutamate","gamma-glutamylglutamate",0.269805074887999,0.00499876954050518,0.0253405831619829,"group2-group1"
"hypotaurine","hypotaurine",0.278132151258834,0.00508788288193918,0.0256440993532222,"group2-group1"
"gamma-glutamylleucine","gamma-glutamylleucine",0.222877065840478,0.00537345221580524,0.0269286719614925,"group2-group1"
"dimethylarginine (ADMA + SDMA)","dimethylarginine (ADMA + SDMA)",0.0925200979107344,0.00591151370050627,0.0294568040644546,"group2-group1"
"phenylalanylglycine","phenylalanylglycine",0.236010841465815,0.00605125895436951,0.0298547400179299,"group2-group1"
"2-hydroxydecanoate","2-hydroxydecanoate",0.300936181157694,0.00605945692496182,0.0298547400179299,"group2-group1"
"butyrylcarnitine (C4)","butyrylcarnitine (C4)",0.290235927434372,0.0067162369886114,0.0329058091564927,"group2-group1"
"9-hydroxystearate","9-hydroxystearate",0.537357081520128,0.00676709096821937,0.0329707709951577,"group2-group1"
"iminodiacetate (IDA)","iminodiacetate (IDA)",0.0905076341932986,0.00717687079206226,0.0347266287843275,"group2-group1"
"octadecadienedioate (C18:2-DC)*","octadecadienedioate (C18:2-DC)*",0.450027832068088,0.00720666640678177,0.0347266287843275,"group2-group1"
"N-acetylcitrulline","N-acetylcitrulline",0.608687985994712,0.00735078458574234,0.0352275305010712,"group2-group1"
"alpha-ketoglutarate","alpha-ketoglutarate",0.162182556364629,0.00768566726899476,0.0366025816929904,"group2-group1"
"docosapentaenoylcarnitine (C22:5n3)*","docosapentaenoylcarnitine (C22:5n3)*",0.35168758517045,0.00773885028303315,0.0366025816929904,"group2-group1"
"glycine conjugate of C10H14O2 (1)*","glycine conjugate of C10H14O2 (1)*",0.533210946392955,0.00778509566207654,0.0366025816929904,"group2-group1"
"2-aminobutyrate","2-aminobutyrate",0.184898050446272,0.00780465538949738,0.0366025816929904,"group2-group1"
"eicosapentaenoate (EPA; 20:5n3)","eicosapentaenoate (EPA; 20:5n3)",0.445651857378256,0.00797919714756089,0.0370174138268827,"group2-group1"
"glycochenodeoxycholate glucuronide (1)","glycochenodeoxycholate glucuronide (1)",0.65990817268093,0.00798731112221427,0.0370174138268827,"group2-group1"
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*","2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",0.163035307421746,0.00801973617686169,0.0370174138268827,"group2-group1"
"3-(3-amino-3-carboxypropyl)uridine*","3-(3-amino-3-carboxypropyl)uridine*",0.174216348655794,0.00870463264476735,0.0399683917772825,"group2-group1"
"5-dodecenoate (12:1n7)","5-dodecenoate (12:1n7)",0.432579080069977,0.00885217872298384,0.0402797103155799,"group2-group1"
"isovalerate (C5)","isovalerate (C5)",0.40940976678313,0.00886429200787563,0.0402797103155799,"group2-group1"
"gamma-glutamyl-alpha-lysine","gamma-glutamyl-alpha-lysine",0.215086639165788,0.00903146824955832,0.0408278229632095,"group2-group1"
"cinnamoylglycine","cinnamoylglycine",0.771093678144784,0.00937297680219593,0.0421543623360299,"group2-group1"
"5alpha-androstan-3beta,17beta-diol disulfate","5alpha-androstan-3beta,17beta-diol disulfate",0.634752052841631,0.00974446809156601,0.0436015230423642,"group2-group1"
"suberate (C8-DC)","suberate (C8-DC)",0.359714869002853,0.00982723627557922,0.0437486609831623,"group2-group1"
"5-oxoproline","5-oxoproline",0.148904598762279,0.00991741640398851,0.04392714235504,"group2-group1"
"taurochenodeoxycholic acid 3-sulfate","taurochenodeoxycholic acid 3-sulfate",0.730309793229557,0.0100366176975619,0.0442317272400091,"group2-group1"
"docosahexaenoylcarnitine (C22:6)*","docosahexaenoylcarnitine (C22:6)*",0.440039904212489,0.0101850015727623,0.0445363776644241,"group2-group1"
"16-hydroxypalmitate","16-hydroxypalmitate",0.234644939791063,0.0102073111864872,0.0445363776644241,"group2-group1"
"4-acetamidobutanoate","4-acetamidobutanoate",0.168287522260375,0.0107851757621649,0.0468247482347458,"group2-group1"
"mannose","mannose",0.172022022214049,0.0117103266988115,0.0505909187924023,"group2-group1"
"glycolithocholate sulfate*","glycolithocholate sulfate*",0.589646598257341,0.0122665156584822,0.0527339913357301,"group2-group1"
"metabolonic lactone sulfate","metabolonic lactone sulfate",0.619757094909434,0.0128303652762658,0.0548889285233421,"group2-group1"
"(12 or 13)-methylmyristate (a15:0 or i15:0)","(12 or 13)-methylmyristate (a15:0 or i15:0)",0.448268172848963,0.0129159523842903,0.0549868458302068,"group2-group1"
"trans-3,4-methyleneheptanoate","trans-3,4-methyleneheptanoate",0.546758585397244,0.0130397567313166,0.0552457326249501,"group2-group1"
"metformin","metformin",-0.813705942595883,0.0132443512455031,0.0558427694341644,"group2-group1"
"cerotoylcarnitine (C26)*","cerotoylcarnitine (C26)*",0.178165444684633,0.013938306210793,0.0584875337170595,"group2-group1"
"xanthurenate","xanthurenate",0.421761586380628,0.0150450750135554,0.0628310989851812,"group2-group1"
"hydroxyasparagine","hydroxyasparagine",0.106590149643842,0.0152664412385304,0.0634534074227067,"group2-group1"
"N-formylanthranilic acid","N-formylanthranilic acid",0.307058106063692,0.0155751121306197,0.0644310063139315,"group2-group1"
"taurolithocholate 3-sulfate","taurolithocholate 3-sulfate",0.637692134747516,0.0159785776042824,0.0657897303237355,"group2-group1"
"taurodeoxycholate","taurodeoxycholate",0.624323973516288,0.0164497207176429,0.0674131078008075,"group2-group1"
"phenylacetylglutamine","phenylacetylglutamine",0.413884399745208,0.0165811876815417,0.0674640124930087,"group2-group1"
"alpha-hydroxyisocaproate","alpha-hydroxyisocaproate",0.178410082615899,0.0166159939549485,0.0674640124930087,"group2-group1"
